DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
1.000000,0.307183,296.054360,0.894791,0.000000,0.000000,0.000000,0.000000
1.000000,0.304916,296.140323,0.876892,0.000000,0.000000,0.000000,0.000000
1.000000,0.281020,296.047823,1.001647,0.000000,0.000000,0.000000,0.000000
1.000000,0.317478,296.271528,1.009489,0.000000,0.000000,0.000000,0.000000
1.000000,0.375744,296.552209,0.985729,0.000000,0.000000,0.000000,0.000000
1.000000,0.318683,294.239285,1.003538,0.000000,0.000000,0.000000,0.000000
1.000000,0.315415,295.940245,0.571089,0.000000,0.000000,0.000000,0.000000
1.000000,0.289503,296.292874,1.096856,0.000000,0.000000,0.000000,0.000000
1.000000,0.276983,295.792766,0.881929,0.000000,0.000000,0.000000,0.000000
2.000000,0.313771,285.300823,0.825741,0.000000,0.000000,0.000000,0.000000
1.000000,0.266582,296.090647,0.935314,0.000000,0.000000,0.000000,0.000000
1.000000,0.312994,286.268824,1.019697,0.000000,0.000000,0.000000,0.000000
1.000000,0.494054,283.687196,0.573902,0.000000,0.000000,0.000000,0.000000
1.000000,0.283133,295.390956,1.032519,0.000000,0.000000,0.000000,0.000000
1.000000,0.381772,288.971836,0.871759,0.000000,0.000000,0.000000,0.000000
1.000000,0.286695,283.957056,0.712157,0.000000,0.000000,0.000000,0.000000
1.000000,0.395032,294.241034,0.343907,0.000000,0.000000,0.000000,0.000000
1.000000,0.483933,295.786720,0.909833,0.000000,0.000000,0.000000,0.000000
1.000000,0.530752,295.512915,0.914746,0.000000,0.000000,0.000000,0.000000
1.000000,0.491824,296.065017,0.936782,0.000000,0.000000,0.000000,0.000000
