DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
2.000000,0.298556,77.564322,0.896767,0.000000,0.000000,0.000000,0.000000
3.000000,0.327412,76.400366,0.882009,0.000000,0.000000,0.000000,0.000000
2.000000,0.844069,77.066712,0.960103,0.000000,0.000000,0.000000,0.000000
3.000000,0.356097,76.412295,1.065657,0.000000,0.000000,0.000000,0.000000
3.000000,0.339217,76.626893,1.019063,0.000000,0.000000,0.000000,0.000000
3.000000,0.325425,76.588195,0.908138,0.000000,0.000000,0.000000,0.000000
4.000000,0.307533,74.369170,0.971467,0.000000,0.000000,0.000000,0.000000
3.000000,0.346445,76.187541,0.900086,0.000000,0.000000,0.000000,0.000000
2.000000,0.706608,74.384627,0.946707,0.000000,0.000000,0.000000,0.000000
4.000000,0.324998,76.921579,1.028130,0.000000,0.000000,0.000000,0.000000
3.000000,0.303051,73.913398,0.981708,0.000000,0.000000,0.000000,0.000000
3.000000,0.619678,76.932742,1.003041,0.000000,0.000000,0.000000,0.000000
3.000000,0.314078,73.188487,0.761650,0.000000,0.000000,0.000000,0.000000
3.000000,0.502482,73.861692,0.992601,0.000000,0.000000,0.000000,0.000000
2.000000,0.320614,76.308498,0.975986,0.000000,0.000000,0.000000,0.000000
3.000000,0.323111,74.852604,0.299398,0.000000,0.000000,0.000000,0.000000
3.000000,0.526645,76.695504,0.987315,0.000000,0.000000,0.000000,0.000000
3.000000,0.758677,77.314172,0.965671,0.000000,0.000000,0.000000,0.000000
