DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
34.000000,0.434780,69.867163,0.951766,0.000000,0.000000,0.000000,0.000000
33.000000,0.500652,70.672279,0.552145,0.000000,0.000000,0.000000,0.000000
34.000000,0.483732,69.633465,0.949748,0.000000,0.000000,0.000000,0.000000
33.000000,0.422689,71.109538,0.377865,0.000000,0.000000,0.000000,0.000000
33.000000,0.420470,70.835246,0.312104,0.000000,0.000000,0.000000,0.000000
34.000000,0.501166,70.246005,0.908147,0.000000,0.000000,0.000000,0.000000
34.000000,0.473909,70.223686,0.313529,0.000000,0.000000,0.000000,0.000000
35.000000,0.560723,71.475685,1.080862,0.000000,0.000000,0.000000,0.000000
34.000000,0.397914,69.217406,0.978036,0.000000,0.000000,0.000000,0.000000
34.000000,0.555738,70.489542,0.896507,0.000000,0.000000,0.000000,0.000000
33.000000,0.468916,72.020745,0.987134,0.000000,0.000000,0.000000,0.000000
33.000000,0.177056,71.122545,0.737160,0.000000,0.000000,0.000000,0.000000
34.000000,0.562151,71.858610,0.762250,0.000000,0.000000,0.000000,0.000000
