DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
1.000000,0.378161,217.894270,1.117697,0.000000,0.000000,0.000000,0.000000
1.000000,0.390039,226.417402,1.097710,0.000000,0.000000,0.000000,0.000000
1.000000,0.328330,222.694945,0.971283,0.000000,0.000000,0.000000,0.000000
1.000000,0.406991,221.487160,1.013717,0.000000,0.000000,0.000000,0.000000
1.000000,0.370686,225.108232,0.559357,0.000000,0.000000,0.000000,0.000000
1.000000,0.324059,216.884397,1.078534,0.000000,0.000000,0.000000,0.000000
1.000000,0.320179,222.711573,1.106535,0.000000,0.000000,0.000000,0.000000
1.000000,0.327277,223.223233,1.128527,0.000000,0.000000,0.000000,0.000000
1.000000,0.564519,222.285592,1.117769,0.000000,0.000000,0.000000,0.000000
1.000000,0.365466,225.939928,0.945501,0.000000,0.000000,0.000000,0.000000
1.000000,0.336645,220.098494,0.990014,0.000000,0.000000,0.000000,0.000000
1.000000,0.374237,222.672271,0.892275,0.000000,0.000000,0.000000,0.000000
1.000000,0.344984,225.515460,0.980331,0.000000,0.000000,0.000000,0.000000
0.000000,0.351532,222.471173,1.071201,0.000000,0.000000,0.000000,0.000000
1.000000,0.330783,217.506484,0.934552,0.000000,0.000000,0.000000,0.000000
1.000000,0.354819,216.331818,0.298409,0.000000,0.000000,0.000000,0.000000
1.000000,0.312388,222.264829,1.119602,0.000000,0.000000,0.000000,0.000000
1.000000,0.364309,214.250930,0.290515,0.000000,0.000000,0.000000,0.000000
