DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
1.000000,0.270290,199.181514,0.805134,0.000000,0.000000,0.000000,0.000000
1.000000,0.288693,193.707667,0.736087,0.000000,0.000000,0.000000,0.000000
0.000000,0.382485,138.012938,1.032996,0.000000,0.000000,0.000000,0.000000
1.000000,0.325446,422.040582,0.335499,0.000000,0.000000,0.000000,0.000000
1.000000,0.376546,145.984901,0.817071,0.000000,0.000000,0.000000,0.000000
1.000000,0.303869,233.031493,0.959842,0.000000,0.000000,0.000000,0.000000
1.000000,0.279495,145.688549,0.995893,0.000000,0.000000,0.000000,0.000000
1.000000,0.313463,156.030150,0.879661,0.000000,0.000000,0.000000,0.000000
1.000000,0.313989,140.295536,0.916532,0.000000,0.000000,0.000000,0.000000
1.000000,0.297998,141.372598,0.918908,0.000000,0.000000,0.000000,0.000000
1.000000,0.393522,146.478540,0.822371,0.000000,0.000000,0.000000,0.000000
1.000000,0.302592,494.887862,0.352838,0.000000,0.000000,0.000000,0.000000
1.000000,0.281636,189.885581,0.879430,0.000000,0.000000,0.000000,0.000000
0.000000,0.273703,152.268071,0.920546,0.000000,0.000000,0.000000,0.000000
1.000000,0.283816,376.452590,0.857065,0.000000,0.000000,0.000000,0.000000
1.000000,0.293073,147.326276,0.950484,0.000000,0.000000,0.000000,0.000000
1.000000,0.280347,141.013435,0.954474,0.000000,0.000000,0.000000,0.000000
1.000000,0.315350,138.920702,0.973081,0.000000,0.000000,0.000000,0.000000
1.000000,0.304157,664.611499,0.664213,0.000000,0.000000,0.000000,0.000000
1.000000,0.279215,138.746492,0.382552,0.000000,0.000000,0.000000,0.000000
1.000000,0.367009,376.983997,0.992395,0.000000,0.000000,0.000000,0.000000
1.000000,0.276765,147.542917,0.813691,0.000000,0.000000,0.000000,0.000000
1.000000,0.299898,150.601757,1.021156,0.000000,0.000000,0.000000,0.000000
1.000000,0.295510,151.261524,1.124487,0.000000,0.000000,0.000000,0.000000
1.000000,0.346111,387.817377,0.843190,0.000000,0.000000,0.000000,0.000000
1.000000,0.419331,141.294050,0.925315,0.000000,0.000000,0.000000,0.000000
1.000000,0.299565,140.257532,0.296810,0.000000,0.000000,0.000000,0.000000
1.000000,0.296495,145.415348,0.692048,0.000000,0.000000,0.000000,0.000000
1.000000,0.264624,138.202886,1.019531,0.000000,0.000000,0.000000,0.000000
1.000000,0.256195,147.694696,0.629578,0.000000,0.000000,0.000000,0.000000
1.000000,0.321493,147.392241,0.850780,0.000000,0.000000,0.000000,0.000000
1.000000,0.272777,141.379109,0.752146,0.000000,0.000000,0.000000,0.000000
1.000000,0.283518,145.777662,0.992403,0.000000,0.000000,0.000000,0.000000
