DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.000000,0.322551,107.020583,1.125812,0.000000,0.000000,0.000000,0.000000
1.000000,0.376931,104.891417,0.829385,0.000000,0.000000,0.000000,0.000000
1.000000,0.352599,107.649522,0.827335,0.000000,0.000000,0.000000,0.000000
1.000000,0.329722,105.308212,1.019313,0.000000,0.000000,0.000000,0.000000
1.000000,0.347207,110.155072,0.863509,0.000000,0.000000,0.000000,0.000000
1.000000,0.317885,107.736163,0.852485,0.000000,0.000000,0.000000,0.000000
1.000000,0.423379,107.089104,0.986028,0.000000,0.000000,0.000000,0.000000
1.000000,0.327782,108.123191,1.137798,0.000000,0.000000,0.000000,0.000000
1.000000,0.317984,104.864232,0.875337,0.000000,0.000000,0.000000,0.000000
1.000000,0.424783,106.796954,0.849286,0.000000,0.000000,0.000000,0.000000
1.000000,0.315071,108.344161,0.870264,0.000000,0.000000,0.000000,0.000000
1.000000,0.336599,104.183177,0.894811,0.000000,0.000000,0.000000,0.000000
1.000000,0.358033,111.086239,0.927919,0.000000,0.000000,0.000000,0.000000
1.000000,0.323709,109.226012,1.113101,0.000000,0.000000,0.000000,0.000000
1.000000,0.315901,110.178783,1.083789,0.000000,0.000000,0.000000,0.000000
1.000000,0.355112,104.377484,0.909080,0.000000,0.000000,0.000000,0.000000
1.000000,0.334513,105.425600,1.054274,0.000000,0.000000,0.000000,0.000000
1.000000,0.330014,105.261188,1.074546,0.000000,0.000000,0.000000,0.000000
1.000000,0.378027,108.585170,1.120023,0.000000,0.000000,0.000000,0.000000
1.000000,0.412002,105.203681,0.335780,0.000000,0.000000,0.000000,0.000000
1.000000,0.340612,104.829803,1.082683,0.000000,0.000000,0.000000,0.000000
1.000000,0.323184,106.953310,0.992236,0.000000,0.000000,0.000000,0.000000
1.000000,0.337588,111.549173,0.969559,0.000000,0.000000,0.000000,0.000000
1.000000,0.315882,106.687675,0.993250,0.000000,0.000000,0.000000,0.000000
1.000000,0.470223,107.736312,1.055151,0.000000,0.000000,0.000000,0.000000
1.000000,0.370681,104.571436,0.985047,0.000000,0.000000,0.000000,0.000000
