DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001548,0.011529,0.005129,1.007379,11214.563899,11214.755003,11215.321165,11215.323211
0.001289,0.010649,0.005656,1.006180,11218.351859,11218.545150,11219.115562,11219.117280
0.001728,0.007549,0.005454,1.003195,11222.143378,11222.330004,11222.881966,11222.883360
0.001680,0.006784,0.005514,1.002422,11225.909583,11226.130801,11226.746853,11226.749199
0.001632,0.007243,0.005655,1.002601,11229.774880,11229.966084,11230.518884,11230.521045
0.001299,0.007287,0.005878,1.002550,11233.546805,11233.757159,11234.382198,11234.384155
0.001623,0.006976,0.005894,1.002217,11237.410088,11237.601043,11238.167744,11238.169870
0.001516,0.007475,0.005727,1.003060,11241.196620,11241.381746,11241.929557,11241.931752
0.001741,0.007260,0.005756,1.002675,11244.957661,11245.146591,11245.705446,11245.707474
0.001550,0.007344,0.006191,1.002539,11248.735057,11248.931246,11249.476617,11249.478725
0.001586,0.010995,0.005885,1.006271,11252.508635,11252.696328,11253.253222,11253.254964
0.001617,0.006892,0.005547,1.002400,11256.279618,11256.474710,11257.049230,11257.051048
0.001511,0.008013,0.006624,1.003237,11260.078622,11260.265632,11260.819427,11260.821157
0.001733,0.012088,0.006281,1.007039,11263.852332,11264.037454,11264.585994,11264.587662
0.001690,0.007209,0.005823,1.002351,11267.613504,11267.807440,11268.384393,11268.386565
0.007573,0.006966,0.010353,1.004418,11271.412458,11271.602265,11272.167385,11272.168873
0.006786,0.006630,0.011332,1.002410,11275.193634,11275.382036,11275.940824,11275.942578
0.001241,0.006343,0.005513,1.001884,11278.967138,11279.157808,11279.719326,11279.721148
0.001493,0.006242,0.004763,1.002474,11282.745903,11282.932535,11283.486659,11283.487982
0.001341,0.006935,0.005137,1.002808,11286.513089,11286.697481,11287.245289,11287.246778
0.001656,0.006705,0.005286,1.002444,11290.270986,11290.462068,11291.028703,11291.030778
0.001636,0.006921,0.005286,1.002620,11294.055113,11294.243717,11294.800791,11294.802198
0.001609,0.006439,0.005162,1.002351,11297.826687,11298.017705,11298.585918,11298.587787
0.001623,0.007268,0.005357,1.002866,11301.613051,11301.803365,11302.368157,11302.369567
0.001722,0.011970,0.005520,1.007544,11305.399566,11305.587325,11306.144696,11306.146076
0.001474,0.013113,0.005835,1.008278,11309.177197,11309.380789,11309.985507,11309.987034
0.001417,0.007057,0.005847,1.002504,11313.012091,11313.201916,11313.760743,11313.762692
0.001549,0.006121,0.005123,1.002092,11316.785120,11316.995382,11317.622234,11317.624400
0.001548,0.006716,0.005284,1.002452,11320.650916,11320.864727,11321.496627,11321.498520
0.001588,0.006972,0.005315,1.002538,11324.523345,11324.731078,11325.345313,11325.347033
0.007649,0.007198,0.012161,1.002864,11328.384995,11328.573618,11328.762608,11328.764693
0.001510,0.006604,0.005145,1.002447,11331.789101,11331.998682,11332.208612,11332.210434
0.000925,0.007405,0.003605,1.004275,11335.236488,11335.426475,11335.616220,11335.617823
0.006192,0.007013,0.010430,1.003045,11338.642495,11338.832606,11339.022313,11339.024201
0.006853,0.013439,0.009593,1.010880,11342.055508,11342.243887,11342.432501,11342.434616
0.001823,0.006734,0.005533,1.002364,11345.459853,11345.650367,11345.840636,11345.842436
0.001502,0.006426,0.005242,1.002262,11348.866864,11349.079272,11349.290594,11349.292582
0.001451,0.013341,0.005305,1.009043,11352.323494,11352.533498,11352.742774,11352.744797
0.001528,0.013668,0.005511,1.009180,11355.776337,11355.984751,11356.193240,11356.195229
0.001356,0.007268,0.005844,1.002339,11359.220484,11359.413284,11359.605292,11359.606652
0.001607,0.011758,0.005462,1.007315,11362.635678,11362.850049,11363.063419,11363.064973
0.001374,0.006937,0.005950,1.002238,11366.089794,11366.278687,11366.467964,11366.469146
0.005168,0.006641,0.007678,1.004410,11369.494534,11369.684968,11369.875668,11369.877583
0.005844,0.006788,0.010138,1.002713,11372.902696,11373.111886,11373.318949,11373.320901
0.006537,0.009568,0.011318,1.005206,11376.348553,11376.540044,11376.730709,11376.732148
0.001348,0.007073,0.005368,1.002837,11379.757423,11380.136772,11380.327783,11380.329303
0.006352,0.006628,0.007572,1.005084,11383.353717,11383.547341,11383.740781,11383.742570
0.001661,0.006908,0.005395,1.002745,11386.767262,11386.959043,11387.151016,11387.152894
0.001632,0.008829,0.005420,1.004477,11390.179890,11390.369225,11390.557324,11390.558837
0.007941,0.014056,0.010649,1.011687,11393.591441,11393.781967,11393.970876,11393.972962
0.001644,0.013263,0.005565,1.008913,11397.003502,11397.215409,11397.424093,11397.424372
0.001471,0.006752,0.005368,1.002569,11400.448128,11400.638237,11400.828037,11400.830133
0.001628,0.007151,0.005625,1.002510,11403.855621,11404.045297,11404.235296,11404.236548
0.001701,0.009495,0.005521,1.005031,11407.263976,11407.449047,11407.633506,11407.635316
0.001589,0.007042,0.005726,1.002428,11410.661230,11410.855369,11411.047562,11411.049571
0.001572,0.007040,0.005497,1.002556,11414.074917,11414.265855,11414.455528,11414.456916
0.001556,0.009266,0.005329,1.004963,11417.484294,11417.678534,11417.872486,11417.874026
0.001616,0.005918,0.005740,1.001288,11420.897178,11421.118237,11421.305572,11421.307251
0.001566,0.007250,0.005184,1.003097,11424.333061,11424.524641,11424.716639,11424.718584
0.002186,0.007064,0.005213,1.003366,11427.743959,11427.953110,11428.162030,11428.164036
0.001538,0.007120,0.005181,1.002942,11431.201947,11431.407975,11431.609929,11431.611495
0.001538,0.006841,0.005806,1.002325,11434.636205,11434.822863,11435.005962,11435.007710
0.001524,0.011000,0.005647,1.006345,11438.036494,11438.230772,11438.421216,11438.422658
0.001630,0.011451,0.005373,1.007163,11441.451710,11441.820428,11441.823292,11441.824821
0.001577,0.006353,0.005508,1.002021,11444.848799,11445.039195,11445.226464,11445.228160
