DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001230,0.005176,0.005301,1.000598,18809.669137,18809.878526,18810.085338,18810.086112
0.006481,0.005601,0.010993,1.001476,18813.108665,18813.298306,18813.485946,18813.487029
0.002816,0.005328,0.005565,1.001411,18816.509585,18816.704456,18816.896172,18816.897135
0.001762,0.005880,0.004907,1.002017,18819.920707,18820.111264,18820.299931,18820.300860
0.001424,0.005418,0.005674,1.000541,18823.322803,18823.515009,18823.698939,18823.699848
0.007224,0.005759,0.010507,1.004411,18826.722752,18826.932917,18827.140378,18827.141535
0.001847,0.005839,0.005243,1.001846,18830.164589,18830.350597,18830.534379,18830.535288
0.001261,0.009427,0.005513,1.004258,18833.562267,18833.770862,18833.976750,18833.977858
0.001771,0.005020,0.005775,1.000335,18836.998553,18837.212050,18837.423285,18837.424481
0.001653,0.005293,0.005497,1.000607,18840.446894,18840.635767,18840.820889,18840.822139
0.002480,0.008155,0.005191,1.004174,18843.846626,18844.060517,18844.264365,18844.265554
0.001257,0.011603,0.005686,1.006408,18847.294205,18847.504030,18847.711994,18847.713384
0.001376,0.006142,0.005426,1.001502,18850.735745,18850.946085,18851.153765,18851.154873
0.001150,0.005368,0.006719,1.001138,18854.176672,18854.387640,18854.596380,18854.597485
0.001292,0.006162,0.006007,1.000730,18857.621262,18857.828208,18858.015913,18858.017126
0.001167,0.008800,0.006418,1.003805,18861.042900,18861.232413,18861.419884,18861.421068
0.007161,0.008882,0.011622,1.004701,18864.445803,18864.637672,18864.826710,18864.827779
0.001511,0.005405,0.005982,1.000687,18867.850835,18868.058755,18868.264050,18868.265038
0.001653,0.008953,0.005671,1.004345,18871.289008,18871.480624,18871.670606,18871.671878
0.001420,0.005417,0.005124,1.000587,18874.694821,18874.881659,18875.066494,18875.067589
0.001268,0.005240,0.006245,1.000064,18878.090175,18878.282412,18878.471748,18878.472905
0.001300,0.005678,0.005888,1.000282,18881.496642,18881.682472,18881.866007,18881.867145
0.001323,0.009957,0.006421,1.004780,18884.893742,18885.100118,18885.304502,18885.305570
0.001673,0.005353,0.005340,1.001044,18888.328202,18888.517404,18888.703726,18888.704655
0.001857,0.011520,0.005680,1.007036,18891.733617,18891.925936,18892.116425,18892.117715
0.001276,0.010826,0.005886,1.005548,18895.146307,18895.361739,18895.569718,18895.571031
0.003584,0.010706,0.007236,1.008992,18898.598499,18898.808375,18899.016284,18899.017274
0.002265,0.009008,0.004838,1.004856,18902.041954,18902.231217,18902.419071,18902.420292
0.001307,0.006020,0.005193,1.001141,18905.442919,18905.633099,18905.821838,18905.822964
0.001483,0.005498,0.005906,1.000431,18908.845734,18909.041373,18909.232984,18909.234052
0.001149,0.005414,0.005980,1.000431,18912.270060,18912.461917,18912.651625,18912.653047
0.001749,0.005298,0.005194,1.001187,18915.675798,18915.862570,18916.046749,18916.047686
0.001404,0.005848,0.005886,1.000989,18919.070438,18919.279374,18919.486338,18919.487696
0.001286,0.005786,0.006052,1.000752,18922.510654,18922.705390,18922.897297,18922.898465
0.001518,0.005826,0.005350,1.000963,18925.921561,18926.127343,18926.330891,18926.331938
0.001272,0.005993,0.005090,1.001295,18929.355383,18929.592916,18929.799444,18929.800751
0.001224,0.005691,0.005669,1.000247,18932.823511,18933.031211,18933.236458,18933.237624
0.001496,0.005538,0.006622,1.000033,18936.260885,18936.453931,18936.645042,18936.646124
0.001771,0.005615,0.005887,1.000771,18939.669282,18939.881230,18940.089328,18940.090592
0.001462,0.005261,0.005538,1.000547,18943.113511,18943.304176,18943.492448,18943.493514
0.001328,0.005581,0.005684,1.000756,18946.516143,18946.708738,18946.891578,18946.892800
0.001281,0.005656,0.006083,1.000721,18949.915931,18950.122576,18950.327040,18950.328130
0.001363,0.005634,0.005841,1.000776,18953.351426,18953.557951,18953.762085,18953.763277
0.001223,0.009901,0.006136,1.004906,18956.790165,18956.976242,18957.160507,18957.161517
0.001618,0.004367,0.005215,1.000151,18960.181897,18960.390098,18960.596287,18960.597945
0.001447,0.008194,0.005521,1.003888,18963.622333,18963.812630,18964.000760,18964.002151
0.001275,0.005713,0.006724,1.000139,18967.025629,18967.246203,18967.456694,18967.457958
0.001278,0.006153,0.005238,1.001434,18970.481147,18970.671472,18970.859808,18970.861119
0.001599,0.005658,0.006056,1.000199,18973.885273,18974.100358,18974.308208,18974.309315
0.001408,0.005410,0.006214,1.000435,18977.332416,18977.539384,18977.743645,18977.744946
0.001495,0.005580,0.006008,1.000310,18980.768733,18980.991050,18981.198244,18981.199653
0.001238,0.008987,0.005840,1.003986,18984.226120,18984.417026,18984.605494,18984.606555
0.001559,0.005481,0.005570,1.000564,18987.629444,18987.835910,18988.040027,18988.040910
0.005990,0.009314,0.009475,1.007557,18991.066599,18991.255435,18991.442208,18991.443407
0.001404,0.009499,0.006192,1.004247,18994.469993,18994.689433,18994.894796,18994.895858
0.005234,0.005790,0.009179,1.002111,18997.919011,18998.131010,18998.340280,18998.341361
0.001689,0.005526,0.005963,1.000806,19001.363977,19001.574045,19001.781851,19001.783074
0.001431,0.009686,0.005353,1.005211,19004.809988,19005.000637,19005.185121,19005.186168
0.001537,0.005252,0.005439,1.000419,19008.208493,19008.422310,19008.630339,19008.631413
0.001157,0.010617,0.005559,1.006072,19011.658026,19011.844390,19012.028990,19012.030099
0.001274,0.005315,0.005335,1.000420,19015.065729,19015.256005,19015.275821,19015.277045
0.001859,0.004916,0.005146,1.000839,19018.298850,19018.504594,19018.708149,19018.709188
0.002164,0.005368,0.004528,1.002860,19021.731105,19021.942652,19022.149336,19022.150555
0.005897,0.009595,0.010102,1.005646,19025.176834,19025.385430,19025.592443,19025.593818
0.001421,0.011206,0.005126,1.007023,19028.622512,19028.812957,19029.001062,19029.002221
0.007134,0.005603,0.011158,1.002749,19032.024757,19032.235931,19032.444642,19032.445714
0.001328,0.005950,0.006221,1.000783,19035.469209,19035.661300,19035.845915,19035.847312
0.001339,0.009637,0.006039,1.004807,19038.875031,19039.100117,19039.284292,19039.285752
0.001313,0.005800,0.005717,1.000658,19042.309000,19042.521693,19042.732140,19042.733107
0.006740,0.010724,0.009050,1.008785,19045.761553,19045.966505,19046.169358,19046.170528
0.005149,0.005523,0.009993,1.001015,19049.192682,19049.399089,19049.603570,19049.604738
0.001418,0.005351,0.005724,1.000565,19052.626936,19052.819864,19053.010667,19053.011800
0.001467,0.005270,0.005706,1.000358,19056.033958,19056.225774,19056.415956,19056.417226
0.007174,0.005405,0.011556,1.001427,19059.439774,19059.648334,19059.853528,19059.854612
0.001408,0.005650,0.005635,1.000956,19062.877549,19063.066079,19063.251813,19063.252918
0.005168,0.005819,0.008340,1.002913,19066.276547,19066.466984,19066.653217,19066.654222
0.004522,0.005540,0.009596,1.000780,19069.677748,19069.884291,19070.087256,19070.088392
0.006241,0.006115,0.009829,1.004392,19073.112144,19073.305104,19073.492049,19073.493009
0.001315,0.005562,0.006209,1.000457,19076.515746,19076.724683,19076.931740,19076.933008
0.001731,0.005969,0.005585,1.001642,19079.956365,19080.176695,19080.360929,19080.362089
0.001591,0.005120,0.005772,1.000531,19083.383419,19083.596429,19083.806550,19083.807702
0.001392,0.009392,0.005236,1.004623,19086.834634,19087.043586,19087.249917,19087.251157
0.001394,0.005962,0.004981,1.001743,19090.274472,19090.489251,19090.693962,19090.695262
0.001228,0.010639,0.005571,1.005588,19093.722728,19093.914970,19094.104844,19094.105970
0.001304,0.005645,0.005681,1.000513,19097.128381,19097.337140,19097.542430,19097.543560
0.001249,0.009698,0.006129,1.004711,19100.570512,19100.780107,19100.987654,19100.988909
0.001762,0.005363,0.005495,1.000976,19104.011438,19104.198438,19104.383074,19104.384270
0.001298,0.005270,0.005223,1.000635,19107.406588,19107.620858,19107.831889,19107.832963
0.001792,0.005292,0.005446,1.001037,19110.855211,19111.044164,19111.230955,19111.232306
0.001212,0.005414,0.005899,1.000552,19114.254751,19114.443113,19114.628636,19114.629863
0.005719,0.005277,0.009668,1.002004,19117.665721,19117.855972,19118.043057,19118.044131
0.002194,0.005083,0.006308,1.001264,19121.066326,19121.255854,19121.442937,19121.444119
0.001293,0.005718,0.005629,1.000691,19124.467213,19124.654174,19124.835256,19124.836324
0.001448,0.005841,0.005624,1.000944,19127.859312,19128.052499,19128.243111,19128.244123
0.001289,0.005445,0.005604,1.000490,19131.266934,19131.455231,19131.641148,19131.642171
0.005363,0.010794,0.010412,1.006076,19134.669880,19134.897194,19135.104576,19135.105771
0.001272,0.005379,0.005701,1.000261,19138.128273,19138.339765,19138.549433,19138.550536
0.001347,0.005747,0.005495,1.001308,19141.573496,19141.761056,19141.945155,19141.946325
0.001431,0.005461,0.005318,1.000972,19144.968800,19145.153824,19145.336422,19145.337505
0.001738,0.005761,0.005639,1.001520,19148.360720,19148.548438,19148.734332,19148.735700
0.001448,0.008999,0.006095,1.003674,19151.761751,19151.973213,19152.183020,19152.184528
0.008443,0.005388,0.012741,1.001812,19155.207242,19155.414803,19155.620334,19155.621388
0.001238,0.005420,0.006346,1.000113,19158.643441,19158.837906,19159.030161,19159.031084
0.001571,0.010947,0.005540,1.006448,19162.058445,19162.264445,19162.468761,19162.469867
0.001323,0.005287,0.005785,1.000432,19165.492397,19165.683277,19165.871627,19165.872659
0.001339,0.005402,0.006131,1.000414,19168.895386,19169.083019,19169.268708,19169.269719
