DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001315,0.008260,0.004816,1.004111,25415.997269,25416.440782,25417.294867,25417.296873
0.001741,0.013098,0.005523,1.008652,25419.331177,25419.785211,25420.630890,25420.633035
0.001772,0.008452,0.005448,1.004240,25422.662162,25423.107212,25423.951277,25423.953380
0.001623,0.008175,0.005293,1.004052,25425.982382,25426.420040,25427.181864,25427.183962
0.007533,0.007690,0.011578,1.003976,25429.211367,25429.633025,25430.386046,25430.387927
0.001378,0.007424,0.004817,1.003786,25432.415601,25432.837352,25433.599819,25433.601368
0.007006,0.013522,0.010792,1.009876,25435.634080,25436.051165,25436.789524,25436.791567
0.001503,0.012972,0.005408,1.008794,25438.824673,25439.265477,25440.084147,25440.085919
0.001407,0.007547,0.004537,1.003882,25442.113693,25442.535935,25443.276786,25443.278097
0.001201,0.007602,0.004947,1.003967,25445.304874,25445.730240,25446.486787,25446.488751
0.001464,0.007579,0.005092,1.009909,25448.522319,25448.958740,25449.775290,25449.777293
0.001611,0.007754,0.004602,1.003985,25451.804867,25452.226750,25452.988303,25452.989997
0.001487,0.007547,0.004724,1.003909,25455.017677,25455.439495,25456.191924,25456.193638
0.001428,0.012615,0.004385,1.009157,25458.225680,25458.651108,25459.409126,25459.410956
0.004916,0.007174,0.008416,1.003981,25461.437808,25461.859921,25462.606877,25462.608707
0.001581,0.011359,0.004543,1.007763,25464.640290,25465.065334,25465.834416,25465.836217
0.001351,0.007319,0.004976,1.003651,25467.863301,25468.301717,25469.038543,25469.040197
0.007030,0.007234,0.008716,1.005858,25471.066681,25471.505151,25472.324323,25472.326096
0.001388,0.007076,0.004360,1.003694,25474.352497,25474.783674,25475.554954,25475.556765
0.001601,0.007127,0.004494,1.003732,25477.583694,25478.021222,25478.840769,25478.842559
0.001432,0.007159,0.004539,1.003476,25480.869403,25481.303251,25482.112332,25482.114184
0.005403,0.007651,0.009145,1.004176,25484.141778,25484.583125,25485.609305,25485.611110
0.006351,0.007918,0.008926,1.005628,25487.638969,25488.060068,25488.818045,25488.819828
0.001363,0.011230,0.004209,1.007776,25490.850960,25491.295009,25492.127582,25492.129490
0.001595,0.007982,0.004985,1.004068,25494.157545,25494.583032,25495.337908,25495.338932
0.001338,0.007657,0.004856,1.004107,25497.365726,25497.783412,25498.528647,25498.530450
0.001635,0.012280,0.004239,1.009084,25500.562500,25501.008772,25501.852315,25501.853994
0.001382,0.007474,0.004950,1.003717,25503.881168,25504.302729,25505.066651,25505.068899
0.004919,0.007692,0.007062,1.005898,25507.097524,25507.521617,25508.262219,25508.263715
0.001440,0.007893,0.005075,1.004071,25510.291703,25510.725650,25511.539654,25511.541643
0.004257,0.007958,0.008057,1.004502,25513.583858,25514.002323,25514.369616,25514.371647
0.001520,0.007905,0.005116,1.003622,25516.400590,25516.820730,25517.197401,25517.199364
0.001278,0.007350,0.005237,1.003140,25519.227213,25519.645206,25520.022289,25520.024242
0.001406,0.007729,0.005128,1.003939,25522.052444,25522.472705,25522.849107,25522.851133
0.001650,0.014217,0.004910,1.010536,25524.886284,25525.303905,25525.674807,25525.676688
0.001857,0.010154,0.004672,1.006602,25527.707440,25528.128787,25528.506484,25528.508540
0.001639,0.014410,0.005017,1.010449,25530.542312,25530.962724,25531.340499,25531.342256
0.005590,0.007759,0.009425,1.004267,25533.370264,25533.795127,25534.171045,25534.172679
0.001536,0.007392,0.004553,1.003772,25536.199988,25536.621960,25536.992130,25536.993883
0.004718,0.007596,0.006339,1.006259,25539.021437,25539.465129,25539.885587,25539.887574
0.001167,0.007587,0.004909,1.003584,25541.915018,25542.339367,25542.713221,25542.715271
0.001437,0.007691,0.005171,1.003791,25544.743766,25545.185330,25545.598253,25545.600198
0.001472,0.007759,0.004905,1.003723,25547.628471,25548.066989,25548.475287,25548.477241
0.001357,0.007814,0.005769,1.003646,25550.505638,25550.931873,25551.315687,25551.317656
0.001649,0.007812,0.005069,1.003887,25553.346336,25553.763641,25554.133427,25554.135266
0.001484,0.008250,0.004571,1.004669,25556.164451,25556.582979,25556.955604,25556.957756
0.005016,0.007981,0.006786,1.006496,25558.985872,25559.402728,25559.776794,25559.778887
0.001664,0.007590,0.004975,1.003781,25561.807790,25562.224346,25562.591487,25562.593592
0.001277,0.008398,0.004808,1.004660,25564.622414,25565.042389,25565.417508,25565.419211
0.005196,0.011384,0.008640,1.008308,25567.450590,25567.866600,25568.233721,25568.235635
0.001683,0.011663,0.004525,1.008067,25570.266571,25570.752320,25571.173778,25571.175860
0.001639,0.007703,0.004833,1.003925,25573.204173,25573.645716,25574.061500,25574.063367
0.001469,0.007785,0.004845,1.004062,25576.091668,25576.528982,25576.939020,25576.940949
0.001414,0.007489,0.005270,1.003533,25578.968116,25579.390757,25579.774412,25579.776055
0.001733,0.007995,0.004691,1.004270,25581.804187,25582.222155,25582.590744,25582.593107
0.001465,0.007933,0.004847,1.003980,25584.623084,25585.064339,25585.440459,25585.442400
0.001569,0.007716,0.004853,1.003760,25587.470518,25587.921032,25588.335294,25588.337125
0.001214,0.007595,0.004782,1.003475,25590.365077,25590.756595,25591.135006,25591.136847
0.001753,0.007847,0.004600,1.004229,25593.164979,25593.588690,25593.968564,25593.970788
0.001739,0.008099,0.004795,1.004388,25595.999221,25596.423904,25596.806591,25596.808631
0.001899,0.011748,0.004581,1.008358,25598.854422,25599.281721,25599.474846,25599.476736
0.001678,0.007264,0.004920,1.003509,25601.506387,25601.956652,25602.164558,25602.166264
0.001695,0.007412,0.004452,1.003984,25604.193513,25604.614228,25604.803832,25604.805581
0.001501,0.007283,0.004661,1.003596,25606.833227,25607.272699,25607.479241,25607.481194
0.001533,0.007885,0.005003,1.003799,25609.509057,25609.955101,25610.147869,25610.149900
0.007828,0.011906,0.009876,1.010380,25612.182899,25612.602531,25612.791689,25612.793552
0.001633,0.007676,0.004888,1.003962,25614.821532,25615.252452,25615.443708,25615.445553
0.001758,0.007559,0.004905,1.003692,25617.473947,25617.922483,25618.132827,25618.134550
0.001505,0.012833,0.004446,1.009480,25620.166388,25620.591878,25620.781969,25620.783544
0.001657,0.008239,0.004603,1.004700,25622.813080,25623.250535,25623.456025,25623.457714
0.001313,0.008841,0.004785,1.005314,25625.486715,25625.908211,25626.093716,25626.095544
0.001366,0.014740,0.004488,1.011082,25628.130119,25628.569109,25628.773653,25628.775403
0.001436,0.007435,0.004692,1.003640,25630.801998,25631.224641,25631.416515,25631.418257
0.001510,0.007515,0.004276,1.004203,25633.446367,25633.868393,25634.061545,25634.063573
0.001725,0.007365,0.005083,1.003318,25636.090872,25636.514765,25636.708098,25636.710099
0.005324,0.012549,0.009019,1.009151,25638.742922,25639.176556,25639.389205,25639.390987
0.001506,0.008115,0.005166,1.003786,25641.420198,25641.842770,25642.033336,25642.035500
0.001303,0.007919,0.005488,1.003557,25644.064345,25644.489352,25644.677453,25644.679396
0.001585,0.008229,0.004727,1.004567,25646.709013,25647.125033,25647.309540,25647.311728
0.001268,0.008598,0.005284,1.004526,25649.342330,25649.782504,25649.987027,25649.989165
0.001615,0.008094,0.005426,1.003641,25652.018561,25652.463598,25652.671362,25652.673215
0.001537,0.007601,0.005254,1.003781,25654.701055,25655.119990,25655.305650,25655.307415
