DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001412,0.018568,1.026344,1.022290,34331.474327,34331.705734,34336.500420,34336.502328
0.001713,0.017974,1.026666,1.022256,34338.587035,34338.814393,34343.521058,34343.523095
0.001835,0.022176,1.030854,1.026466,34345.610805,34345.840592,34350.648109,34350.650222
0.001538,0.017569,1.026008,1.021726,34352.733460,34352.959574,34357.649467,34357.651220
0.001485,0.017341,1.025558,1.021833,34359.734141,34359.946026,34364.321551,34364.323313
0.001430,0.018641,1.027181,1.023503,34366.409215,34366.625827,34370.897070,34370.898780
0.001487,0.021332,1.029903,1.025987,34372.985740,34373.209932,34377.851913,34377.853813
0.005570,0.022270,1.030534,1.026593,34379.943102,34380.170714,34384.849772,34384.851668
0.001195,0.018406,1.027127,1.022625,34386.937971,34387.148993,34391.674608,34391.676435
0.001493,0.017899,1.027309,1.023125,34393.762389,34393.972678,34398.487644,34398.489495
0.001481,0.017816,1.026831,1.022431,34400.575062,34400.782468,34405.245429,34405.247617
0.001449,0.019271,1.027839,1.023281,34407.336809,34407.567876,34412.348910,34412.350898
0.001690,0.021009,1.029642,1.025526,34414.439382,34414.647438,34418.925558,34418.927363
0.001423,0.018110,1.028694,1.024304,34421.015227,34421.224367,34425.533687,34425.535721
0.006094,0.018718,1.026921,1.022313,34427.621548,34427.849024,34432.580949,34432.582667
0.001296,0.020932,1.036426,1.031620,34434.677066,34434.888444,34439.187197,34439.189231
0.001515,0.018178,1.026712,1.022705,34441.273959,34441.481557,34445.752560,34445.753965
0.001371,0.020497,1.029256,1.024528,34447.840483,34448.072090,34452.786100,34452.788022
0.004178,0.018078,1.026531,1.023517,34454.872900,34455.084371,34459.402844,34459.404714
0.001616,0.017793,1.026263,1.022206,34461.489460,34461.700877,34466.173947,34466.175554
0.005057,0.017770,1.026002,1.023200,34468.260511,34468.470201,34472.725101,34472.727111
0.001579,0.021250,1.032743,1.028684,34474.818373,34475.026015,34479.285443,34479.287458
0.001252,0.025098,1.033829,1.029617,34481.379763,34481.606863,34486.317845,34486.319891
0.001447,0.019923,1.028441,1.024016,34488.406595,34488.642736,34493.417438,34493.419358
0.001421,0.018296,1.028575,1.024784,34495.505894,34495.714138,34500.007558,34500.009426
0.001599,0.019707,1.028342,1.024577,34502.096434,34502.325178,34507.051065,34507.053111
0.001553,0.018488,1.027098,1.022581,34509.137381,34509.361569,34513.997753,34513.999685
0.007633,0.017994,1.026400,1.022425,34516.084686,34516.294006,34520.748344,34520.750301
0.001606,0.021078,1.029458,1.025292,34522.837758,34523.052446,34527.461385,34527.463422
0.001515,0.017461,1.025958,1.022007,34529.548167,34529.756793,34534.216359,34534.218407
0.005848,0.017602,1.025781,1.021745,34536.316490,34536.548051,34538.846473,34538.848457
0.001209,0.017295,1.025829,1.022749,34540.932903,34541.157439,34543.388556,34543.390398
0.006884,0.022606,1.031560,1.028950,34545.480050,34545.688402,34547.735625,34547.737720
0.001504,0.023110,1.034059,1.029784,34549.829833,34550.039306,34552.080778,34552.082705
0.001574,0.017907,1.026366,1.022225,34554.167957,34554.406501,34556.660348,34556.662229
0.001349,0.017069,1.025951,1.021932,34558.748561,34558.975807,34561.230923,34561.232741
0.001581,0.018281,1.027191,1.023392,34563.316440,34563.544079,34565.590515,34565.592508
0.001408,0.021185,1.030036,1.025464,34567.681758,34567.891401,34569.956330,34569.958293
0.001410,0.018322,1.026757,1.022632,34572.042775,34572.271513,34574.547665,34574.549688
0.001560,0.017968,1.029826,1.025678,34576.639561,34576.872409,34579.105743,34579.107845
