DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.006305,0.003545,0.000941,0.005970,15578.169248,15578.357648,15578.731852,15578.733112
0.002030,0.003331,0.000866,0.006594,15580.947045,15581.134691,15581.506962,15581.507906
0.006564,0.003467,0.001277,0.007085,15583.743112,15583.950366,15584.362848,15584.364267
0.010322,0.003294,0.004638,0.009867,15586.581884,15586.771397,15587.144630,15587.145858
0.006837,0.003917,0.001201,0.006571,15589.381877,15589.591528,15590.009509,15590.010557
0.007359,0.003459,0.001297,0.006526,15592.227870,15592.418966,15592.798704,15592.800326
0.006818,0.003331,0.001099,0.006720,15595.032149,15595.237849,15595.646764,15595.647435
0.006950,0.003256,0.001503,0.006700,15597.858607,15598.045161,15598.415921,15598.417371
0.014331,0.003043,0.008621,0.013042,15600.640470,15600.831638,15601.211425,15601.213063
0.007039,0.001120,0.001652,0.004731,15603.430614,15603.622296,15604.002297,15604.004099
0.011692,0.003243,0.005456,0.009663,15606.223325,15606.411929,15606.787246,15606.788505
0.006735,0.003175,0.001390,0.006567,15609.022992,15609.234454,15609.650201,15609.651374
0.006586,0.000880,0.001052,0.003625,15611.870903,15612.066242,15612.451453,15612.452937
0.007078,0.001389,0.001265,0.003928,15614.685817,15614.897654,15615.310256,15615.311338
0.006111,0.003340,0.001067,0.006612,15617.526423,15617.717119,15618.093567,15618.094746
0.006779,0.000982,0.001487,0.004725,15620.313165,15620.513610,15620.895143,15620.896430
0.011921,0.008752,0.006540,0.009823,15623.114834,15623.304578,15623.681083,15623.682292
0.006954,0.003089,0.001300,0.006489,15625.898027,15626.087418,15626.464853,15626.465872
0.006903,0.003305,0.001449,0.006947,15628.703645,15628.914498,15629.332597,15629.333619
0.006447,0.003174,0.001470,0.006979,15631.565179,15631.771472,15632.181937,15632.183091
0.010890,0.007190,0.005158,0.008558,15634.399273,15634.590431,15634.967440,15634.968504
0.006705,0.001298,0.001081,0.004366,15637.185323,15637.381411,15637.759429,15637.760690
0.006942,0.003332,0.001360,0.006337,15639.967745,15640.150301,15640.510811,15640.512269
