DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.007165,0.001365,0.001143,0.003869,20900.820053,20901.005733,20901.190678,20901.191994
0.007194,0.001729,0.000898,0.004139,20901.910319,20902.112926,20902.307424,20902.308542
0.006432,0.001560,0.001120,0.004084,20903.016782,20903.203702,20903.390755,20903.391953
0.007191,0.001437,0.001096,0.003915,20904.103839,20904.295344,20904.484919,20904.486106
0.007099,0.001800,0.001134,0.004000,20905.200502,20905.393946,20905.586393,20905.587492
0.007073,0.001428,0.001235,0.004013,20906.315959,20906.523703,20906.730493,20906.731624
0.007327,0.001530,0.001195,0.004172,20907.445822,20907.636886,20907.827798,20907.828927
0.010617,0.001627,0.001320,0.003927,20908.546509,20908.738726,20908.930319,20908.931633
0.007357,0.001431,0.001122,0.003910,20909.662071,20909.870299,20910.077678,20910.078799
0.012022,0.001469,0.006060,0.008349,20910.811557,20911.017868,20911.224401,20911.225791
0.008087,0.001440,0.001191,0.003978,20911.960408,20912.171735,20912.381829,20912.383133
0.011086,0.001559,0.004822,0.007707,20913.114653,20913.323000,20913.529356,20913.530589
0.007215,0.001663,0.001184,0.004039,20914.240468,20914.430060,20914.618255,20914.619501
0.007409,0.001502,0.001337,0.004124,20915.350255,20915.558622,20915.766393,20915.767281
0.006864,0.001699,0.001200,0.004253,20916.474645,20916.659256,20916.844062,20916.845500
0.006860,0.001600,0.001179,0.004063,20917.577604,20917.787968,20917.997446,20917.998583
0.006996,0.001416,0.001030,0.003652,20918.706658,20918.905077,20919.091240,20919.092573
0.007388,0.001585,0.001103,0.003970,20919.799698,20919.984264,20920.168784,20920.169916
0.006305,0.001642,0.000960,0.004043,20920.899669,20921.107651,20921.314357,20921.315419
0.007461,0.001580,0.001172,0.004008,20922.029694,20922.220627,20922.411551,20922.412817
0.010342,0.005409,0.004390,0.006063,20923.123398,20923.310058,20923.496206,20923.497321
0.007432,0.001569,0.001172,0.004099,20924.212252,20924.404667,20924.596107,20924.597092
0.007282,0.001466,0.001068,0.003755,20925.306189,20925.494838,20925.681650,20925.682835
0.007023,0.001389,0.001027,0.003587,20926.387980,20926.573046,20926.756389,20926.757468
0.007501,0.001775,0.001259,0.004215,20927.469511,20927.661659,20927.850409,20927.851556
0.006311,0.001552,0.001150,0.004110,20928.564387,20928.754417,20928.944351,20928.945431
0.007221,0.001654,0.001135,0.003927,20929.678427,20929.894693,20930.104355,20930.105474
0.007458,0.001539,0.001077,0.004178,20930.815781,20931.017917,20931.204856,20931.206129
0.007139,0.001705,0.001190,0.004279,20931.917035,20932.116849,20932.304721,20932.305719
0.008260,0.001780,0.001063,0.004089,20933.019010,20933.208449,20933.397967,20933.399435
0.013337,0.008531,0.007753,0.009505,20934.129114,20934.316964,20934.503028,20934.504138
0.007169,0.001523,0.001216,0.004411,20935.211229,20935.395300,20935.577601,20935.578571
0.007130,0.001390,0.001220,0.004014,20936.306828,20936.512734,20936.716929,20936.718024
0.008078,0.001730,0.001084,0.004143,20937.450500,20937.659808,20937.866938,20937.868166
0.007120,0.001619,0.001223,0.004126,20938.578029,20938.766239,20938.952196,20938.953317
0.007325,0.001598,0.001307,0.004361,20939.666289,20939.855435,20940.042589,20940.043729
0.007117,0.001633,0.001088,0.003904,20940.777229,20940.987681,20941.197085,20941.198312
0.007618,0.001436,0.000919,0.003749,20941.907962,20942.095503,20942.280412,20942.281626
0.012663,0.001571,0.007003,0.009053,20942.998676,20943.189345,20943.377807,20943.379182
0.007280,0.001640,0.001147,0.004096,20944.108291,20944.315034,20944.519596,20944.520614
0.007106,0.001518,0.001105,0.003991,20945.230681,20945.429489,20945.614498,20945.615505
0.007387,0.001786,0.000941,0.004218,20946.349357,20946.560030,20946.768744,20946.769953
0.007304,0.001595,0.001173,0.004124,20947.487278,20947.681952,20947.875059,20947.876335
0.007508,0.001535,0.001209,0.004416,20948.589719,20948.780523,20948.968656,20948.969718
0.007557,0.001649,0.001183,0.004175,20949.703018,20949.914084,20950.121706,20950.122975
0.006926,0.001563,0.001223,0.004204,20950.832750,20951.020188,20951.205775,20951.207096
0.012399,0.006876,0.006087,0.007765,20951.939966,20952.146362,20952.350494,20952.351600
0.007238,0.001529,0.001239,0.004234,20953.062150,20953.249747,20953.436297,20953.437630
0.007459,0.001516,0.001380,0.004414,20954.165088,20954.369628,20954.571973,20954.573423
0.007717,0.001481,0.000994,0.003095,20955.304470,20955.512685,20955.719470,20955.720476
0.007198,0.001641,0.001146,0.004198,20956.436785,20956.630262,20956.820829,20956.821801
0.007635,0.001470,0.001202,0.003596,20957.550993,20957.759906,20957.965770,20957.966879
0.011424,0.006235,0.005376,0.007071,20958.679526,20958.877394,20958.879436,20958.880380
0.012000,0.001564,0.007160,0.009736,20959.593440,20959.778798,20959.962285,20959.963532
0.007054,0.001576,0.000880,0.003430,20960.671479,20960.871190,20961.054520,20961.055679
0.007266,0.001535,0.001221,0.004113,20961.789261,20962.011363,20962.218873,20962.219652
0.007173,0.001542,0.001057,0.003854,20962.948125,20963.153700,20963.358063,20963.359203
0.008192,0.001691,0.001166,0.003825,20964.069573,20964.257624,20964.442397,20964.443717
0.006744,0.001481,0.001150,0.004092,20965.171250,20965.377949,20965.581350,20965.582490
0.011812,0.007792,0.006768,0.008461,20966.294417,20966.482985,20966.667310,20966.668351
0.006930,0.001505,0.001067,0.003908,20967.408512,20967.612651,20967.815366,20967.816639
0.006515,0.001567,0.001004,0.003642,20968.547005,20968.756183,20968.962890,20968.964405
0.007565,0.001795,0.001429,0.004207,20969.698196,20969.910546,20970.120218,20970.121298
0.007443,0.001783,0.001052,0.004181,20970.855597,20971.066911,20971.275988,20971.276987
0.007240,0.001568,0.001209,0.004167,20971.988997,20972.178627,20972.365884,20972.367070
0.007569,0.001440,0.001135,0.004133,20973.099714,20973.310234,20973.517678,20973.518709
0.007295,0.001723,0.001203,0.004202,20974.247774,20974.455186,20974.660117,20974.661072
0.006485,0.001584,0.001161,0.004034,20975.368428,20975.570650,20975.754679,20975.755507
0.006892,0.001560,0.001088,0.004078,20976.468280,20976.660357,20976.849537,20976.850687
0.001161,0.001546,0.001232,0.003350,20977.562611,20977.750800,20977.938308,20977.939563
0.006846,0.001542,0.001122,0.003901,20978.672117,20978.897076,20979.105233,20979.106393
0.006881,0.001412,0.001153,0.004038,20979.837815,20980.047525,20980.254956,20980.256153
0.006950,0.002027,0.000870,0.003878,20980.974245,20981.167125,20981.358327,20981.359562
0.012641,0.001559,0.007098,0.010250,20982.078229,20982.266999,20982.454038,20982.455095
0.007813,0.001616,0.001308,0.004315,20983.191018,20983.403008,20983.613361,20983.614380
0.007880,0.001551,0.000972,0.003791,20984.329062,20984.524268,20984.714010,20984.714963
0.007573,0.001489,0.001015,0.004589,20985.426569,20985.643083,20985.829529,20985.830727
0.007170,0.001464,0.001287,0.004133,20986.558000,20986.762802,20986.965668,20986.966700
0.005816,0.001568,0.000932,0.002956,20987.676880,20987.865948,20988.053642,20988.054566
0.006254,0.001539,0.001091,0.003870,20988.784308,20988.995597,20989.202621,20989.203846
0.007496,0.001727,0.001076,0.004085,20989.927657,20990.128662,20990.327676,20990.328618
0.007200,0.001419,0.000723,0.002538,20991.040951,20991.234473,20991.423344,20991.424319
0.007350,0.001532,0.001136,0.003900,20992.137945,20992.329341,20992.518561,20992.519558
0.006940,0.001416,0.001157,0.003887,20993.251914,20993.465109,20993.673457,20993.674467
0.007069,0.001556,0.000910,0.002943,20994.385300,20994.575090,20994.762696,20994.763743
0.005629,0.001713,0.001070,0.004007,20995.496257,20995.707196,20995.915575,20995.916925
0.007387,0.001540,0.001109,0.004205,20996.631097,20996.823827,20997.012807,20997.013975
0.007089,0.001691,0.001189,0.004128,20997.726670,20997.916415,20998.104439,20998.105338
0.007363,0.001623,0.001097,0.003986,20998.832911,20999.038666,20999.242134,20999.243244
0.007055,0.001374,0.001122,0.003805,20999.952376,21000.142610,21000.328541,21000.329936
0.007190,0.001461,0.001436,0.003561,21001.051256,21001.237153,21001.423636,21001.424884
0.007147,0.001429,0.001177,0.003056,21002.155042,21002.367130,21002.574413,21002.575666
0.007159,0.002749,0.001989,0.003626,21003.283860,21003.474921,21003.660000,21003.661557
0.007423,0.001579,0.001320,0.003801,21004.372783,21004.563366,21004.750165,21004.751250
0.006233,0.001652,0.001002,0.003630,21005.460740,21005.648365,21005.834331,21005.835337
0.007247,0.001507,0.001235,0.004010,21006.565859,21006.773986,21006.978507,21006.979617
0.006794,0.001621,0.001187,0.004160,21007.708487,21007.916029,21008.121067,21008.122158
0.007757,0.001603,0.000937,0.003779,21008.836105,21009.027592,21009.216482,21009.217938
0.007151,0.001780,0.001157,0.004064,21009.946225,21010.151717,21010.354036,21010.355071
0.006816,0.001441,0.001150,0.004030,21011.080814,21011.286833,21011.488544,21011.489364
0.006767,0.001580,0.001296,0.003930,21012.201782,21012.393100,21012.581810,21012.582880
0.006940,0.001592,0.001007,0.003549,21013.296583,21013.489316,21013.680173,21013.681300
0.007027,0.001644,0.001038,0.003950,21014.394458,21014.585624,21014.774768,21014.775782
0.006595,0.001560,0.001020,0.003601,21015.485595,21015.673789,21015.860298,21015.861231
0.010002,0.005784,0.005090,0.006558,21016.578550,21016.772624,21016.964484,21016.965360
0.007107,0.001547,0.000975,0.003677,21017.676447,21017.866061,21018.052649,21018.053657
0.006557,0.001692,0.000960,0.003637,21018.762247,21018.949346,21019.134110,21019.135042
0.007356,0.001452,0.001489,0.004116,21019.845262,21020.033090,21020.219737,21020.220793
0.006709,0.001506,0.000958,0.002996,21020.949736,21021.158422,21021.364377,21021.365457
0.006665,0.001374,0.001018,0.002853,21022.074908,21022.264256,21022.451896,21022.453008
0.006840,0.001468,0.001433,0.003786,21023.165508,21023.356120,21023.544295,21023.545581
0.006878,0.001636,0.000983,0.003560,21024.275504,21024.483319,21024.689221,21024.690185
0.007143,0.001657,0.000983,0.003840,21025.403099,21025.594671,21025.784240,21025.785207
0.007304,0.001578,0.001421,0.004213,21026.495423,21026.683319,21026.869406,21026.870353
0.007003,0.001818,0.001107,0.004061,21027.582818,21027.773232,21027.961236,21027.962241
0.006779,0.001453,0.001285,0.003949,21028.692753,21028.901110,21029.107062,21029.108138
0.007068,0.001352,0.001313,0.003370,21029.838427,21030.048348,21030.255066,21030.256382
0.007152,0.001551,0.000931,0.003939,21030.972263,21031.165998,21031.358004,21031.358981
0.006890,0.001425,0.001185,0.003938,21032.091221,21032.301114,21032.509320,21032.510427
0.007109,0.001721,0.001187,0.003422,21033.239707,21033.447663,21033.652955,21033.654104
0.006994,0.001426,0.001040,0.003324,21034.383260,21034.578378,21034.770458,21034.771512
0.006801,0.001450,0.001177,0.003944,21035.480866,21035.675939,21035.862029,21035.863096
0.006130,0.001359,0.001025,0.003619,21036.571150,21036.768609,21036.953699,21036.955235
0.006481,0.001663,0.001147,0.004110,21037.684413,21037.892288,21038.097579,21038.098695
0.006813,0.001448,0.001117,0.003890,21038.810381,21039.006703,21039.194570,21039.195612
0.007206,0.001430,0.001323,0.003321,21039.906490,21040.096243,21040.284275,21040.285473
0.007196,0.001538,0.001100,0.003986,21041.002124,21041.194951,21041.386292,21041.387343
0.006927,0.001657,0.001196,0.004041,21042.096592,21042.284020,21042.468998,21042.470148
0.007357,0.001633,0.001005,0.003997,21043.181432,21043.370814,21043.558262,21043.559526
0.006827,0.001595,0.000993,0.003584,21044.272285,21044.463165,21044.651359,21044.652332
0.007097,0.001487,0.000970,0.003725,21045.365028,21045.554757,21045.743040,21045.743914
0.007151,0.001630,0.001154,0.004016,21046.452135,21046.638794,21046.822815,21046.823939
0.007127,0.001668,0.001191,0.004166,21047.552618,21047.758200,21047.962520,21047.963622
0.006882,0.001575,0.001087,0.003987,21048.673081,21048.861291,21049.047178,21049.048127
0.006144,0.001473,0.001081,0.003221,21049.760896,21049.953205,21050.143770,21050.145019
0.007499,0.001707,0.001283,0.004266,21050.858170,21051.047521,21051.235755,21051.236721
0.012602,0.001443,0.008092,0.010187,21051.952171,21052.141459,21052.328088,21052.329191
0.007440,0.001752,0.001217,0.004092,21053.058172,21053.265365,21053.469888,21053.471086
0.007122,0.001638,0.001206,0.004016,21054.179923,21054.366500,21054.551019,21054.552208
0.006666,0.001552,0.001135,0.004073,21055.261313,21055.462301,21055.648161,21055.649068
0.006522,0.001399,0.001192,0.003998,21056.359128,21056.548209,21056.735411,21056.736498
0.007420,0.001541,0.001170,0.003875,21057.447492,21057.636684,21057.824252,21057.825307
0.007488,0.001515,0.001159,0.003986,21058.541946,21058.744150,21058.936274,21058.937193
0.007139,0.001510,0.001236,0.004018,21059.651739,21059.846528,21060.037553,21060.038775
0.006694,0.001578,0.000981,0.003663,21060.750510,21060.939984,21061.127614,21061.128995
0.001261,0.001435,0.001095,0.003262,21061.842141,21062.032718,21062.221480,21062.222759
0.007284,0.002246,0.001764,0.003633,21062.928799,21063.113383,21063.296541,21063.297822
0.006872,0.001559,0.000997,0.003792,21064.009206,21064.196807,21064.383048,21064.384206
0.007185,0.001497,0.001201,0.003915,21065.116200,21065.329811,21065.538215,21065.539092
0.001218,0.001484,0.000854,0.002898,21066.267603,21066.477410,21066.681822,21066.682955
0.006970,0.001411,0.001172,0.004050,21067.404348,21067.589701,21067.772821,21067.773892
0.007076,0.001569,0.001162,0.004174,21068.483079,21068.670385,21068.855989,21068.857100
0.007206,0.001752,0.001203,0.004057,21069.572447,21069.764573,21069.955236,21069.956432
0.007027,0.001515,0.001406,0.004105,21070.685123,21070.915183,21071.119997,21071.121120
0.006834,0.001440,0.000988,0.003617,21071.850531,21072.079534,21072.286004,21072.287427
0.013905,0.001429,0.008192,0.010480,21073.004884,21073.192986,21073.379618,21073.380757
0.007356,0.001605,0.001181,0.004204,21074.093404,21074.283828,21074.472632,21074.473645
0.007072,0.001563,0.001037,0.003805,21075.187643,21075.378932,21075.569394,21075.570334
0.012627,0.007630,0.006805,0.008484,21076.286567,21076.486333,21076.673825,21076.674751
0.007971,0.001478,0.001093,0.003904,21077.406169,21077.615524,21077.823035,21077.824205
0.007028,0.001625,0.001247,0.004102,21078.553061,21078.758813,21078.962890,21078.963865
0.007090,0.001570,0.001165,0.004084,21079.677453,21079.867917,21080.056598,21080.057755
0.012564,0.001599,0.006550,0.008941,21080.774125,21080.964576,21081.152069,21081.153278
0.006845,0.001530,0.000717,0.003451,21081.883496,21082.091364,21082.297488,21082.298607
0.007984,0.001407,0.001285,0.003717,21083.008850,21083.195813,21083.381029,21083.382176
0.006999,0.001623,0.001207,0.003949,21084.093363,21084.282264,21084.468781,21084.469831
0.006254,0.001654,0.001137,0.003895,21085.181966,21085.373823,21085.563061,21085.564230
0.012928,0.001599,0.006901,0.009858,21086.305250,21086.517972,21086.728710,21086.730184
0.007049,0.001580,0.001219,0.003921,21087.446016,21087.649429,21087.842012,21087.843252
0.014063,0.001443,0.007822,0.010800,21088.560415,21088.749363,21088.934746,21088.935854
0.007001,0.001475,0.001288,0.004238,21089.662532,21089.878598,21090.079832,21090.081142
0.012001,0.001487,0.006782,0.009425,21090.796803,21090.985218,21091.172073,21091.173369
0.007289,0.001489,0.001412,0.003847,21091.885982,21092.087355,21092.276222,21092.277466
0.007307,0.001687,0.001177,0.004040,21093.009771,21093.221615,21093.429713,21093.431010
0.009784,0.001598,0.004326,0.007043,21094.165545,21094.374584,21094.582340,21094.583421
0.006871,0.001679,0.001230,0.004311,21095.292782,21095.479381,21095.663773,21095.664921
0.007237,0.001672,0.000907,0.004095,21096.397570,21096.610985,21096.820054,21096.821136
0.012124,0.001551,0.007692,0.009773,21097.529689,21097.711714,21097.892137,21097.893354
0.006974,0.001584,0.001062,0.003974,21098.607589,21098.800646,21098.991204,21098.992353
0.007527,0.001644,0.001144,0.003979,21099.718865,21099.923766,21100.126325,21100.127643
0.006470,0.001573,0.001009,0.004026,21100.851937,21101.040059,21101.226324,21101.227433
0.009571,0.001645,0.004719,0.007042,21101.938080,21102.125221,21102.309398,21102.310616
0.007177,0.001506,0.001214,0.004136,21103.038405,21103.244274,21103.448460,21103.449784
0.007233,0.001630,0.001650,0.004302,21104.161350,21104.349821,21104.536472,21104.537859
0.007056,0.001645,0.001415,0.004115,21105.269604,21105.479116,21105.687160,21105.688122
0.007054,0.001531,0.001035,0.003810,21106.395352,21106.580103,21106.763391,21106.764798
0.007016,0.001540,0.001083,0.004047,21107.478853,21107.670402,21107.860186,21107.860991
0.007013,0.001750,0.001281,0.004026,21108.575832,21108.769483,21108.961395,21108.962653
0.010824,0.001651,0.004774,0.007578,21109.698730,21109.909315,21110.117907,21110.118833
0.006636,0.001442,0.001006,0.003503,21110.849489,21111.058834,21111.266440,21111.267487
0.007281,0.001523,0.001153,0.003791,21111.980307,21112.171501,21112.360800,21112.361718
0.006937,0.001675,0.001024,0.003825,21113.091444,21113.299322,21113.505089,21113.506017
