DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.007365,0.009621,0.000851,0.012460,23493.230312,23493.433612,23495.332390,23495.334122
0.006604,0.009935,0.001106,0.012847,23496.057274,23496.264279,23498.151637,23498.153459
0.005881,0.001653,0.001240,0.003955,23498.876735,23499.078101,23500.963210,23500.965159
0.010383,0.013014,0.003732,0.013486,23501.689064,23501.891684,23503.778627,23503.780437
0.007280,0.003309,0.001082,0.006010,23504.503397,23504.707249,23506.580718,23506.582530
0.006560,0.011031,0.000866,0.013114,23507.300609,23507.508298,23509.350860,23509.352937
0.004815,0.010024,0.001023,0.012785,23510.067256,23510.262677,23512.092660,23512.094473
0.008905,0.010864,0.002211,0.011655,23512.831445,23513.048877,23515.071541,23515.073655
0.007193,0.010227,0.001134,0.012651,23515.796864,23516.003210,23517.887847,23517.889739
0.010306,0.012380,0.004128,0.012999,23518.629885,23518.858788,23520.916178,23520.918061
0.005705,0.010048,0.001040,0.013019,23521.637641,23521.836876,23523.683342,23523.685150
0.004968,0.010120,0.000995,0.012026,23524.404823,23524.606075,23526.866272,23526.867828
0.009657,0.009524,0.004884,0.012079,23527.587267,23527.805448,23529.672942,23529.674683
0.007335,0.009287,0.001090,0.012131,23530.417569,23530.656243,23532.746894,23532.748635
0.003851,0.009149,0.001028,0.012555,23533.468384,23533.664875,23535.504077,23535.505842
0.011049,0.009943,0.007501,0.018992,23536.231975,23536.433734,23538.311384,23538.313098
0.004601,0.009435,0.001019,0.012623,23539.032355,23539.233113,23541.110072,23541.111949
0.004840,0.010247,0.001116,0.012906,23541.851941,23542.094767,23544.580127,23544.581798
0.011208,0.013315,0.005135,0.013850,23545.305581,23545.511957,23547.402630,23547.404697
0.004470,0.010442,0.001166,0.012599,23548.123905,23548.330623,23550.206459,23550.208300
0.009407,0.011088,0.004625,0.012308,23550.929025,23551.128505,23552.999722,23553.000796
0.005210,0.008714,0.001073,0.012837,23553.720655,23553.922387,23555.806326,23555.808329
0.008897,0.006515,0.002101,0.006912,23556.529357,23556.734121,23558.583281,23558.585122
0.009611,0.012619,0.002622,0.012923,23559.327596,23559.547808,23561.620206,23561.622041
0.007162,0.010689,0.001150,0.013151,23562.360922,23562.581219,23564.626017,23564.628131
0.004506,0.010384,0.001278,0.012954,23565.366072,23565.586835,23567.645211,23567.647067
0.006442,0.009511,0.001002,0.012709,23568.364501,23568.561625,23570.402321,23570.404144
0.005055,0.010178,0.001067,0.012530,23571.120460,23571.316932,23573.155228,23573.156952
0.008595,0.009706,0.003013,0.011185,23573.875271,23574.075273,23575.943362,23575.945446
0.006347,0.000970,0.001093,0.002660,23576.664546,23576.861458,23578.703318,23578.704995
0.006801,0.009244,0.001011,0.012318,23579.436063,23579.632917,23580.554034,23580.555756
0.006213,0.009167,0.000870,0.012257,23581.278976,23581.557068,23582.510890,23582.512531
0.005218,0.009098,0.001001,0.012158,23583.230269,23583.428948,23584.358940,23584.360538
0.004850,0.009295,0.000980,0.012351,23585.080851,23585.282237,23586.226287,23586.228157
0.005164,0.010182,0.001107,0.012911,23586.968752,23587.193379,23588.236607,23588.238468
0.007123,0.010255,0.001036,0.012915,23588.963104,23589.167138,23590.123118,23590.125138
0.007425,0.010028,0.001015,0.013045,23590.843049,23591.038685,23591.952946,23591.954737
0.006709,0.008895,0.001085,0.012688,23592.673934,23592.873181,23593.849786,23593.851841
0.009086,0.009629,0.005581,0.017048,23594.575769,23594.777799,23595.714357,23595.716268
0.007867,0.010261,0.001115,0.012643,23596.442850,23596.654843,23597.610209,23597.612206
0.004536,0.010054,0.001093,0.012945,23598.347697,23598.563806,23599.581587,23599.583320
0.005422,0.009824,0.001084,0.012685,23600.300657,23600.499084,23601.422405,23601.424182
0.005281,0.010408,0.000914,0.012525,23602.161680,23602.379054,23603.405961,23603.406943
0.006757,0.010751,0.001055,0.012835,23604.148148,23604.375465,23605.418098,23605.419929
0.005690,0.009932,0.000991,0.012884,23606.155943,23606.372429,23607.392583,23607.394370
0.003980,0.010046,0.000866,0.011975,23608.113301,23608.315121,23609.260471,23609.262664
0.005703,0.009378,0.001140,0.012979,23609.998924,23610.215922,23611.231550,23611.233573
0.007158,0.010817,0.001139,0.012923,23611.958970,23612.162510,23613.112429,23613.114512
0.006245,0.001074,0.001051,0.002694,23613.840357,23614.047331,23615.008082,23615.010000
0.006424,0.010274,0.001075,0.013004,23615.750290,23615.969857,23616.793969,23616.795947
0.011408,0.013894,0.004687,0.014535,23617.541326,23617.769916,23618.815653,23618.817364
0.007386,0.009545,0.001018,0.012840,23619.538151,23619.738541,23620.668888,23620.671045
0.009128,0.011668,0.002413,0.012019,23621.390143,23621.589510,23622.518856,23622.520653
0.005222,0.009980,0.000999,0.012937,23623.239342,23623.439150,23624.376679,23624.378522
0.010669,0.012322,0.005394,0.013425,23625.091647,23625.284337,23626.182837,23626.184575
