DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.004467,0.005220,0.001056,0.009339,26154.781104,26156.114368,26157.137260,26157.139213
0.006214,0.005350,0.001141,0.009462,26158.357857,26158.780808,26159.527674,26159.529340
0.004927,0.005360,0.001122,0.008858,26160.745212,26161.159508,26161.899345,26161.901266
0.004641,0.005106,0.001045,0.009230,26163.117843,26163.543431,26164.286623,26164.288551
0.004596,0.002462,0.001158,0.004757,26165.506243,26165.928275,26166.680020,26166.681815
0.004323,0.001890,0.001110,0.004602,26167.915874,26168.349952,26169.166729,26169.168308
0.005278,0.006550,0.000852,0.009194,26170.382888,26170.806190,26171.545045,26171.546917
0.010810,0.011252,0.007012,0.012855,26172.765539,26173.196363,26173.980439,26173.982456
0.004443,0.002351,0.001095,0.005441,26175.203274,26175.679755,26176.504796,26176.506712
0.004462,0.005805,0.001122,0.009701,26177.725548,26178.150240,26178.910458,26178.912542
0.009026,0.000866,0.005706,0.008750,26180.131334,26180.559717,26181.310096,26181.312208
0.012864,0.010309,0.009115,0.013109,26182.534899,26182.960985,26183.715733,26183.717877
0.004248,0.000848,0.001144,0.005186,26184.936490,26185.356635,26186.110533,26186.112605
0.010923,0.012691,0.007023,0.013834,26187.353722,26187.789808,26188.611408,26188.612549
0.004442,0.006405,0.001095,0.009738,26189.849031,26190.288531,26191.114585,26191.116430
0.004837,0.005354,0.001123,0.009883,26192.330963,26192.750380,26193.666283,26193.668297
0.004335,0.006735,0.001148,0.010213,26194.887916,26195.310201,26196.066287,26196.068172
0.004268,0.000980,0.001139,0.005443,26197.285959,26197.708727,26198.459468,26198.461467
0.004585,0.005648,0.001121,0.010055,26199.676376,26200.099272,26200.838375,26200.839411
0.004485,0.005399,0.001166,0.009553,26202.059848,26202.482604,26203.247485,26203.248588
0.004398,0.001018,0.001155,0.005011,26204.485300,26204.924139,26205.753598,26205.755068
0.004554,0.005050,0.000940,0.009398,26206.974291,26207.399012,26208.160473,26208.161850
0.004645,0.005196,0.001241,0.009143,26209.393679,26209.829261,26210.641271,26210.642966
0.004834,0.004944,0.001277,0.009145,26211.856430,26212.274847,26213.008060,26213.009812
0.004719,0.001341,0.001139,0.004515,26214.226470,26214.648506,26215.397266,26215.399240
0.004411,0.000954,0.001095,0.005179,26216.614842,26217.037317,26217.778476,26217.780491
0.004622,0.005374,0.001199,0.009791,26218.996186,26219.411202,26220.152038,26220.153656
0.004747,0.005404,0.001195,0.008850,26221.393163,26221.836696,26222.670871,26222.672666
0.009565,0.005023,0.006127,0.013222,26223.893112,26224.316139,26225.074247,26225.075919
0.004798,0.005200,0.001167,0.009533,26226.311121,26226.747210,26227.566057,26227.567939
0.004662,0.005326,0.001305,0.008802,26228.814187,26229.254906,26229.661931,26229.663836
0.009797,0.010558,0.006128,0.011613,26230.905373,26231.346238,26231.763386,26231.765047
0.004568,0.005303,0.001051,0.009634,26232.984277,26233.406378,26233.785115,26233.786984
0.004524,0.001076,0.001024,0.005137,26235.003107,26235.424704,26235.800132,26235.801782
0.005617,0.003642,0.000979,0.004195,26237.037477,26237.475119,26237.888813,26237.890658
0.004674,0.000890,0.001080,0.004866,26239.105438,26239.502622,26239.870940,26239.872830
0.009011,0.009518,0.005414,0.010902,26241.116201,26241.560821,26241.984772,26241.986566
0.004536,0.001374,0.001147,0.004455,26243.203302,26243.621379,26243.993476,26243.995333
0.004503,0.005183,0.001171,0.009262,26245.229414,26245.665737,26246.076613,26246.078422
0.004537,0.001004,0.001067,0.004778,26247.314069,26247.756504,26248.169492,26248.171098
0.004552,0.001973,0.001122,0.005076,26249.411259,26249.856653,26250.279887,26250.281848
0.004729,0.004881,0.001394,0.009397,26251.496133,26251.912372,26252.282535,26252.284350
0.004673,0.004625,0.001263,0.009236,26253.501359,26253.921458,26254.296902,26254.298717
0.004761,0.005234,0.000993,0.009363,26255.521619,26255.944820,26256.330967,26256.332963
0.004761,0.003985,0.001378,0.008865,26257.551072,26257.972267,26258.349422,26258.351486
0.004430,0.005616,0.001326,0.010413,26259.588534,26260.029720,26260.444070,26260.446128
0.005019,0.001961,0.001022,0.005334,26261.668768,26262.094956,26262.480254,26262.482119
0.004383,0.001067,0.001264,0.005393,26263.699167,26264.117782,26264.490920,26264.492342
0.004388,0.002454,0.001052,0.005282,26265.729376,26266.167494,26266.581980,26266.583865
0.004499,0.005371,0.001043,0.010171,26267.822608,26268.267704,26268.684697,26268.686375
0.004675,0.005280,0.001008,0.009435,26269.907566,26270.336384,26270.719452,26270.721309
0.004424,0.000905,0.000992,0.004836,26271.958462,26272.395355,26272.809426,26272.811349
0.009609,0.006082,0.005819,0.007081,26274.032402,26274.450607,26274.827473,26274.829719
0.004765,0.001763,0.001329,0.005037,26276.069180,26276.508408,26276.927413,26276.929300
0.004346,0.007719,0.001183,0.010012,26278.143945,26278.570035,26278.938396,26278.940426
0.004569,0.001066,0.001287,0.005353,26280.161511,26280.583185,26280.966937,26280.968884
0.009629,0.006647,0.005831,0.013055,26282.186184,26282.609497,26282.976196,26282.977837
0.004473,0.000965,0.001042,0.003854,26284.209148,26284.662577,26285.067503,26285.068709
0.009593,0.009537,0.005835,0.010987,26286.304973,26286.760578,26287.168478,26287.170231
0.004566,0.004761,0.001138,0.009134,26288.386388,26288.810847,26289.185117,26289.186877
0.004371,0.000941,0.001125,0.004754,26290.432368,26290.869146,26291.075488,26291.077104
0.005067,0.004947,0.001487,0.009383,26292.294683,26292.738895,26292.927703,26292.929499
0.004801,0.001122,0.001152,0.004712,26294.144555,26294.585618,26294.772787,26294.774411
0.007863,0.001771,0.004599,0.007858,26296.008046,26296.447743,26296.652347,26296.654103
0.004425,0.005053,0.001153,0.009092,26297.870148,26298.288910,26298.477598,26298.479254
0.005916,0.006610,0.001084,0.009345,26299.694632,26300.110756,26300.300046,26300.301912
0.010894,0.008502,0.007204,0.010964,26301.521154,26301.938971,26302.128182,26302.130222
0.004806,0.006261,0.001129,0.009697,26303.370385,26303.816930,26304.027730,26304.029718
0.004773,0.006762,0.001074,0.009467,26305.254358,26305.692529,26305.885855,26305.887483
0.004577,0.004558,0.001143,0.006901,26307.120303,26307.564335,26307.774776,26307.776754
0.004324,0.006949,0.001154,0.010227,26308.993364,26309.410757,26309.598380,26309.600304
0.003918,0.007035,0.001059,0.010027,26310.831442,26311.268114,26311.471618,26311.473582
0.004884,0.005499,0.001090,0.010251,26312.711005,26313.148398,26313.357736,26313.359737
0.004391,0.002429,0.001058,0.004946,26314.573642,26314.991884,26315.178913,26315.180947
0.004334,0.005833,0.001222,0.010505,26316.399520,26316.819560,26317.009647,26317.011548
0.004119,0.002450,0.001217,0.005051,26318.246758,26318.686851,26318.895815,26318.897723
0.005041,0.002447,0.001041,0.005510,26320.134546,26320.576696,26320.784163,26320.785988
0.009158,0.005539,0.005694,0.015087,26322.005039,26322.421201,26322.605716,26322.607437
0.004556,0.000918,0.000995,0.005408,26323.846983,26324.294713,26324.505527,26324.507366
0.004579,0.005662,0.001001,0.009824,26325.724163,26326.143703,26326.332969,26326.334867
0.004307,0.005230,0.001087,0.009878,26327.556681,26327.979106,26328.172708,26328.174725
0.004485,0.005334,0.001033,0.010061,26329.388604,26329.801867,26329.985377,26329.986996
0.004369,0.000984,0.001211,0.005416,26331.222378,26331.656522,26331.864170,26331.866006
0.008616,0.005278,0.004953,0.011996,26333.088804,26333.508232,26333.697705,26333.699320
0.004337,0.005315,0.000917,0.009588,26334.911790,26335.332196,26335.517753,26335.519493
0.004367,0.001054,0.000986,0.004793,26336.741358,26337.166580,26337.359458,26337.361205
0.010949,0.000963,0.007527,0.011805,26338.608156,26339.012385,26339.224453,26339.226166
0.008682,0.008064,0.005075,0.009490,26340.445593,26340.862942,26341.052950,26341.054805
0.004556,0.005007,0.000974,0.009254,26342.272783,26342.695700,26342.885491,26342.887014
0.004781,0.005028,0.001385,0.009241,26344.104603,26344.525813,26344.714414,26344.716171
0.004572,0.004962,0.000982,0.009067,26345.950644,26346.375369,26346.566593,26346.568321
0.004443,0.000944,0.001046,0.005037,26347.783809,26348.204268,26348.391502,26348.393373
0.004447,0.005013,0.000974,0.009681,26349.611431,26350.030907,26350.218956,26350.220672
0.004634,0.001233,0.001028,0.005009,26351.455007,26351.894364,26352.099638,26352.101354
0.004581,0.005432,0.001330,0.009685,26353.319562,26353.735111,26353.924336,26353.926151
0.004581,0.004998,0.001235,0.009520,26355.161531,26355.597967,26355.803488,26355.805292
0.005016,0.002090,0.001292,0.003596,26357.046142,26357.492707,26357.704897,26357.706734
0.004674,0.000926,0.000876,0.004965,26358.946227,26359.395052,26359.604950,26359.606798
0.004656,0.001163,0.001271,0.005300,26360.844640,26361.283400,26361.490909,26361.492557
0.004420,0.001205,0.001205,0.005349,26362.706473,26363.130015,26363.317347,26363.319272
0.008538,0.007971,0.005130,0.008950,26364.556724,26364.996866,26365.204607,26365.205994
0.004730,0.005120,0.001211,0.009196,26366.442049,26366.880485,26367.087756,26367.089535
0.004511,0.004945,0.000913,0.009527,26368.328185,26368.735448,26368.944731,26368.946268
0.004663,0.002133,0.001037,0.004586,26370.165837,26370.588321,26370.778413,26370.780348
0.008158,0.007443,0.004547,0.013303,26372.020502,26372.459830,26372.666249,26372.668082
0.004401,0.005200,0.001024,0.009523,26373.881094,26374.304342,26374.489041,26374.490867
0.004302,0.000951,0.001224,0.005358,26375.713194,26376.137409,26376.328251,26376.330270
0.004219,0.005472,0.001134,0.009384,26377.567381,26378.004487,26378.212562,26378.214526
0.005180,0.004530,0.001166,0.010023,26379.435226,26379.859173,26380.050275,26380.052125
0.009441,0.006763,0.006043,0.014368,26381.274724,26381.692549,26381.880982,26381.882783
0.010988,0.010806,0.007191,0.012640,26383.104528,26383.522796,26383.710507,26383.712273
0.004476,0.001228,0.001148,0.004957,26384.932063,26385.361954,26385.552101,26385.554063
0.004497,0.000979,0.000990,0.004790,26386.792900,26387.243723,26387.453168,26387.455111
0.005704,0.002255,0.000966,0.004739,26388.689031,26389.121460,26389.325217,26389.327147
0.008475,0.005903,0.004698,0.006738,26390.564097,26391.002453,26391.206626,26391.208326
0.004265,0.006003,0.001044,0.010331,26392.425678,26392.843371,26393.030897,26393.032835
0.004481,0.005266,0.000999,0.009687,26394.268361,26394.702837,26394.908342,26394.910184
0.004649,0.004993,0.001066,0.009527,26396.127065,26396.549551,26396.737174,26396.738896
0.009449,0.009496,0.005702,0.011011,26397.960645,26398.381813,26398.569809,26398.571427
0.004335,0.000977,0.001330,0.004407,26399.804625,26400.239649,26400.443396,26400.444973
0.009024,0.009080,0.005471,0.009697,26401.698432,26402.154934,26402.364181,26402.365940
0.004800,0.005100,0.001137,0.008828,26403.578161,26404.003686,26404.186873,26404.188671
0.004709,0.000900,0.001170,0.004643,26405.403363,26405.819303,26406.006123,26406.007812
0.004485,0.005181,0.001101,0.009241,26407.223996,26407.648444,26407.836055,26407.837699
0.010927,0.009311,0.007413,0.011078,26409.075773,26409.521054,26409.727859,26409.729584
0.004875,0.006917,0.001186,0.009256,26410.953208,26411.382935,26411.576981,26411.578776
0.004671,0.004746,0.001157,0.008955,26412.796876,26413.220364,26413.410550,26413.412200
0.004592,0.001709,0.001142,0.005080,26414.627035,26415.047121,26415.233308,26415.235129
0.011100,0.007459,0.007315,0.009115,26416.476995,26416.917208,26417.125568,26417.127539
0.004435,0.007459,0.000995,0.009995,26418.346251,26418.768345,26418.956694,26418.958733
0.004701,0.000914,0.001093,0.005242,26420.174151,26420.599584,26420.785625,26420.787457
