DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001159,0.000000,0.000000,0.000000,2369.464182,2369.669877,2370.285638,2370.287558
0.001451,0.000000,0.000000,0.000000,2372.949911,2373.140203,2373.709222,2373.711084
0.001332,0.000000,0.000000,0.000000,2376.331881,2376.522492,2377.088455,2377.090419
0.001370,0.000000,0.000000,0.000000,2379.730711,2379.939911,2380.566328,2380.567979
0.001290,0.000000,0.000000,0.000000,2383.237604,2383.429586,2384.004257,2384.006363
0.001369,0.000000,0.000000,0.000000,2386.641957,2386.834702,2387.410073,2387.412268
0.001368,0.000000,0.000000,0.000000,2390.027522,2390.233460,2390.968209,2390.970027
0.001478,0.000000,0.000000,0.000000,2393.583406,2393.770585,2394.331362,2394.333392
0.001505,0.000000,0.000000,0.000000,2396.975641,2397.184522,2397.805369,2397.807247
0.001518,0.000000,0.000000,0.000000,2400.478812,2400.674128,2401.256876,2401.258990
0.001323,0.000000,0.000000,0.000000,2403.911204,2404.118473,2404.734429,2404.736584
0.007773,0.000000,0.000000,0.000000,2407.395641,2407.580684,2408.134236,2408.136324
0.001394,0.000000,0.000000,0.000000,2410.750751,2410.942048,2411.699758,2411.701969
0.001434,0.000000,0.000000,0.000000,2414.335092,2414.525693,2415.095264,2415.097431
0.001369,0.000000,0.000000,0.000000,2417.726366,2417.914308,2418.473118,2418.475293
0.001389,0.000000,0.000000,0.000000,2421.106677,2421.314753,2421.937875,2421.939780
0.001526,0.000000,0.000000,0.000000,2424.605930,2424.798827,2425.376070,2425.378143
0.001396,0.000000,0.000000,0.000000,2428.029515,2428.223730,2428.803292,2428.805549
0.001344,0.000000,0.000000,0.000000,2431.443188,2431.633006,2432.202631,2432.204812
0.001395,0.000000,0.000000,0.000000,2434.827132,2435.017476,2435.584548,2435.586588
0.001367,0.000000,0.000000,0.000000,2438.235936,2438.445002,2439.069413,2439.071029
0.001403,0.000000,0.000000,0.000000,2441.751684,2441.960951,2442.585060,2442.586732
0.001368,0.000000,0.000000,0.000000,2445.265782,2445.472004,2446.293167,2446.294752
0.001415,0.000000,0.000000,0.000000,2448.959735,2449.148198,2449.711271,2449.713393
0.001379,0.000000,0.000000,0.000000,2452.331351,2452.517252,2453.256860,2453.258941
0.001372,0.000000,0.000000,0.000000,2455.883706,2456.078353,2456.647766,2456.648911
0.001398,0.000000,0.000000,0.000000,2459.278459,2459.467009,2460.030358,2460.032426
0.001441,0.000000,0.000000,0.000000,2462.650796,2462.843670,2463.418303,2463.420443
