DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001910,0.000000,0.000000,0.000000,1737614.612746,1737615.652966,1737617.113815,1737617.115247
0.001393,0.000000,0.000000,0.000000,1737619.732614,1737619.920534,1737621.211405,1737621.213278
0.001332,0.000000,0.000000,0.000000,1737623.841852,1737624.045290,1737625.860697,1737625.862840
0.001301,0.000000,0.000000,0.000000,1737628.521996,1737628.714424,1737630.047303,1737630.049150
0.006371,0.000000,0.000000,0.000000,1737632.678677,1737632.865683,1737634.349345,1737634.351088
0.001420,0.000000,0.000000,0.000000,1737636.979849,1737637.173760,1737638.507057,1737638.508879
0.001316,0.000000,0.000000,0.000000,1737641.132677,1737641.322373,1737642.647063,1737642.649040
0.001264,0.000000,0.000000,0.000000,1737645.271284,1737645.460116,1737646.775729,1737646.777531
0.001377,0.000000,0.000000,0.000000,1737649.418764,1737649.625695,1737651.064894,1737651.066643
0.001492,0.000000,0.000000,0.000000,1737653.744925,1737653.952860,1737655.405122,1737655.406960
0.001319,0.000000,0.000000,0.000000,1737658.096925,1737658.308570,1737659.779618,1737659.781395
0.001366,0.000000,0.000000,0.000000,1737662.469625,1737662.678593,1737664.126386,1737664.128072
0.001367,0.000000,0.000000,0.000000,1737666.790005,1737666.974540,1737668.255799,1737668.257459
0.001375,0.000000,0.000000,0.000000,1737670.881011,1737671.074512,1737672.420896,1737672.422501
0.001301,0.000000,0.000000,0.000000,1737675.054856,1737675.246325,1737676.568683,1737676.570038
0.001399,0.000000,0.000000,0.000000,1737679.203551,1737679.405549,1737680.745149,1737680.747028
0.001415,0.000000,0.000000,0.000000,1737683.391770,1737683.600355,1737685.047492,1737685.049163
0.001279,0.000000,0.000000,0.000000,1737687.736516,1737687.954368,1737689.408971,1737689.410735
0.001347,0.000000,0.000000,0.000000,1737692.085148,1737692.276971,1737693.611346,1737693.613170
0.001465,0.000000,0.000000,0.000000,1737696.241383,1737696.430133,1737697.740739,1737697.742640
0.001450,0.000000,0.000000,0.000000,1737700.385137,1737700.592275,1737702.025314,1737702.026908
0.001411,0.000000,0.000000,0.000000,1737704.683152,1737704.871541,1737706.176047,1737706.177717
0.001356,0.000000,0.000000,0.000000,1737708.795586,1737708.981225,1737710.262678,1737710.264409
0.001386,0.000000,0.000000,0.000000,1737712.880566,1737713.066887,1737714.363177,1737714.364967
0.001393,0.000000,0.000000,0.000000,1737716.984747,1737717.168292,1737718.448938,1737718.450698
0.001428,0.000000,0.000000,0.000000,1737721.068866,1737721.259161,1737722.578768,1737722.580721
0.001371,0.000000,0.000000,0.000000,1737725.212324,1737725.407834,1737726.766262,1737726.768024
0.001349,0.000000,0.000000,0.000000,1737729.402739,1737729.589054,1737730.882032,1737730.883632
0.001339,0.000000,0.000000,0.000000,1737733.497207,1737733.685509,1737734.995090,1737734.996660
0.001374,0.000000,0.000000,0.000000,1737737.634778,1737737.844320,1737739.303011,1737739.304908
0.005880,0.000000,0.000000,0.000000,1737742.003163,1737742.210880,1737743.038658,1737743.040562
0.001268,0.000000,0.000000,0.000000,1737745.695686,1737745.883751,1737746.817627,1737746.819473
0.001260,0.000000,0.000000,0.000000,1737749.460601,1737749.677933,1737750.684656,1737750.686454
0.001349,0.000000,0.000000,0.000000,1737753.345254,1737753.535309,1737754.479074,1737754.480887
0.001385,0.000000,0.000000,0.000000,1737757.106857,1737757.295168,1737758.042931,1737758.044897
0.001378,0.000000,0.000000,0.000000,1737760.666171,1737760.856441,1737761.799849,1737761.801657
0.001518,0.000000,0.000000,0.000000,1737764.434285,1737764.623368,1737765.557987,1737765.559680
0.001414,0.000000,0.000000,0.000000,1737768.182986,1737768.372340,1737769.309399,1737769.311391
0.001327,0.000000,0.000000,0.000000,1737771.956643,1737772.163044,1737772.983793,1737772.985767
0.001325,0.000000,0.000000,0.000000,1737775.659326,1737775.865536,1737776.886810,1737776.888760
0.001405,0.000000,0.000000,0.000000,1737779.563800,1737779.771656,1737780.804145,1737780.805834
0.001439,0.000000,0.000000,0.000000,1737783.467113,1737783.654465,1737784.400538,1737784.402555
0.001326,0.000000,0.000000,0.000000,1737787.028749,1737787.223248,1737788.184603,1737788.186508
0.001323,0.000000,0.000000,0.000000,1737790.823434,1737791.027427,1737791.968447,1737791.970177
0.001429,0.000000,0.000000,0.000000,1737794.615985,1737794.823236,1737795.643425,1737795.645501
0.001314,0.000000,0.000000,0.000000,1737798.324075,1737798.534981,1737799.364673,1737799.366503
0.001351,0.000000,0.000000,0.000000,1737802.027623,1737802.216688,1737803.152627,1737803.154373
0.001346,0.000000,0.000000,0.000000,1737805.784503,1737805.973940,1737806.728024,1737806.730243
0.001544,0.000000,0.000000,0.000000,1737809.370367,1737809.580316,1737810.410020,1737810.412276
0.001418,0.000000,0.000000,0.000000,1737813.102420,1737813.307114,1737814.317291,1737814.319371
0.001315,0.000000,0.000000,0.000000,1737816.990132,1737817.201087,1737818.016460,1737818.018397
0.001384,0.000000,0.000000,0.000000,1737820.698450,1737820.909499,1737821.749633,1737821.751591
0.001434,0.000000,0.000000,0.000000,1737824.414443,1737824.599967,1737825.523467,1737825.525230
0.001344,0.000000,0.000000,0.000000,1737828.169098,1737828.377119,1737829.198532,1737829.200494
0.001296,0.000000,0.000000,0.000000,1737831.885806,1737832.094609,1737832.924218,1737832.926162
0.001313,0.000000,0.000000,0.000000,1737835.620772,1737835.826557,1737836.847413,1737836.849147
0.001386,0.000000,0.000000,0.000000,1737839.533548,1737839.740736,1737840.769751,1737840.771309
0.001438,0.000000,0.000000,0.000000,1737843.439780,1737843.636044,1737844.414264,1737844.416187
0.001345,0.000000,0.000000,0.000000,1737847.060176,1737847.253541,1737848.211969,1737848.213646
0.001342,0.000000,0.000000,0.000000,1737850.860106,1737851.050010,1737851.989065,1737851.990825
0.001399,0.000000,0.000000,0.000000,1737854.632864,1737854.823590,1737855.200572,1737855.202454
0.001340,0.000000,0.000000,0.000000,1737857.834578,1737858.023110,1737858.396404,1737858.398345
0.001434,0.000000,0.000000,0.000000,1737861.019929,1737861.214248,1737861.599102,1737861.601147
0.001539,0.000000,0.000000,0.000000,1737864.246050,1737864.455957,1737864.869610,1737864.871560
0.001432,0.000000,0.000000,0.000000,1737867.538547,1737867.728134,1737868.101002,1737868.103048
0.001373,0.000000,0.000000,0.000000,1737870.734892,1737870.928168,1737871.311341,1737871.313398
0.001448,0.000000,0.000000,0.000000,1737873.949692,1737874.139433,1737874.515432,1737874.517255
0.001471,0.000000,0.000000,0.000000,1737877.154465,1737877.365398,1737877.775267,1737877.777232
0.001365,0.000000,0.000000,0.000000,1737880.455103,1737880.664883,1737881.081417,1737881.083224
0.003779,0.000000,0.000000,0.000000,1737883.763032,1737883.968660,1737884.377101,1737884.379144
0.001457,0.000000,0.000000,0.000000,1737887.033771,1737887.221681,1737887.596327,1737887.598268
0.001492,0.000000,0.000000,0.000000,1737890.215696,1737890.406372,1737890.769445,1737890.771341
