DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001297,0.000000,0.000000,0.000000,21712.096097,21712.290227,21712.848240,21712.850208
0.001491,0.000000,0.000000,0.000000,21713.980554,21714.188401,21714.805608,21714.807850
0.001379,0.000000,0.000000,0.000000,21715.983375,21716.192040,21716.815195,21716.817362
0.001549,0.000000,0.000000,0.000000,21717.984738,21718.173115,21718.730466,21718.732548
0.001519,0.000000,0.000000,0.000000,21719.864270,21720.070946,21720.685286,21720.687117
0.001463,0.000000,0.000000,0.000000,21721.840302,21722.031074,21722.596316,21722.598082
0.001466,0.000000,0.000000,0.000000,21723.742641,21723.951720,21724.577467,21724.579323
0.001357,0.000000,0.000000,0.000000,21725.761954,21725.971744,21726.599358,21726.600974
0.001580,0.000000,0.000000,0.000000,21727.765170,21727.951962,21728.509720,21728.516422
0.001377,0.000000,0.000000,0.000000,21729.626919,21729.815303,21730.375512,21730.377298
0.001339,0.000000,0.000000,0.000000,21731.514033,21731.704103,21732.271340,21732.272947
0.001352,0.000000,0.000000,0.000000,21733.398595,21733.590569,21734.153566,21734.155404
0.001437,0.000000,0.000000,0.000000,21735.297265,21735.487566,21736.055099,21736.056934
0.001566,0.000000,0.000000,0.000000,21737.185063,21737.372296,21737.927140,21737.928866
0.001438,0.000000,0.000000,0.000000,21739.064400,21739.276554,21739.911040,21739.913078
0.001510,0.000000,0.000000,0.000000,21741.079253,21741.267360,21741.828724,21741.830679
0.001382,0.000000,0.000000,0.000000,21742.950649,21743.141995,21743.711959,21743.713892
0.001304,0.000000,0.000000,0.000000,21744.833556,21745.023335,21745.587025,21745.588989
0.001494,0.000000,0.000000,0.000000,21746.718653,21746.912498,21747.492505,21747.494269
0.001730,0.000000,0.000000,0.000000,21748.642432,21748.850337,21749.472396,21749.474338
0.001325,0.000000,0.000000,0.000000,21750.658831,21750.871226,21751.506104,21751.508130
0.001324,0.000000,0.000000,0.000000,21752.701021,21752.908582,21753.530120,21753.532056
0.001300,0.000000,0.000000,0.000000,21754.705193,21754.912900,21755.531929,21755.533532
0.001342,0.000000,0.000000,0.000000,21756.712093,21756.921562,21757.548020,21757.549833
0.001381,0.000000,0.000000,0.000000,21758.736874,21758.946307,21759.570382,21759.572537
0.001329,0.000000,0.000000,0.000000,21760.738899,21760.927814,21761.491387,21761.493193
0.001326,0.000000,0.000000,0.000000,21762.634499,21762.844680,21763.472245,21763.474025
0.001346,0.000000,0.000000,0.000000,21764.647006,21764.840560,21765.418239,21765.420441
0.001446,0.000000,0.000000,0.000000,21766.555526,21766.748087,21767.322507,21767.324555
0.001477,0.000000,0.000000,0.000000,21768.456385,21768.646196,21769.216506,21769.218334
0.001383,0.000000,0.000000,0.000000,21770.371887,21770.580191,21770.790679,21770.792929
