DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001503,0.000000,0.000000,0.000000,28956.165568,28957.230082,28959.248504,28959.250383
0.001423,0.000000,0.000000,0.000000,28960.907426,28961.102437,28962.824805,28962.826804
0.001424,0.000000,0.000000,0.000000,28964.477438,28964.684771,28966.537697,28966.539667
0.001424,0.000000,0.000000,0.000000,28968.188873,28968.376224,28970.034030,28970.035797
0.001335,0.000000,0.000000,0.000000,28971.674912,28971.883155,28973.739374,28973.741411
0.001393,0.000000,0.000000,0.000000,28975.395300,28975.583127,28977.257037,28977.259068
0.001495,0.000000,0.000000,0.000000,28978.875603,28979.067835,28980.763012,28980.765079
0.001554,0.000000,0.000000,0.000000,28982.403492,28982.596180,28984.307751,28984.309464
0.001515,0.000000,0.000000,0.000000,28985.933752,28986.118841,28987.763248,28987.765271
0.001469,0.000000,0.000000,0.000000,28989.389532,28989.596185,28991.645226,28991.647275
0.001548,0.000000,0.000000,0.000000,28993.301944,28993.491453,28995.182321,28995.183985
0.001406,0.000000,0.000000,0.000000,28996.823896,28997.030543,28998.859674,28998.861625
0.001412,0.000000,0.000000,0.000000,29000.513173,29000.696317,29002.504728,29002.506623
0.001548,0.000000,0.000000,0.000000,29004.121953,29004.308823,29005.978914,29005.981205
0.001338,0.000000,0.000000,0.000000,29007.596616,29007.785862,29009.476287,29009.478147
0.001455,0.000000,0.000000,0.000000,29011.116927,29011.326641,29013.201492,29013.203503
0.001291,0.000000,0.000000,0.000000,29014.890252,29015.095053,29016.922602,29016.924477
0.001557,0.000000,0.000000,0.000000,29018.607779,29018.814698,29020.656416,29020.658374
0.001412,0.000000,0.000000,0.000000,29022.317157,29022.505276,29024.166684,29024.168761
0.001456,0.000000,0.000000,0.000000,29025.784869,29025.985717,29027.683456,29027.685046
0.001408,0.000000,0.000000,0.000000,29029.331931,29029.539937,29031.394112,29031.395941
