DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001399,0.000000,0.000000,0.000000,30775.822019,30776.028450,30785.805767,30785.807919
0.001505,0.000000,0.000000,0.000000,30787.464063,30787.657799,30796.685000,30796.687280
0.001403,0.000000,0.000000,0.000000,30798.337727,30798.545341,30808.383518,30808.384717
0.001451,0.000000,0.000000,0.000000,30810.050544,30810.238737,30819.179638,30819.181688
0.001370,0.000000,0.000000,0.000000,30820.801810,30820.993799,30830.099782,30830.101660
0.001453,0.000000,0.000000,0.000000,30831.737466,30831.930727,30841.106202,30841.107874
0.001504,0.000000,0.000000,0.000000,30842.737392,30842.926958,30851.934906,30851.936749
0.001618,0.000000,0.000000,0.000000,30853.583279,30853.789563,30863.514706,30863.516767
0.001513,0.000000,0.000000,0.000000,30865.189058,30865.396575,30875.240806,30875.242814
0.001465,0.000000,0.000000,0.000000,30876.907806,30877.097324,30886.283585,30886.285740
0.001430,0.000000,0.000000,0.000000,30887.924877,30888.132291,30897.988846,30897.989204
0.001385,0.000000,0.000000,0.000000,30899.645291,30899.830814,30908.586419,30908.588664
0.001273,0.000000,0.000000,0.000000,30910.203189,30910.392436,30919.367146,30919.367462
0.001400,0.000000,0.000000,0.000000,30920.992418,30921.185852,30930.365291,30930.367235
0.001363,0.000000,0.000000,0.000000,30932.028868,30932.237127,30942.108836,30942.110735
0.001560,0.000000,0.000000,0.000000,30943.783835,30943.990629,30953.595855,30953.597687
0.001410,0.000000,0.000000,0.000000,30955.261547,30955.452652,30964.387928,30964.389727
0.001380,0.000000,0.000000,0.000000,30966.030106,30966.246389,30975.839661,30975.841335
0.001305,0.000000,0.000000,0.000000,30977.511562,30978.618344,30987.905307,30987.907343
0.001530,0.000000,0.000000,0.000000,30989.588543,30989.795143,30999.580498,30999.580811
0.004906,0.000000,0.000000,0.000000,31001.236981,31001.427431,31010.745411,31010.747363
0.001397,0.000000,0.000000,0.000000,31012.366770,31012.552008,31021.363166,31021.365023
0.001347,0.000000,0.000000,0.000000,31022.990064,31023.184488,31032.294589,31032.296552
0.001495,0.000000,0.000000,0.000000,31033.931349,31034.124373,31043.222887,31043.223183
0.001487,0.000000,0.000000,0.000000,31044.868375,31045.076991,31054.959232,31054.961233
0.001379,0.000000,0.000000,0.000000,31056.647425,31056.854583,31066.899743,31066.901677
0.001418,0.000000,0.000000,0.000000,31068.559292,31068.764568,31077.758113,31077.760124
0.001586,0.000000,0.000000,0.000000,31079.387998,31079.577609,31088.494415,31088.496394
0.001261,0.000000,0.000000,0.000000,31090.116116,31090.306604,31099.347218,31099.348385
0.001468,0.000000,0.000000,0.000000,31100.985698,31101.198068,31110.854768,31110.856669
0.001353,0.000000,0.000000,0.000000,31112.528541,31112.720893,31116.900489,31116.902340
0.001441,0.000000,0.000000,0.000000,31118.538729,31118.728888,31122.474329,31122.476301
0.001454,0.000000,0.000000,0.000000,31124.099863,31124.292186,31128.308419,31128.310570
0.001425,0.000000,0.000000,0.000000,31129.936884,31130.127001,31133.901129,31133.903399
0.001494,0.000000,0.000000,0.000000,31135.549199,31135.754788,31140.236420,31140.238369
0.001359,0.000000,0.000000,0.000000,31141.884246,31142.066863,31146.046935,31146.049141
0.001633,0.000000,0.000000,0.000000,31147.657886,31147.847449,31151.598214,31151.599928
0.001410,0.000000,0.000000,0.000000,31153.234701,31153.439746,31157.901033,31157.902937
0.001486,0.000000,0.000000,0.000000,31159.568349,31159.953051,31163.898385,31163.900189
0.001372,0.000000,0.000000,0.000000,31165.537115,31165.731120,31169.769158,31169.771055
0.001525,0.000000,0.000000,0.000000,31171.422194,31171.632296,31176.217582,31176.219436
0.001455,0.000000,0.000000,0.000000,31177.891796,31178.087041,31181.896653,31181.898207
0.001578,0.000000,0.000000,0.000000,31183.547052,31183.755433,31188.305993,31188.306981
0.001536,0.000000,0.000000,0.000000,31189.983536,31190.192136,31194.524400,31194.526535
0.001429,0.000000,0.000000,0.000000,31196.179992,31196.366683,31200.573823,31200.575419
0.001451,0.000000,0.000000,0.000000,31202.203508,31202.412941,31206.726571,31206.728543
0.001327,0.000000,0.000000,0.000000,31208.410081,31208.615646,31213.067873,31213.069844
0.001437,0.000000,0.000000,0.000000,31214.727271,31214.919592,31219.119663,31219.121304
0.001540,0.000000,0.000000,0.000000,31220.781687,31220.988965,31225.098321,31225.100495
0.001538,0.000000,0.000000,0.000000,31226.788329,31226.999441,31231.801573,31231.803627
0.001553,0.000000,0.000000,0.000000,31233.484322,31233.694318,31238.480921,31238.482972
0.001460,0.000000,0.000000,0.000000,31240.139464,31240.324144,31244.343911,31244.344930
0.001405,0.000000,0.000000,0.000000,31245.961118,31246.153754,31250.158391,31250.160410
0.001531,0.000000,0.000000,0.000000,31251.792410,31251.980245,31256.227602,31256.229601
0.001515,0.000000,0.000000,0.000000,31257.862317,31258.072416,31262.868665,31262.870522
0.001425,0.000000,0.000000,0.000000,31264.536034,31264.725666,31268.471151,31268.473423
0.001627,0.000000,0.000000,0.000000,31270.101692,31270.288800,31274.355908,31274.357909
0.001408,0.000000,0.000000,0.000000,31275.970077,31276.170815,31280.429837,31280.431986
0.001449,0.000000,0.000000,0.000000,31282.049972,31282.239588,31286.551617,31286.553493
0.001478,0.000000,0.000000,0.000000,31288.198222,31288.405026,31292.906771,31292.908736
0.001283,0.000000,0.000000,0.000000,31294.587937,31294.784819,31296.672396,31296.674104
0.001446,0.000000,0.000000,0.000000,31298.297042,31298.488360,31300.196124,31300.198133
0.001408,0.000000,0.000000,0.000000,31301.818263,31302.007289,31303.678970,31303.680764
0.001659,0.000000,0.000000,0.000000,31305.301007,31305.494623,31307.217773,31307.219631
0.001360,0.000000,0.000000,0.000000,31308.855937,31309.045320,31310.921058,31310.923018
0.001599,0.000000,0.000000,0.000000,31312.540090,31312.730116,31314.436881,31314.438936
0.001529,0.000000,0.000000,0.000000,31316.076326,31316.280845,31318.105746,31318.107664
0.001458,0.000000,0.000000,0.000000,31319.761344,31319.953358,31321.855828,31321.857380
