DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.000914,0.006935,0.005647,1.005329,10351.307077,10351.350721,10351.435970,10351.436959
0.001305,0.006815,0.007464,1.004924,10353.458855,10353.501636,10353.585626,10353.586615
0.001304,0.007298,0.010940,1.005413,10355.608942,10355.653878,10355.698521,10355.699506
0.001217,0.006848,0.006278,1.005005,10357.721598,10357.764457,10357.806814,10357.807822
0.001450,0.006266,0.006768,1.004335,10359.829467,10359.871828,10359.975769,10359.976796
0.001461,0.007285,0.006378,1.005426,10361.999741,10362.041886,10362.084088,10362.085123
0.001357,0.006391,0.006279,1.004485,10364.106502,10364.149747,10364.192397,10364.193461
0.001469,0.006575,0.006604,1.004712,10366.215104,10366.259480,10366.302262,10366.303464
0.001337,0.006406,0.006302,1.004514,10368.324935,10368.366359,10368.408856,10368.409970
0.001238,0.007686,0.005715,1.005889,10370.432823,10370.477213,10370.559968,10370.561117
0.001509,0.006910,0.011562,1.004965,10372.583116,10372.625795,10372.668304,10372.669459
0.001536,0.011137,0.006723,1.009252,10374.695396,10374.744613,10374.788475,10374.789651
0.001318,0.007237,0.005489,1.005437,10376.811849,10376.854403,10376.895970,10376.897237
0.001494,0.006565,0.006397,1.004710,10378.918836,10378.961583,10379.003695,10379.004983
0.001124,0.007021,0.006148,1.005159,10381.027006,10381.069850,10381.112727,10381.113958
0.001416,0.008046,0.005794,1.006129,10383.137220,10383.179941,10383.258755,10383.260079
0.001301,0.006508,0.006055,1.004607,10385.281832,10385.323090,10385.365844,10385.367066
0.001055,0.006298,0.010942,1.004379,10387.388305,10387.432635,10387.475309,10387.476694
0.001467,0.006789,0.006421,1.004830,10389.498354,10389.542007,10389.624540,10389.625962
0.001748,0.006943,0.006176,1.004999,10391.647993,10391.691335,10391.734741,10391.736115
0.001321,0.007660,0.005939,1.005824,10393.796801,10393.848523,10393.891069,10393.892542
0.001397,0.006536,0.006503,1.004552,10395.914259,10395.956611,10395.997175,10395.998507
0.001403,0.006441,0.006382,1.004464,10398.019810,10398.063150,10398.105161,10398.106667
0.001105,0.008362,0.006917,1.006125,10400.130141,10400.174619,10400.216906,10400.218410
0.001078,0.007082,0.005828,1.005129,10402.241088,10402.286389,10402.329441,10402.330977
0.001350,0.006392,0.007248,1.004306,10404.352445,10404.396136,10404.438054,10404.439531
0.001324,0.006437,0.006415,1.004509,10406.460932,10406.504136,10406.546124,10406.547666
0.001070,0.006355,0.006473,1.004433,10408.569049,10408.610593,10408.650828,10408.652336
0.001420,0.006624,0.006320,1.004714,10410.673937,10410.715938,10410.755976,10410.757438
0.001376,0.006352,0.006242,1.004564,10412.778634,10412.838779,10412.881400,10412.882708
0.001398,0.007237,0.006412,1.005400,10414.905269,10414.948174,10414.991826,10414.993277
0.001405,0.007311,0.006551,1.005312,10417.015607,10417.060164,10417.105211,10417.106624
0.001275,0.006532,0.005865,1.004713,10419.128143,10419.171568,10419.214178,10419.215540
0.001088,0.006463,0.006517,1.004583,10421.237557,10421.280819,10421.322171,10421.323577
0.001411,0.006555,0.005753,1.004671,10423.345373,10423.389137,10423.431877,10423.433442
0.001537,0.006560,0.006345,1.004710,10425.455010,10425.496781,10425.536908,10425.538334
0.001322,0.007459,0.006140,1.005666,10427.560961,10427.602750,10427.643342,10427.644814
0.001447,0.006574,0.006124,1.004777,10429.666676,10429.710319,10429.751130,10429.752603
0.001417,0.006836,0.006565,1.004810,10431.774240,10431.815661,10431.860459,10431.862020
0.001350,0.006382,0.005558,1.004468,10433.883592,10433.928253,10433.968469,10433.969974
0.001409,0.006748,0.005631,1.004868,10436.021516,10436.065271,10436.107679,10436.109295
0.001588,0.005967,0.006249,1.004011,10438.130121,10438.174583,10438.217107,10438.218633
0.001250,0.006913,0.006492,1.004889,10440.241017,10440.291548,10440.331254,10440.332710
0.001358,0.006896,0.007196,1.004981,10442.354348,10442.397074,10442.438333,10442.439773
0.001491,0.007033,0.006030,1.005028,10444.462106,10444.504184,10444.545481,10444.546975
0.002042,0.006317,0.007304,1.004339,10446.568148,10446.611728,10446.652938,10446.654354
0.001519,0.006532,0.006475,1.004621,10448.675472,10448.718055,10448.812829,10448.814330
0.002135,0.007131,0.007203,1.005519,10450.836894,10450.899605,10450.942344,10450.943827
0.001334,0.006927,0.006627,1.004925,10452.966798,10453.011505,10453.054764,10453.056322
0.001480,0.013535,0.006452,1.011647,10455.084693,10455.126654,10455.167874,10455.169412
0.001508,0.006625,0.006103,1.004894,10457.191147,10457.240209,10457.285872,10457.287394
0.001373,0.007756,0.006343,1.005827,10459.310058,10459.351633,10459.393064,10459.394572
0.001464,0.006477,0.006176,1.004539,10461.415727,10461.472861,10461.516892,10461.517873
0.001381,0.007163,0.006536,1.005247,10463.540198,10463.583595,10463.626288,10463.627507
0.001267,0.006978,0.006195,1.005176,10465.649539,10465.695389,10465.737080,10465.738688
0.001416,0.007166,0.006461,1.005146,10467.760887,10467.803711,10467.845041,10467.846636
0.001166,0.007270,0.006387,1.005290,10469.869039,10469.913281,10469.955195,10469.956798
0.001600,0.006640,0.006600,1.004660,10471.978642,10472.022982,10472.064824,10472.066365
0.001313,0.006788,0.006340,1.004895,10474.088131,10474.132767,10474.175060,10474.176577
0.001583,0.007159,0.006395,1.005197,10476.199098,10476.242892,10476.284314,10476.285841
0.001043,0.006396,0.005851,1.004675,10478.338735,10478.384558,10478.429859,10478.431421
0.001516,0.006128,0.006407,1.004486,10480.452708,10480.494715,10480.534827,10480.536287
0.001357,0.006873,0.006460,1.004918,10482.558309,10482.601081,10482.643166,10482.644731
0.001357,0.006293,0.006453,1.004408,10484.666334,10484.709818,10484.753167,10484.754706
0.001343,0.006444,0.006588,1.004518,10486.776131,10486.818874,10486.860449,10486.861915
0.001500,0.006491,0.006417,1.004662,10488.883497,10488.924422,10488.964749,10488.966344
0.001256,0.008086,0.006301,1.006034,10490.989701,10491.030211,10491.069924,10491.071511
0.001234,0.006886,0.006162,1.004992,10493.093457,10493.137579,10493.178852,10493.180322
0.001509,0.007045,0.006364,1.005287,10495.202668,10495.245518,10495.286978,10495.288510
0.001362,0.007542,0.006463,1.005629,10497.311024,10497.352922,10497.393573,10497.395073
0.001424,0.007031,0.006400,1.005148,10499.417035,10499.464034,10499.507203,10499.508709
0.002521,0.007351,0.007375,1.005518,10501.531208,10501.577902,10501.617884,10501.619474
0.001204,0.006533,0.006552,1.004716,10503.640733,10503.685700,10503.727644,10503.729210
0.001514,0.007079,0.006435,1.005156,10505.751161,10505.793814,10505.837882,10505.839491
0.001344,0.007002,0.006084,1.005144,10507.861716,10507.904047,10507.945000,10507.946613
