DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.000960,0.011865,0.006276,1.009608,21409.850971,21409.894863,21409.914493,21409.915402
0.001118,0.007368,0.006173,1.005544,21411.937859,21411.980773,21412.021752,21412.022955
0.001171,0.008011,0.007076,1.006196,21414.045100,21414.092918,21414.134597,21414.135832
0.001541,0.007798,0.007674,1.005852,21416.157740,21416.202241,21416.244083,21416.245220
0.001530,0.007787,0.007862,1.005975,21418.267484,21418.315173,21418.357108,21418.358288
0.001652,0.008109,0.007877,1.006280,21420.380681,21420.425190,21420.467904,21420.469130
0.001579,0.007649,0.007637,1.005692,21422.490868,21422.533254,21422.573834,21422.575064
0.001352,0.007870,0.006825,1.006011,21424.597054,21424.638987,21424.679298,21424.680571
0.001460,0.008247,0.006969,1.006317,21426.703121,21426.745314,21426.785401,21426.786576
0.001438,0.010043,0.007627,1.008150,21428.810814,21428.853967,21428.895205,21428.896385
0.001230,0.007669,0.006846,1.005834,21430.918159,21430.963384,21431.006015,21431.007147
0.001517,0.007226,0.007424,1.005358,21433.028675,21433.070591,21433.110768,21433.112011
0.001606,0.007887,0.007167,1.006037,21435.133796,21435.174576,21435.214057,21435.215326
0.001290,0.006851,0.007758,1.004949,21437.236422,21437.282900,21437.325018,21437.326253
0.001240,0.007228,0.006885,1.005414,21439.347754,21439.388446,21439.427686,21439.428810
0.001596,0.007344,0.006824,1.005511,21441.450159,21441.494411,21441.536068,21441.537279
0.001470,0.007430,0.012370,1.005590,21443.559136,21443.601420,21443.641711,21443.642872
0.001679,0.007701,0.007396,1.005751,21445.665027,21445.708861,21445.749660,21445.751078
0.001533,0.007502,0.007263,1.005655,21447.772717,21447.816406,21447.858650,21447.859992
0.001333,0.007641,0.007204,1.005626,21449.881628,21449.924517,21449.966067,21449.967351
0.001668,0.008001,0.006174,1.006145,21452.021193,21452.063363,21452.103680,21452.105053
0.001346,0.007738,0.007176,1.005934,21454.126961,21454.175213,21454.219021,21454.220477
0.001348,0.007764,0.007584,1.005980,21456.242669,21456.287168,21456.328107,21456.329271
0.001353,0.007899,0.006767,1.006121,21458.351299,21458.397618,21458.440620,21458.441941
0.001478,0.008053,0.007256,1.006195,21460.464263,21460.508121,21460.549979,21460.551225
0.001572,0.007564,0.007096,1.005707,21462.573144,21462.619824,21462.722894,21462.724353
0.001195,0.007822,0.007647,1.005938,21464.746182,21464.787971,21464.828527,21464.829769
0.001535,0.008155,0.007054,1.006310,21466.851968,21466.895508,21466.937740,21466.939007
