DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001053,0.004845,0.002574,1.003145,25023.048721,25023.334315,25023.545629,25023.546965
0.001078,0.005779,0.002594,1.003940,25025.569274,25025.846980,25026.014281,25026.015446
0.002693,0.005166,0.005013,1.000862,25028.037170,25028.311624,25028.473851,25028.475196
0.001150,0.004904,0.002786,1.003112,25030.496467,25030.774061,25030.942544,25030.943871
0.001322,0.005276,0.002697,1.003751,25032.965625,25033.239770,25033.439926,25033.441498
0.001036,0.005272,0.002604,1.003411,25035.463746,25035.736532,25035.903111,25035.904506
0.001025,0.005477,0.002638,1.003632,25037.926603,25038.202270,25038.363909,25038.365193
0.000972,0.004820,0.002542,1.003121,25040.386520,25040.664215,25040.831228,25040.832522
0.001219,0.005106,0.002669,1.003245,25042.854293,25043.128004,25043.292112,25043.293399
0.002187,0.004849,0.004250,1.003187,25045.314833,25045.575348,25045.739411,25045.740994
0.000901,0.005051,0.002852,1.003199,25047.762666,25048.069306,25048.290160,25048.291443
0.000806,0.007808,0.002803,1.005956,25050.315932,25050.585423,25050.747723,25050.749051
0.000844,0.003723,0.002713,1.001665,25052.769802,25053.040954,25053.203447,25053.204822
0.001101,0.004951,0.002612,1.003098,25055.226596,25055.503990,25055.673951,25055.675294
0.001166,0.005035,0.002614,1.003215,25057.696950,25057.975306,25058.184350,25058.185669
0.000908,0.004930,0.002742,1.002991,25060.207138,25060.487499,25060.653393,25060.654644
0.000876,0.005061,0.002718,1.003026,25062.676467,25062.948915,25063.107357,25063.108686
0.000974,0.004795,0.002666,1.003101,25065.130228,25065.405282,25065.571487,25065.572859
0.001607,0.004926,0.002501,1.003786,25067.594339,25067.871187,25068.040091,25068.041418
0.000972,0.004987,0.002540,1.003264,25070.063018,25070.335928,25070.497011,25070.498439
0.000867,0.004928,0.002675,1.003252,25072.550270,25072.825750,25072.905589,25072.906693
0.000905,0.004970,0.002785,1.002876,25074.928463,25075.201169,25075.281976,25075.283270
0.001055,0.004861,0.002682,1.003005,25077.304679,25077.582884,25077.669321,25077.670682
0.002342,0.005044,0.002797,1.003068,25079.692292,25079.964085,25080.046477,25080.047788
0.000963,0.005014,0.002658,1.003108,25082.069657,25082.340864,25082.421250,25082.422786
0.001013,0.004908,0.002731,1.002971,25084.444491,25084.718754,25084.799957,25084.801224
0.000844,0.004983,0.002680,1.003178,25086.822707,25087.103236,25087.186039,25087.187294
0.001048,0.005426,0.002890,1.003544,25089.209288,25089.488891,25089.573204,25089.574497
0.001703,0.004998,0.003700,1.003353,25091.595995,25091.883675,25091.967354,25091.968697
0.000982,0.005834,0.002625,1.003841,25093.991244,25094.268174,25094.352241,25094.353659
0.001030,0.004718,0.002606,1.002847,25096.374936,25096.647437,25096.726885,25096.728438
0.001045,0.004968,0.002678,1.003024,25098.750020,25099.026699,25099.110694,25099.112040
0.001342,0.004876,0.002920,1.003728,25101.133556,25101.407827,25101.491114,25101.492384
0.001137,0.005131,0.002561,1.003398,25103.513901,25103.787025,25103.870407,25103.871700
0.000904,0.004877,0.002840,1.003010,25105.893198,25106.166242,25106.251264,25106.252509
