DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.000946,0.013095,1.021457,1.019226,27741.705169,27741.777382,27742.797199,27742.798220
0.001132,0.012846,1.021437,1.019311,27744.874271,27744.936399,27745.863086,27745.864088
0.000937,0.013781,1.022703,1.020415,27747.941200,27748.006584,27748.951306,27748.952355
0.001012,0.012726,1.021388,1.019090,27751.029432,27751.092563,27752.036687,27752.037667
0.000914,0.012301,1.020107,1.017836,27754.111538,27754.176078,27755.158473,27755.159482
0.001054,0.012664,1.021187,1.019090,27757.235402,27757.297850,27758.231084,27758.232090
0.000902,0.012664,1.020606,1.018143,27760.306851,27760.367391,27761.261645,27761.262651
0.000860,0.012439,1.020489,1.018111,27763.337461,27763.404505,27764.360869,27764.361871
0.001093,0.012765,1.021200,1.018962,27766.436479,27766.497714,27767.385588,27767.386559
0.001041,0.013146,1.021405,1.019095,27769.462427,27769.524475,27770.484743,27770.485737
0.001087,0.013073,1.021169,1.018850,27772.561406,27772.621650,27773.526970,27773.527951
0.001005,0.013095,1.021097,1.018679,27775.603693,27775.659999,27776.604904,27776.605921
0.001148,0.011926,1.020210,1.017929,27778.680326,27778.741320,27779.650828,27779.651793
0.001013,0.012753,1.021610,1.019202,27781.727714,27781.791602,27782.702527,27782.703509
0.001016,0.012708,1.021670,1.019277,27784.779011,27784.845371,27785.811813,27785.812831
0.000984,0.012936,1.020898,1.018677,27787.887046,27787.949307,27788.893325,27788.894327
0.000841,0.012682,1.020948,1.018562,27790.968826,27791.030343,27791.949480,27791.950510
0.001308,0.013151,1.020951,1.018483,27794.025605,27794.094291,27795.047713,27795.048743
0.001019,0.012603,1.021044,1.018854,27797.123232,27797.185826,27798.118649,27798.119641
0.001065,0.012768,1.021279,1.018918,27800.194537,27800.256694,27801.248611,27801.249634
0.000883,0.012406,1.020529,1.018245,27803.353773,27803.425434,27803.899823,27803.901452
0.000796,0.012749,1.021158,1.018779,27805.976357,27806.039596,27806.530507,27806.531894
0.001055,0.012929,1.020932,1.018695,27808.608288,27808.670960,27809.125441,27809.126786
0.001125,0.015899,1.023705,1.021479,27811.204213,27811.267175,27811.722624,27811.724190
0.000901,0.012702,1.020589,1.018349,27813.799619,27813.861198,27814.296958,27814.298517
0.001075,0.012837,1.020805,1.018488,27816.373233,27816.437215,27816.907223,27816.908746
0.000887,0.013154,1.021742,1.019558,27818.985203,27819.047717,27819.504096,27819.505642
0.001085,0.012931,1.021474,1.019179,27821.581013,27821.642005,27822.083561,27822.085238
0.001074,0.012515,1.021228,1.018785,27824.161634,27824.223954,27824.660101,27824.661655
0.001019,0.012625,1.021088,1.018687,27826.737743,27826.801678,27827.255556,27827.257169
0.000812,0.013008,1.021123,1.018705,27829.333406,27829.396681,27829.837792,27829.839390
0.001039,0.012664,1.020692,1.018265,27831.914602,27831.977481,27832.430633,27832.432232
0.000877,0.013095,1.021352,1.018957,27834.508632,27834.572324,27835.030544,27835.032094
0.001042,0.012362,1.020439,1.018138,27837.106235,27837.180488,27837.700995,27837.702480
0.000846,0.013462,1.022038,1.019590,27839.778908,27839.851986,27840.353881,27840.355300
0.001000,0.012517,1.020591,1.018077,27842.429738,27842.502284,27843.056821,27843.058062
0.000876,0.012691,1.021494,1.019029,27845.133231,27845.220969,27845.771564,27845.772561
0.000817,0.012382,1.020567,1.018211,27847.847182,27847.915620,27848.402319,27848.403560
0.001046,0.012785,1.021047,1.018794,27850.480421,27850.541642,27850.978008,27850.979425
0.002042,0.012570,1.020872,1.019356,27853.054104,27853.118478,27853.582389,27853.583657
0.000920,0.013340,1.021663,1.019334,27855.690762,27855.752250,27855.914761,27855.915997
0.001062,0.012591,1.020484,1.018169,27857.990676,27858.051903,27858.212350,27858.213343
0.001107,0.014552,1.023074,1.020730,27860.289532,27860.353342,27860.518027,27860.519641
0.001051,0.012387,1.020927,1.018661,27862.593512,27862.702540,27862.875198,27862.876651
0.001046,0.012461,1.020318,1.018048,27864.951568,27865.012732,27865.174805,27865.176366
0.001073,0.012694,1.020976,1.018692,27867.251678,27867.313550,27867.477227,27867.478599
0.000994,0.012653,1.020570,1.018204,27869.553108,27869.612674,27869.770006,27869.771481
0.001011,0.012552,1.021061,1.018832,27871.846049,27871.906420,27872.067775,27872.069295
0.001141,0.012587,1.021203,1.019040,27874.144927,27874.206241,27874.370814,27874.372387
0.001001,0.012887,1.021254,1.019081,27876.448271,27876.509296,27876.678058,27876.679117
0.001000,0.012368,1.021153,1.018684,27878.753976,27878.814845,27878.976891,27878.978372
0.000933,0.012852,1.021286,1.018900,27881.054248,27881.116924,27881.286020,27881.287514
0.001076,0.012599,1.021370,1.019133,27883.362273,27883.426802,27883.593660,27883.595090
0.001116,0.012303,1.020686,1.018417,27885.670109,27885.733905,27885.904904,27885.906413
0.001078,0.012459,1.021156,1.018804,27887.982009,27888.043612,27888.205580,27888.206945
0.000968,0.014324,1.022607,1.020228,27890.283554,27890.346090,27890.515127,27890.516637
0.000947,0.012458,1.020444,1.018147,27892.591523,27892.653908,27892.822462,27892.823910
0.000972,0.012537,1.020397,1.018016,27894.897654,27894.958736,27895.121110,27895.122684
0.000816,0.012272,1.020378,1.017934,27897.197268,27897.266093,27897.426013,27897.427590
0.000991,0.012559,1.021391,1.019023,27899.503914,27899.566095,27899.731114,27899.732754
0.000831,0.012638,1.021091,1.018803,27901.838486,27901.909631,27902.038337,27902.039890
0.000872,0.012582,1.021082,1.018854,27904.115161,27904.180083,27904.302342,27904.303929
0.000940,0.012320,1.020505,1.018237,27906.378530,27906.442868,27906.562592,27906.564073
0.000938,0.013436,1.021405,1.019052,27908.638912,27908.707590,27908.839032,27908.840494
0.001481,0.012778,1.021450,1.019441,27910.916752,27911.012692,27911.134113,27911.135557
0.001036,0.012796,1.021588,1.019255,27913.211647,27913.274090,27913.394249,27913.395826
0.000790,0.012868,1.021013,1.018590,27915.471095,27915.532628,27915.654420,27915.655954
