DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.006921,0.002305,0.000856,0.004147,12414.158642,12414.533979,12414.619379,12414.620637
0.006816,0.002307,0.000566,0.003655,12415.685093,12415.729979,12415.815638,12415.816904
0.006969,0.002362,0.000814,0.004107,12416.879800,12416.925197,12417.006562,12417.007764
0.007086,0.002270,0.000829,0.003983,12418.072908,12418.117437,12418.203626,12418.205050
0.007118,0.002261,0.000795,0.004026,12419.270664,12419.314190,12419.400707,12419.401921
0.006914,0.002273,0.000587,0.003655,12420.469399,12420.514963,12420.604867,12420.606132
0.007016,0.002283,0.000607,0.003740,12421.672664,12421.717915,12421.806041,12421.807268
0.006856,0.002215,0.000806,0.003995,12422.873419,12422.917317,12423.002895,12423.004108
0.007400,0.002230,0.000544,0.003538,12424.068726,12424.110656,12424.193178,12424.194380
0.007597,0.002222,0.001451,0.004463,12425.258941,12425.301775,12425.383327,12425.384603
0.006906,0.002150,0.000764,0.003928,12426.447991,12426.489459,12426.569862,12426.571072
0.006878,0.002253,0.000752,0.003989,12427.632735,12427.674098,12427.752527,12427.753759
0.008017,0.004147,0.002063,0.004729,12428.819112,12428.862964,12428.946148,12428.947475
0.007510,0.002436,0.000643,0.003858,12430.011554,12430.055640,12430.138018,12430.139380
0.007319,0.002309,0.000751,0.003946,12431.205632,12431.250145,12431.335203,12431.336381
0.006822,0.002235,0.000655,0.003950,12432.401303,12432.444539,12432.529633,12432.530911
0.007196,0.002311,0.000860,0.004096,12433.597917,12433.645365,12433.730815,12433.732134
0.006931,0.002277,0.000874,0.004048,12434.796902,12434.844202,12434.927676,12434.928838
0.006666,0.002222,0.000791,0.003997,12435.993446,12436.033955,12436.113474,12436.114778
0.000761,0.002384,0.001040,0.004268,12437.172388,12437.214816,12437.297021,12437.298147
0.006854,0.002026,0.000810,0.003771,12438.392207,12438.437196,12438.479494,12438.480600
0.006806,0.002247,0.000761,0.003970,12439.544688,12439.588600,12439.631699,12439.632934
0.006871,0.002282,0.000803,0.004081,12440.698394,12440.742676,12440.785923,12440.787096
0.006915,0.002373,0.000811,0.004075,12441.850707,12441.892737,12441.934348,12441.935553
0.006987,0.002344,0.000738,0.004192,12442.998891,12443.039409,12443.081022,12443.082167
0.006945,0.002338,0.000765,0.004066,12444.145864,12444.189379,12444.230580,12444.231391
0.007033,0.002268,0.000786,0.004011,12445.294170,12445.349519,12445.392836,12445.394158
0.006948,0.002312,0.000794,0.004040,12446.456595,12446.516755,12446.557033,12446.558194
0.007028,0.002291,0.000764,0.004013,12447.623622,12447.667424,12447.709264,12447.710435
0.006998,0.002288,0.000809,0.004127,12448.776158,12448.821139,12448.865450,12448.866596
0.006938,0.002334,0.000801,0.004064,12449.929403,12449.971177,12450.011831,12450.013040
0.007146,0.002203,0.000767,0.003977,12451.075917,12451.119601,12451.162580,12451.163792
0.006810,0.002393,0.000870,0.004084,12452.226679,12452.269171,12452.310544,12452.311765
0.006744,0.002320,0.000804,0.004072,12453.375473,12453.419497,12453.462354,12453.463552
0.006902,0.002283,0.000866,0.004101,12454.528704,12454.572532,12454.615916,12454.617139
0.006937,0.002190,0.000514,0.003814,12455.681199,12455.723821,12455.765399,12455.766597
0.007027,0.002297,0.000790,0.003973,12456.831818,12456.875920,12456.918140,12456.919424
0.008124,0.002209,0.000684,0.003717,12457.987505,12458.036463,12458.082877,12458.084091
0.006877,0.002244,0.000868,0.003999,12459.147344,12459.188731,12459.230827,12459.232078
0.006833,0.002204,0.000660,0.003955,12460.298027,12460.346812,12460.391249,12460.392480
0.006898,0.002089,0.000634,0.003592,12461.486155,12461.528725,12461.569961,12461.571195
0.006858,0.002221,0.000812,0.003922,12462.640538,12462.683694,12462.725373,12462.726495
0.006952,0.002375,0.000788,0.003992,12463.789046,12463.829439,12463.868927,12463.870034
0.006943,0.002558,0.000911,0.004447,12464.934576,12464.976450,12465.017422,12465.018619
0.008347,0.002406,0.002349,0.005454,12466.084810,12466.126996,12466.167725,12466.169074
0.006927,0.002264,0.000833,0.004066,12467.234001,12467.276533,12467.318937,12467.320102
0.007020,0.002230,0.000871,0.004026,12468.385656,12468.427785,12468.471313,12468.472440
0.006959,0.002290,0.000782,0.004075,12469.539448,12469.587236,12469.633738,12469.635026
0.007040,0.002321,0.000855,0.004074,12470.699357,12470.740648,12470.780278,12470.781263
0.006889,0.002204,0.000831,0.004056,12471.844486,12471.887823,12471.928239,12471.929491
0.007036,0.002190,0.000786,0.004017,12472.994752,12473.055360,12473.097565,12473.098834
0.006924,0.002233,0.000775,0.004012,12474.164361,12474.209360,12474.250919,12474.252133
0.000819,0.002656,0.001148,0.003485,12475.317966,12475.363647,12475.408299,12475.409565
0.007338,0.002283,0.000833,0.004122,12476.476476,12476.519581,12476.561676,12476.562754
0.006896,0.002340,0.000805,0.004111,12477.630061,12477.675841,12477.719955,12477.721172
0.006940,0.002214,0.000763,0.004064,12478.787156,12478.855635,12478.900418,12478.901621
0.007010,0.002266,0.000687,0.004027,12479.965333,12480.021541,12480.062158,12480.063316
0.007126,0.002333,0.000772,0.004006,12481.127187,12481.182280,12481.223601,12481.224716
0.006840,0.000539,0.000799,0.002204,12482.289868,12482.332694,12482.422727,12482.423923
0.007008,0.002208,0.000893,0.004018,12483.503461,12483.546386,12483.592870,12483.594121
0.006843,0.002128,0.000784,0.003860,12484.701168,12484.771625,12484.839713,12484.840986
0.006876,0.002372,0.000839,0.004102,12485.922092,12485.992680,12486.060065,12486.061180
0.006943,0.002918,0.000602,0.004274,12487.128352,12487.171620,12487.213920,12487.215155
0.007274,0.002204,0.000549,0.003576,12488.280479,12488.333982,12488.375919,12488.377037
0.007145,0.002311,0.000759,0.003978,12489.441738,12489.485100,12489.526412,12489.527572
0.007721,0.002346,0.001689,0.004918,12490.593478,12490.638803,12490.681328,12490.682591
0.000853,0.002272,0.000569,0.003649,12491.748549,12491.802962,12491.845480,12491.846720
0.007084,0.002471,0.000873,0.004078,12492.909847,12492.982630,12493.023107,12493.024456
0.001113,0.002318,0.000549,0.003737,12494.090320,12494.134377,12494.177756,12494.179046
0.007153,0.002359,0.000812,0.004019,12495.243382,12495.285330,12495.327031,12495.328427
0.007337,0.002257,0.001175,0.004392,12496.394513,12496.438614,12496.480185,12496.481370
0.006963,0.002200,0.000792,0.003989,12497.548941,12497.591642,12497.633493,12497.634626
0.007147,0.002333,0.000899,0.004066,12498.697814,12498.740096,12498.781224,12498.782420
0.006807,0.002295,0.000765,0.004020,12499.847726,12499.955798,12499.998252,12499.999639
0.007299,0.002301,0.000737,0.003874,12501.064157,12501.106697,12501.147856,12501.149156
0.008213,0.004550,0.002144,0.005150,12502.214668,12502.256851,12502.297551,12502.298696
0.006971,0.002353,0.000802,0.004052,12503.364335,12503.407621,12503.451200,12503.452374
0.007004,0.002223,0.000766,0.004051,12504.518886,12504.563932,12504.607250,12504.608496
0.006826,0.002259,0.000828,0.003997,12505.674839,12505.718401,12505.761264,12505.762571
0.007162,0.002307,0.000836,0.004101,12506.828151,12506.871493,12506.913453,12506.914651
0.006910,0.002093,0.000781,0.003800,12508.008670,12508.050773,12508.091543,12508.092758
0.006815,0.002253,0.000745,0.003908,12509.156168,12509.201694,12509.242324,12509.243479
0.007418,0.002209,0.000773,0.003897,12510.307381,12510.350138,12510.390755,12510.392042
0.006895,0.002207,0.000848,0.004039,12511.456483,12511.499035,12511.540530,12511.541675
