DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.005067,0.001121,0.000711,0.002417,22337.892243,22337.938912,22337.982583,22337.983902
0.005297,0.001245,0.000654,0.002494,22339.043540,22339.090317,22339.131216,22339.132709
0.005224,0.001171,0.000776,0.002553,22340.193737,22340.235105,22340.276258,22340.277588
0.005141,0.001271,0.000763,0.002586,22341.339022,22341.383456,22341.426592,22341.427919
0.005425,0.001258,0.001051,0.002824,22342.489961,22342.534249,22342.577804,22342.579128
0.005150,0.001481,0.000721,0.002667,22343.639979,22343.687522,22343.735147,22343.736491
0.005203,0.001180,0.000673,0.002434,22344.795479,22344.836892,22344.877571,22344.878815
0.005171,0.001240,0.000655,0.002486,22345.938700,22345.981804,22346.022974,22346.024132
0.005355,0.001263,0.000685,0.002539,22347.085882,22347.128805,22347.172067,22347.173367
0.005057,0.001249,0.000762,0.002708,22348.234987,22348.277967,22348.320911,22348.322180
0.005095,0.001373,0.000738,0.002674,22349.382169,22349.424393,22349.466245,22349.467551
0.005103,0.001167,0.000611,0.002118,22350.530275,22350.581827,22350.627118,22350.628640
0.005212,0.001250,0.000644,0.002474,22351.690186,22351.734246,22351.777092,22351.778363
0.005143,0.001224,0.000669,0.002622,22352.838659,22352.883711,22352.924884,22352.926235
0.005252,0.001286,0.000724,0.002666,22353.986200,22354.025967,22354.065393,22354.066649
0.005110,0.001245,0.000670,0.002496,22355.128377,22355.185104,22355.228634,22355.229974
0.005145,0.001350,0.000660,0.002546,22356.290925,22356.335941,22356.379139,22356.380482
0.005208,0.001207,0.000731,0.002504,22357.442226,22357.486327,22357.530133,22357.531377
0.005125,0.001172,0.000673,0.002411,22358.592419,22358.636737,22358.683913,22358.685276
0.005317,0.001307,0.000773,0.002695,22359.744759,22359.786002,22359.826916,22359.828256
0.005121,0.001263,0.000742,0.002508,22360.918099,22360.959857,22361.000289,22361.001677
0.005058,0.001195,0.000578,0.002210,22362.061983,22362.104693,22362.145464,22362.146878
0.005045,0.001172,0.000762,0.002535,22363.207648,22363.250974,22363.291869,22363.293210
0.005363,0.001226,0.000747,0.002591,22364.352297,22364.393305,22364.432474,22364.433821
0.005200,0.001190,0.000774,0.002536,22365.495077,22365.538042,22365.579864,22365.581175
0.005169,0.001279,0.000754,0.002573,22366.642975,22366.687668,22366.729419,22366.730732
0.005168,0.001303,0.000772,0.002560,22367.792622,22367.838743,22367.880153,22367.881492
0.005142,0.001230,0.000776,0.002571,22368.939495,22368.980599,22369.019693,22369.020999
0.005210,0.001391,0.000589,0.002712,22370.086480,22370.130020,22370.176251,22370.177635
0.005301,0.001269,0.000679,0.002613,22371.239725,22371.283903,22371.324903,22371.326216
0.005193,0.001246,0.000752,0.002624,22372.386211,22372.429119,22372.469738,22372.471051
0.005100,0.001303,0.000658,0.002533,22373.530040,22373.572254,22373.611611,22373.613004
0.005287,0.001196,0.000666,0.002447,22374.674418,22374.741513,22374.784435,22374.785820
0.005275,0.001204,0.000805,0.002645,22375.846404,22375.888466,22375.928328,22375.929740
0.005074,0.001171,0.000668,0.002485,22376.990520,22377.044158,22377.085573,22377.086986
0.005166,0.001246,0.000665,0.002490,22378.146874,22378.189186,22378.229176,22378.230628
0.005068,0.001361,0.000691,0.002638,22379.292853,22379.338287,22379.380764,22379.382054
0.005094,0.001206,0.000679,0.002537,22380.443067,22380.489091,22380.529384,22380.530731
0.004978,0.001304,0.000690,0.002648,22381.590287,22381.632136,22381.672623,22381.673883
0.005195,0.001262,0.000680,0.002557,22382.734489,22382.777338,22382.818566,22382.819961
