DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.003928,0.003335,0.000749,0.005648,25438.631761,25438.901225,25439.056146,25439.057689
0.003819,0.004621,0.000576,0.006005,25440.120997,25440.394512,25440.557855,25440.559325
0.004080,0.003587,0.000777,0.005985,25441.627267,25441.901166,25442.069411,25442.070989
0.004627,0.003996,0.000809,0.006017,25443.138726,25443.412641,25443.581526,25443.583095
0.004864,0.004577,0.000802,0.005950,25444.651074,25444.935600,25445.142886,25445.144437
0.003930,0.003777,0.000758,0.005900,25446.211841,25446.489865,25446.656549,25446.658022
0.004043,0.003431,0.000799,0.006075,25447.723187,25448.001713,25448.157404,25448.158892
0.003975,0.003676,0.000912,0.005995,25449.226804,25449.504598,25449.671381,25449.672675
0.004302,0.003622,0.000802,0.005902,25450.739192,25451.013562,25451.177712,25451.179182
0.004453,0.003966,0.001043,0.005962,25452.246684,25452.519243,25452.724003,25452.725556
0.005097,0.003526,0.000581,0.005575,25453.794616,25454.073690,25454.236457,25454.237860
0.004217,0.003546,0.000832,0.005952,25455.305661,25455.582424,25455.742430,25455.743748
0.003960,0.003626,0.000612,0.005459,25456.810598,25457.089149,25457.253093,25457.254507
0.004375,0.003573,0.000849,0.006018,25458.322507,25458.597426,25458.767340,25458.768742
0.003915,0.003601,0.000764,0.005938,25459.836341,25460.109321,25460.279663,25460.281161
0.004098,0.003623,0.000831,0.005948,25461.346060,25461.625142,25461.782970,25461.784538
0.004265,0.003546,0.000835,0.005861,25462.852671,25463.128249,25463.339360,25463.340858
0.006505,0.003535,0.003030,0.007911,25464.410112,25464.682386,25464.888311,25464.889732
0.004561,0.003505,0.000585,0.005659,25465.957895,25466.232704,25466.400865,25466.402391
0.004091,0.003568,0.000795,0.005850,25467.466767,25467.737503,25467.891006,25467.892398
0.003950,0.003495,0.000557,0.005415,25468.989162,25469.262216,25469.344423,25469.345827
0.003916,0.004220,0.000752,0.005829,25470.413311,25470.687631,25470.772930,25470.774393
0.004405,0.003528,0.001003,0.006066,25471.843611,25472.120234,25472.208344,25472.209806
0.003855,0.003613,0.000837,0.005957,25473.275865,25473.551397,25473.640833,25473.642356
0.004002,0.003516,0.000855,0.005865,25474.707686,25474.981547,25475.062354,25475.063781
0.003999,0.003569,0.000771,0.005915,25476.130765,25476.403514,25476.486145,25476.487655
0.003975,0.000573,0.000580,0.002537,25477.554542,25477.837672,25477.921037,25477.922518
0.004092,0.003731,0.000804,0.005823,25478.988904,25479.262814,25479.346886,25479.348264
0.003940,0.003833,0.000768,0.005844,25480.414842,25480.687556,25480.770339,25480.771870
0.004156,0.003708,0.000833,0.006052,25481.838868,25482.113050,25482.197400,25482.198788
0.004202,0.003598,0.000906,0.006086,25483.265196,25483.541094,25483.622941,25483.624555
0.003928,0.003612,0.000594,0.005558,25484.692559,25484.966844,25485.052829,25485.054258
0.002705,0.003578,0.000563,0.005490,25486.121038,25486.394697,25486.477804,25486.479284
0.004375,0.003511,0.000816,0.005860,25487.548580,25487.825123,25487.913400,25487.914769
0.004078,0.003615,0.000931,0.005991,25488.980480,25489.250896,25489.331731,25489.333295
0.004866,0.003501,0.000875,0.005966,25490.400292,25490.676962,25490.759922,25490.761379
0.004238,0.004472,0.000807,0.005844,25491.828479,25492.104181,25492.188909,25492.190365
0.003929,0.003633,0.000608,0.005707,25493.254916,25493.527192,25493.605120,25493.606666
0.003961,0.003524,0.000798,0.005873,25494.671716,25494.942109,25495.022244,25495.023782
0.003962,0.003715,0.000771,0.005891,25496.091126,25496.364936,25496.450230,25496.451627
0.004727,0.003455,0.000821,0.005698,25497.549439,25497.824496,25497.869015,25497.870485
0.003947,0.003488,0.000635,0.005416,25498.937268,25499.213204,25499.255150,25499.256781
0.004139,0.003516,0.000841,0.005867,25500.324323,25500.602849,25500.646130,25500.647605
0.004234,0.003630,0.000803,0.005863,25501.716213,25501.990402,25502.035123,25502.036670
0.003922,0.001258,0.000804,0.002959,25503.104495,25503.392048,25503.436198,25503.437718
0.004410,0.004106,0.000879,0.005996,25504.503733,25504.775853,25504.818109,25504.819613
0.003972,0.003561,0.000545,0.005577,25505.887363,25506.165050,25506.207409,25506.208890
