DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.003701,0.002517,0.000631,0.005101,27316.487717,27316.550041,27317.525162,27317.526270
0.005330,0.003181,0.000734,0.004941,27318.602742,27318.672832,27319.599397,27319.600402
0.006441,0.003510,0.000713,0.004538,27320.677120,27320.739844,27321.657083,27321.658136
0.003875,0.001543,0.000783,0.003498,27322.734973,27322.797645,27323.755750,27323.756769
0.006181,0.002756,0.000668,0.005001,27324.833930,27324.895176,27325.819653,27325.820681
0.006090,0.002427,0.000675,0.004794,27326.899824,27326.965027,27327.964666,27327.965723
0.004514,0.001914,0.000741,0.003549,27329.042991,27329.105204,27330.035586,27330.036633
0.006130,0.002030,0.000744,0.003951,27331.113796,27331.175930,27332.115515,27332.116548
0.006488,0.001091,0.000628,0.003310,27333.194850,27333.268793,27334.243681,27334.244684
0.006046,0.000972,0.000710,0.004765,27335.321031,27335.381938,27336.319920,27336.320921
0.006118,0.002233,0.000702,0.004661,27337.397661,27337.460694,27338.429276,27338.430275
0.004710,0.003016,0.000750,0.004719,27339.507185,27339.570528,27340.578366,27340.579322
0.003649,0.002991,0.000754,0.004810,27341.655644,27341.721094,27342.668545,27342.669558
0.005558,0.002863,0.000634,0.004579,27343.745694,27343.808515,27344.705484,27344.706464
0.009351,0.013628,0.004101,0.019107,27345.785139,27345.844494,27346.770305,27346.771289
0.007371,0.001514,0.000747,0.003123,27347.848998,27347.917401,27348.901452,27348.902433
0.005071,0.003855,0.000612,0.004923,27349.979893,27350.047712,27350.953210,27350.954233
0.003843,0.000852,0.000818,0.003268,27352.031567,27352.102387,27353.093606,27353.094598
0.005385,0.012349,0.000698,0.015719,27354.170967,27354.231886,27355.150439,27355.151436
0.007222,0.002354,0.000748,0.004421,27356.227656,27356.288347,27357.187116,27357.188143
0.007149,0.001701,0.000820,0.003719,27358.297515,27358.358723,27358.807936,27358.809485
0.005517,0.002364,0.000734,0.004730,27359.886780,27359.951742,27360.419565,27360.421088
0.005683,0.002951,0.000628,0.004738,27361.497262,27361.558885,27362.005489,27362.007060
0.004028,0.002415,0.000643,0.003554,27363.086941,27363.151789,27363.630385,27363.631867
0.006707,0.002787,0.000651,0.004367,27364.708510,27364.770521,27365.212088,27365.213670
0.004256,0.004611,0.000847,0.005859,27366.290696,27366.354129,27366.796913,27366.798521
0.004252,0.001630,0.000786,0.003391,27367.875122,27367.941199,27368.336825,27368.338397
0.003925,0.001436,0.000880,0.003971,27369.415588,27369.481188,27369.955528,27369.957015
0.005541,0.000799,0.000740,0.002690,27371.034167,27371.095244,27371.529997,27371.531560
0.006843,0.001789,0.000743,0.003907,27372.610681,27372.666967,27373.124999,27373.126333
