DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001046,0.000000,0.000000,0.000000,15463.553206,15463.928338,15464.254241,15464.255865
0.001252,0.000000,0.000000,0.000000,15465.436409,15465.479375,15465.763482,15465.765066
0.001343,0.000000,0.000000,0.000000,15466.948316,15466.990666,15467.280706,15467.282305
0.001179,0.000000,0.000000,0.000000,15468.472472,15468.520607,15468.807221,15468.808262
0.001160,0.000000,0.000000,0.000000,15469.985444,15470.026969,15470.348487,15470.350094
0.001133,0.000000,0.000000,0.000000,15471.533130,15471.574739,15471.858841,15471.860541
0.001157,0.000000,0.000000,0.000000,15473.044133,15473.087198,15473.422177,15473.423688
0.001109,0.000000,0.000000,0.000000,15474.610863,15474.654217,15474.949702,15474.951379
0.001129,0.000000,0.000000,0.000000,15476.127478,15476.169565,15476.498242,15476.499818
0.001128,0.000000,0.000000,0.000000,15477.681141,15477.723587,15478.015245,15478.016820
0.001102,0.000000,0.000000,0.000000,15479.198426,15479.240850,15479.530480,15479.532030
0.001197,0.000000,0.000000,0.000000,15480.719241,15480.762094,15481.092594,15481.094180
0.001109,0.000000,0.000000,0.000000,15482.278175,15482.326282,15482.638275,15482.639801
0.001253,0.000000,0.000000,0.000000,15483.813332,15483.857049,15484.184194,15484.185801
0.001121,0.000000,0.000000,0.000000,15485.363827,15485.406645,15485.739421,15485.741025
0.001143,0.000000,0.000000,0.000000,15486.932614,15486.979482,15487.271207,15487.272771
0.001160,0.000000,0.000000,0.000000,15488.462947,15488.507327,15488.806398,15488.807865
0.001163,0.000000,0.000000,0.000000,15489.995485,15490.037227,15490.321799,15490.323350
0.001111,0.000000,0.000000,0.000000,15491.511680,15491.555205,15491.853778,15491.854809
0.001158,0.000000,0.000000,0.000000,15493.049847,15493.094134,15493.436566,15493.438095
0.000811,0.000000,0.000000,0.000000,15494.661125,15494.702699,15494.827069,15494.828670
0.001340,0.000000,0.000000,0.000000,15496.014522,15496.057861,15496.187332,15496.188943
0.001148,0.000000,0.000000,0.000000,15497.375361,15497.453812,15497.583853,15497.585472
0.001102,0.000000,0.000000,0.000000,15498.768870,15498.810802,15498.935556,15498.937231
0.001154,0.000000,0.000000,0.000000,15500.128570,15500.171233,15500.298845,15500.300441
0.001130,0.000000,0.000000,0.000000,15501.476979,15501.519046,15501.643563,15501.645126
0.001229,0.000000,0.000000,0.000000,15502.831312,15502.875523,15503.006449,15503.008048
0.001121,0.000000,0.000000,0.000000,15504.259531,15504.327225,15504.524342,15504.525920
0.001185,0.000000,0.000000,0.000000,15505.783224,15505.829452,15506.035444,15506.036964
0.001146,0.000000,0.000000,0.000000,15507.296262,15507.339998,15507.469625,15507.471149
0.001172,0.000000,0.000000,0.000000,15508.648843,15508.689310,15508.808508,15508.810017
