DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.000929,0.000000,0.000000,0.000000,22635.148962,22635.537479,22635.665649,22635.667237
0.001046,0.000000,0.000000,0.000000,22636.849837,22636.889483,22637.007658,22637.008808
0.001145,0.000000,0.000000,0.000000,22638.181753,22638.223571,22638.347237,22638.348856
0.001163,0.000000,0.000000,0.000000,22639.539481,22639.581586,22639.705983,22639.707502
0.001092,0.000000,0.000000,0.000000,22640.884459,22640.926798,22641.049732,22641.051401
0.001085,0.000000,0.000000,0.000000,22642.250224,22642.291934,22642.414332,22642.415874
0.001105,0.000000,0.000000,0.000000,22643.616388,22643.659569,22643.788372,22643.789903
0.001027,0.000000,0.000000,0.000000,22644.974209,22645.020277,22645.138670,22645.140384
0.001094,0.000000,0.000000,0.000000,22646.319847,22646.363747,22646.493731,22646.494846
0.001064,0.000000,0.000000,0.000000,22647.689644,22647.732753,22647.860206,22647.861906
0.001115,0.000000,0.000000,0.000000,22649.047860,22649.090568,22649.214562,22649.216216
0.001110,0.000000,0.000000,0.000000,22650.391074,22650.433161,22650.558262,22650.559897
0.001130,0.000000,0.000000,0.000000,22651.745174,22651.800525,22651.923680,22651.925284
0.001119,0.000000,0.000000,0.000000,22653.109300,22653.163144,22653.280224,22653.281946
0.001067,0.000000,0.000000,0.000000,22654.457430,22654.502158,22654.630334,22654.631950
0.001110,0.000000,0.000000,0.000000,22655.811810,22655.855206,22655.980346,22655.981864
0.001151,0.000000,0.000000,0.000000,22657.160682,22657.204148,22657.332316,22657.333853
0.001158,0.000000,0.000000,0.000000,22658.510000,22658.549472,22658.666849,22658.668470
0.001078,0.000000,0.000000,0.000000,22659.840833,22659.882175,22660.001497,22660.003100
0.001134,0.000000,0.000000,0.000000,22661.187916,22661.230757,22661.359079,22661.360696
0.000802,0.000000,0.000000,0.000000,22662.579180,22662.621461,22662.665554,22662.667006
0.001072,0.000000,0.000000,0.000000,22663.858983,22663.904194,22663.949686,22663.951288
0.001071,0.000000,0.000000,0.000000,22665.140404,22665.181901,22665.225373,22665.226947
0.001044,0.000000,0.000000,0.000000,22666.409741,22666.453221,22666.497662,22666.499290
0.001121,0.000000,0.000000,0.000000,22667.682701,22667.726644,22667.772835,22667.774393
0.001093,0.000000,0.000000,0.000000,22668.966973,22669.010499,22669.055919,22669.057597
0.001119,0.000000,0.000000,0.000000,22670.247659,22670.291306,22670.336755,22670.338313
0.001112,0.000000,0.000000,0.000000,22671.517853,22671.558561,22671.600060,22671.601706
0.001052,0.000000,0.000000,0.000000,22672.783184,22672.826304,22672.870727,22672.872471
0.001061,0.000000,0.000000,0.000000,22674.057974,22674.102800,22674.148346,22674.149917
0.001116,0.000000,0.000000,0.000000,22675.335814,22675.375828,22675.416842,22675.418437
0.001059,0.000000,0.000000,0.000000,22676.593257,22676.637491,22676.683043,22676.684700
0.001075,0.000000,0.000000,0.000000,22677.867925,22677.910122,22677.953899,22677.955301
0.001152,0.000000,0.000000,0.000000,22679.133322,22679.178184,22679.223999,22679.225575
0.001154,0.000000,0.000000,0.000000,22680.416644,22680.458353,22680.501664,22680.503240
0.001055,0.000000,0.000000,0.000000,22681.686841,22681.727665,22681.770462,22681.772152
0.001035,0.000000,0.000000,0.000000,22682.955863,22682.997463,22683.041389,22683.042860
0.001048,0.000000,0.000000,0.000000,22684.217478,22684.260369,22684.303702,22684.305335
0.001117,0.000000,0.000000,0.000000,22685.493762,22685.537473,22685.582067,22685.583666
0.001161,0.000000,0.000000,0.000000,22686.761586,22686.803759,22686.847310,22686.848932
0.001051,0.000000,0.000000,0.000000,22688.063410,22688.107116,22688.148584,22688.150213
0.001117,0.000000,0.000000,0.000000,22689.333273,22689.375779,22689.415719,22689.417251
0.001074,0.000000,0.000000,0.000000,22690.608413,22690.650832,22690.691184,22690.692806
0.001116,0.000000,0.000000,0.000000,22691.874659,22691.917123,22691.957736,22691.959242
0.001053,0.000000,0.000000,0.000000,22693.142452,22693.206662,22693.247792,22693.249303
0.001083,0.000000,0.000000,0.000000,22694.438055,22694.480351,22694.520103,22694.521687
0.001085,0.000000,0.000000,0.000000,22695.710354,22695.751929,22695.790913,22695.792594
0.001161,0.000000,0.000000,0.000000,22696.975297,22697.017764,22697.057523,22697.058963
0.001268,0.000000,0.000000,0.000000,22698.248545,22698.291208,22698.331808,22698.333481
0.001144,0.000000,0.000000,0.000000,22699.518581,22699.561323,22699.601964,22699.603476
0.001185,0.000000,0.000000,0.000000,22700.785195,22700.828233,22700.868762,22700.870265
0.001130,0.000000,0.000000,0.000000,22702.056612,22702.099180,22702.138289,22702.140076
0.001063,0.000000,0.000000,0.000000,22703.315907,22703.359160,22703.399332,22703.401013
0.001121,0.000000,0.000000,0.000000,22704.579482,22704.621567,22704.662535,22704.664228
0.001067,0.000000,0.000000,0.000000,22705.845491,22705.887876,22705.927975,22705.929625
0.004597,0.000000,0.000000,0.000000,22707.112832,22707.154888,22707.194262,22707.195947
0.001241,0.000000,0.000000,0.000000,22708.381154,22708.430537,22708.472191,22708.473957
0.001295,0.000000,0.000000,0.000000,22709.668295,22709.712914,22709.754171,22709.755629
0.001113,0.000000,0.000000,0.000000,22710.942679,22710.984955,22711.024080,22711.025804
0.001106,0.000000,0.000000,0.000000,22712.202106,22712.245347,22712.286496,22712.288129
0.000984,0.000000,0.000000,0.000000,22713.505587,22713.547345,22713.587021,22713.588691
0.001192,0.000000,0.000000,0.000000,22714.772937,22714.817569,22714.858239,22714.859834
0.001105,0.000000,0.000000,0.000000,22716.037526,22716.081342,22716.122227,22716.123742
0.001132,0.000000,0.000000,0.000000,22717.302756,22717.346209,22717.385895,22717.387541
0.001145,0.000000,0.000000,0.000000,22718.573177,22718.619419,22718.661676,22718.663258
0.001108,0.000000,0.000000,0.000000,22719.849403,22719.894000,22719.934431,22719.936176
0.001095,0.000000,0.000000,0.000000,22721.116840,22721.160489,22721.200427,22721.202062
0.001088,0.000000,0.000000,0.000000,22722.385383,22722.428758,22722.470237,22722.471858
0.001095,0.000000,0.000000,0.000000,22723.664575,22723.707378,22723.748498,22723.750063
0.001027,0.000000,0.000000,0.000000,22724.930557,22724.972881,22725.012244,22725.013875
0.001146,0.000000,0.000000,0.000000,22726.186674,22726.227909,22726.266852,22726.268576
0.001097,0.000000,0.000000,0.000000,22727.455612,22727.500062,22727.540953,22727.542559
0.001109,0.000000,0.000000,0.000000,22728.722306,22728.764570,22728.804822,22728.806362
0.001064,0.000000,0.000000,0.000000,22729.984327,22730.028396,22730.068499,22730.069728
0.001120,0.000000,0.000000,0.000000,22731.252768,22731.305379,22731.346700,22731.348283
0.001118,0.000000,0.000000,0.000000,22732.535471,22732.577953,22732.618960,22732.620553
0.001049,0.000000,0.000000,0.000000,22733.794955,22733.835474,22733.874003,22733.875678
0.001211,0.000000,0.000000,0.000000,22735.066616,22735.107069,22735.145491,22735.147339
0.001087,0.000000,0.000000,0.000000,22736.329053,22736.371424,22736.411344,22736.413077
0.001120,0.000000,0.000000,0.000000,22737.596357,22737.636316,22737.674755,22737.676534
0.000849,0.000000,0.000000,0.000000,22738.886029,22738.927647,22738.966147,22738.967710
0.001086,0.000000,0.000000,0.000000,22740.153827,22740.196293,22740.235532,22740.237259
0.001103,0.000000,0.000000,0.000000,22741.419278,22741.461752,22741.501605,22741.503169
0.001142,0.000000,0.000000,0.000000,22742.684214,22742.731580,22742.769887,22742.771658
0.001170,0.000000,0.000000,0.000000,22744.019008,22744.061937,22744.102579,22744.104160
0.001529,0.000000,0.000000,0.000000,22745.294571,22745.336626,22745.377102,22745.378629
0.001164,0.000000,0.000000,0.000000,22746.565124,22746.608800,22746.650252,22746.651733
0.001128,0.000000,0.000000,0.000000,22747.845522,22747.889836,22747.931891,22747.933501
0.001176,0.000000,0.000000,0.000000,22749.132012,22749.173184,22749.212807,22749.214329
0.001101,0.000000,0.000000,0.000000,22750.405597,22750.451442,22750.495194,22750.496643
0.001092,0.000000,0.000000,0.000000,22751.715000,22751.793961,22751.843781,22751.845447
0.001096,0.000000,0.000000,0.000000,22753.077634,22753.152054,22753.214508,22753.215950
0.001154,0.000000,0.000000,0.000000,22754.508061,22754.577692,22754.644624,22754.646198
0.001105,0.000000,0.000000,0.000000,22755.867503,22755.908116,22755.946690,22755.948335
0.001137,0.000000,0.000000,0.000000,22757.122986,22757.182603,22757.224093,22757.225678
0.001155,0.000000,0.000000,0.000000,22758.419742,22758.463054,22758.504638,22758.506151
0.001153,0.000000,0.000000,0.000000,22759.696478,22759.742740,22759.782417,22759.784033
0.001146,0.000000,0.000000,0.000000,22760.960264,22761.003457,22761.044700,22761.046359
0.001165,0.000000,0.000000,0.000000,22762.228869,22762.274133,22762.312811,22762.314445
0.001273,0.000000,0.000000,0.000000,22763.498665,22763.539195,22763.577347,22763.578991
0.000889,0.000000,0.000000,0.000000,22764.794307,22764.835847,22764.874369,22764.876034
0.001085,0.000000,0.000000,0.000000,22766.055288,22766.097395,22766.137312,22766.138901
0.001097,0.000000,0.000000,0.000000,22767.348905,22767.390582,22767.430110,22767.431738
0.001167,0.000000,0.000000,0.000000,22768.615670,22768.657851,22768.697515,22768.699144
0.001069,0.000000,0.000000,0.000000,22769.888821,22769.930355,22769.969779,22769.971318
0.001157,0.000000,0.000000,0.000000,22771.154561,22771.197955,22771.239112,22771.240776
0.001070,0.000000,0.000000,0.000000,22772.426179,22772.469807,22772.511304,22772.512883
0.001374,0.000000,0.000000,0.000000,22773.692988,22773.736894,22773.778373,22773.779946
0.001138,0.000000,0.000000,0.000000,22774.960442,22775.002899,22775.043568,22775.045236
0.001181,0.000000,0.000000,0.000000,22776.238124,22776.281760,22776.323293,22776.324754
0.001046,0.000000,0.000000,0.000000,22777.504813,22777.549705,22777.590966,22777.592622
0.001183,0.000000,0.000000,0.000000,22778.783881,22778.826165,22778.867944,22778.869467
0.001143,0.000000,0.000000,0.000000,22780.063788,22780.105650,22780.145366,22780.147052
0.001125,0.000000,0.000000,0.000000,22781.334293,22781.375490,22781.415062,22781.416738
0.001200,0.000000,0.000000,0.000000,22782.606656,22782.651929,22782.693327,22782.694957
0.001158,0.000000,0.000000,0.000000,22783.888908,22783.930138,22783.969343,22783.970931
0.001139,0.000000,0.000000,0.000000,22785.148298,22785.190373,22785.230318,22785.231781
0.001127,0.000000,0.000000,0.000000,22786.425993,22786.468667,22786.509099,22786.510443
0.001163,0.000000,0.000000,0.000000,22787.698751,22787.740305,22787.780152,22787.781758
0.001149,0.000000,0.000000,0.000000,22788.969596,22789.012745,22789.053742,22789.055271
0.000958,0.000000,0.000000,0.000000,22790.265947,22790.309157,22790.349118,22790.350681
0.001115,0.000000,0.000000,0.000000,22791.532994,22791.575867,22791.616495,22791.618044
0.001101,0.000000,0.000000,0.000000,22792.798482,22792.838715,22792.877513,22792.879232
0.001090,0.000000,0.000000,0.000000,22794.064668,22794.106152,22794.146252,22794.147480
0.001156,0.000000,0.000000,0.000000,22795.333445,22795.376371,22795.417375,22795.418871
0.001168,0.000000,0.000000,0.000000,22796.608707,22796.648741,22796.686577,22796.688455
0.001096,0.000000,0.000000,0.000000,22797.859633,22797.901500,22797.941441,22797.943047
0.001185,0.000000,0.000000,0.000000,22799.129164,22799.171103,22799.210618,22799.212278
0.001207,0.000000,0.000000,0.000000,22800.397334,22800.441377,22800.483612,22800.485201
0.001160,0.000000,0.000000,0.000000,22801.677150,22801.721205,22801.763108,22801.764822
0.001096,0.000000,0.000000,0.000000,22802.950297,22803.000619,22803.039354,22803.041100
0.001085,0.000000,0.000000,0.000000,22804.252104,22804.295240,22804.336097,22804.337785
0.001059,0.000000,0.000000,0.000000,22805.523947,22805.564532,22805.602925,22805.604696
0.001066,0.000000,0.000000,0.000000,22806.786401,22806.837235,22806.876522,22806.878206
0.001058,0.000000,0.000000,0.000000,22808.054851,22808.097810,22808.139038,22808.140688
0.002107,0.000000,0.000000,0.000000,22809.326611,22809.365366,22809.402754,22809.404215
0.001237,0.000000,0.000000,0.000000,22810.577772,22810.621220,22810.661758,22810.663355
0.001135,0.000000,0.000000,0.000000,22811.852470,22811.895223,22811.935754,22811.937431
0.001188,0.000000,0.000000,0.000000,22813.120488,22813.165521,22813.207629,22813.209143
0.001105,0.000000,0.000000,0.000000,22814.404783,22814.448114,22814.490305,22814.491909
