DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.000881,0.000000,0.000000,0.000000,26123.486112,26123.527394,26123.929090,26123.930716
0.001187,0.000000,0.000000,0.000000,26125.112176,26125.153088,26125.545186,26125.546714
0.001134,0.000000,0.000000,0.000000,26126.721576,26126.763968,26127.184724,26127.186077
0.001177,0.000000,0.000000,0.000000,26128.367778,26128.410034,26128.809915,26128.811435
0.001177,0.000000,0.000000,0.000000,26129.994273,26130.038098,26130.435829,26130.437487
0.001087,0.000000,0.000000,0.000000,26131.620712,26131.660867,26132.050119,26132.051677
0.001358,0.000000,0.000000,0.000000,26133.222784,26133.268984,26133.655585,26133.657107
0.001291,0.000000,0.000000,0.000000,26134.835284,26134.876153,26135.273761,26135.275182
0.001095,0.000000,0.000000,0.000000,26136.449642,26136.493412,26136.900321,26136.901838
0.001081,0.000000,0.000000,0.000000,26138.102740,26138.144815,26138.539274,26138.540929
0.001145,0.000000,0.000000,0.000000,26139.722684,26139.764319,26140.160905,26140.162534
0.001102,0.000000,0.000000,0.000000,26141.342498,26141.385441,26141.782568,26141.784247
0.001202,0.000000,0.000000,0.000000,26142.971010,26143.014860,26143.412971,26143.414475
0.001152,0.000000,0.000000,0.000000,26144.602534,26144.646615,26145.081557,26145.082944
0.001108,0.000000,0.000000,0.000000,26146.275090,26146.318236,26146.723188,26146.725352
0.001305,0.000000,0.000000,0.000000,26147.921014,26147.964637,26148.358247,26148.359770
0.001141,0.000000,0.000000,0.000000,26149.547825,26149.589323,26149.993224,26149.994807
0.001096,0.000000,0.000000,0.000000,26151.169825,26151.211811,26151.606350,26151.607895
0.001202,0.000000,0.000000,0.000000,26152.780239,26152.832632,26153.239940,26153.241571
0.001126,0.000000,0.000000,0.000000,26154.425936,26154.469103,26154.882100,26154.883638
0.000841,0.000000,0.000000,0.000000,26156.108443,26156.156816,26156.475802,26156.477401
0.001168,0.000000,0.000000,0.000000,26157.664328,26157.707614,26158.026446,26158.028066
0.001111,0.000000,0.000000,0.000000,26159.212078,26159.255191,26159.565446,26159.567059
0.001158,0.000000,0.000000,0.000000,26160.743462,26160.785376,26161.095426,26161.096952
0.001126,0.000000,0.000000,0.000000,26162.276398,26162.316682,26162.629103,26162.630735
0.001165,0.000000,0.000000,0.000000,26163.808246,26163.851368,26164.167389,26164.169004
0.001091,0.000000,0.000000,0.000000,26165.360117,26165.404602,26165.724980,26165.726464
0.001207,0.000000,0.000000,0.000000,26166.913222,26166.962389,26167.277343,26167.278826
0.001162,0.000000,0.000000,0.000000,26168.460234,26168.502191,26168.820571,26168.822089
0.001306,0.000000,0.000000,0.000000,26170.009013,26170.050507,26170.396148,26170.397514
0.001120,0.000000,0.000000,0.000000,26171.572955,26171.612509,26171.922092,26171.923542
0.001144,0.000000,0.000000,0.000000,26173.100481,26173.141907,26173.503077,26173.504436
0.001177,0.000000,0.000000,0.000000,26174.685321,26174.728049,26175.044676,26175.046167
0.001208,0.000000,0.000000,0.000000,26176.241590,26176.285256,26176.609301,26176.610837
0.001211,0.000000,0.000000,0.000000,26177.794598,26177.837728,26178.150698,26178.152321
0.001128,0.000000,0.000000,0.000000,26179.327689,26179.368097,26179.681161,26179.682674
0.001239,0.000000,0.000000,0.000000,26180.854404,26180.896826,26181.226530,26181.227842
