DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.010757,0.001743,0.005824,0.009217,1741549.855863,1741550.660240,1741550.687981,1741550.689976
0.006093,0.001040,0.001131,0.003143,1741559.279476,1741559.488910,1741559.690989,1741559.692257
0.006740,0.001588,0.001167,0.004050,1741563.054717,1741563.261435,1741563.465570,1741563.467439
0.005181,0.009752,0.001032,0.012339,1741568.798543,1741568.981836,1741569.163018,1741569.164500
0.004357,0.002620,0.000918,0.005051,1741572.543024,1741572.735480,1741572.922153,1741572.923472
0.009559,0.020903,0.004487,0.021321,1741579.977384,1741580.166586,1741580.351053,1741580.352508
0.000932,0.005223,0.005164,1.002657,488.032184,488.261877,488.410758,488.412311
0.001608,0.006218,0.005448,1.004545,491.435897,491.510709,491.585683,491.586720
0.001374,0.005951,0.005307,1.004621,512.064635,512.147590,512.229855,512.231386
0.001274,0.006034,0.005611,1.004267,514.252983,514.339220,514.425500,514.427057
0.001240,0.006033,0.005705,1.004298,516.449332,516.535370,516.621226,516.622766
0.001410,0.006584,0.005690,1.004975,518.644393,518.733221,518.820402,518.821951
0.001495,0.008828,0.005620,1.007232,520.845695,520.931864,521.018217,521.019789
0.001216,0.006342,0.005200,1.004675,523.041163,523.129828,523.219277,523.220882
0.001354,0.005898,0.005627,1.004358,525.241807,525.327883,525.414082,525.415678
0.001226,0.007650,0.005645,1.005929,527.438528,527.529838,527.619572,527.621046
0.001249,0.006161,0.005951,1.004527,529.642276,529.731566,529.821228,529.822800
0.001432,0.006434,0.010268,1.004867,531.844310,531.927283,532.089032,532.090599
0.001530,0.006260,0.005848,1.004733,534.111786,534.200996,534.376082,534.377637
0.001585,0.006401,0.005798,1.004820,536.399072,536.484770,536.654201,536.655815
0.000973,0.006270,0.083609,1.004551,538.677319,538.763372,538.931032,538.932623
0.001382,0.009216,0.007131,1.007618,540.957527,541.040831,541.122606,541.124224
0.001344,0.006370,0.005809,1.004692,543.145668,543.267191,543.357239,543.358766
0.001223,0.005941,0.005887,1.004276,545.380081,545.470111,545.559809,545.561369
0.001506,0.006250,0.005912,1.004650,547.582562,547.663517,547.744711,547.746145
0.001768,0.012910,0.006504,1.011337,549.774074,549.861131,549.947727,549.949252
0.001377,0.006183,0.005947,1.004575,551.970595,552.059719,552.149624,552.151076
0.001370,0.006360,0.006710,1.004604,554.172582,554.257757,554.343420,554.344984
0.001319,0.006638,0.006309,1.005128,556.394607,556.476508,556.556629,556.558230
0.001338,0.006124,0.006637,1.004386,558.580822,558.777407,558.779762,558.780822
0.001341,0.006037,0.005702,1.004415,560.801935,560.888224,560.973202,560.974775
0.001377,0.006414,0.005665,1.004719,562.996254,563.082442,563.166614,563.168175
0.001377,0.006345,0.005631,1.004781,565.189550,565.276555,565.361411,565.362956
0.001143,0.006063,0.005898,1.004315,567.384274,567.473573,567.561726,567.563269
0.001095,0.006285,0.006228,1.004640,569.585472,569.671014,569.755082,569.756624
0.001452,0.006154,0.006979,1.004558,571.777726,571.864668,571.949494,571.951034
0.001076,0.006151,0.011599,1.004485,573.973022,574.057340,574.140691,574.142236
0.001317,0.006350,0.005832,1.004721,576.164219,576.252649,576.335915,576.337482
0.001476,0.006050,0.005724,1.004394,578.358669,578.444426,578.528854,578.530406
0.001362,0.007621,0.005829,1.005904,580.553788,580.643133,580.730724,580.732276
0.001400,0.006348,0.005833,1.004649,582.753897,582.843195,582.931057,582.932572
