DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001092,0.005874,0.005800,1.004116,5608.271797,5608.358605,5608.443257,5608.444352
0.001307,0.005791,0.005359,1.004014,5610.464498,5610.546009,5610.625350,5610.626169
0.001906,0.005797,0.006832,1.004232,5612.646350,5612.732868,5612.817444,5612.818606
0.001136,0.006690,0.006393,1.005037,5614.839331,5614.925203,5615.009227,5615.010327
0.001325,0.006601,0.006339,1.005020,5617.030993,5617.153156,5617.241926,5617.242986
0.001253,0.007255,0.008209,1.005538,5619.264524,5619.346899,5619.426467,5619.427244
0.001290,0.006761,0.006488,1.005074,5621.448251,5621.533803,5621.617843,5621.618942
0.001170,0.007022,0.006392,1.005340,5623.641292,5623.731761,5623.819126,5623.820339
0.001397,0.006745,0.006824,1.004987,5625.841224,5625.927520,5626.011915,5626.013027
0.001175,0.006846,0.006275,1.005245,5628.033860,5628.132954,5628.217098,5628.218161
0.001068,0.007058,0.006380,1.005439,5630.239387,5630.333071,5630.418266,5630.419456
0.001062,0.006291,0.006135,1.004551,5632.439863,5632.526855,5632.611895,5632.613115
0.001261,0.006331,0.006332,1.004665,5634.634445,5634.714588,5634.791991,5634.792837
0.001180,0.006917,0.006536,1.005324,5636.813803,5636.906542,5636.994180,5636.995187
0.001137,0.007276,0.006049,1.005569,5639.016683,5639.102888,5639.186792,5639.187871
0.001203,0.006280,0.006859,1.004672,5641.208655,5641.398037,5641.400362,5641.401101
0.001871,0.006552,0.006684,1.004871,5643.421642,5643.503723,5643.583904,5643.584699
0.001347,0.006702,0.006335,1.005100,5645.606394,5645.701331,5645.783780,5645.785004
0.001424,0.006769,0.006518,1.005234,5647.806080,5647.892332,5647.976661,5647.977806
0.001440,0.005871,0.007197,1.004273,5649.997800,5650.082786,5650.166208,5650.167268
0.001563,0.006667,0.006906,1.005006,5652.217102,5652.299132,5652.379392,5652.380297
