DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001043,0.008009,1.012230,1.009904,8988.677346,8988.772409,8989.576708,8989.577705
0.001246,0.007943,1.011911,1.009386,8991.613141,8991.715999,8992.586836,8992.587843
0.001180,0.007506,1.011523,1.009025,8994.622389,8994.721934,8995.734075,8995.735093
0.000856,0.007905,1.011798,1.009287,8997.769961,8997.868346,8998.723462,8998.724488
0.000903,0.007574,1.011543,1.009040,9000.759419,9000.859866,9001.736773,9001.737724
0.001093,0.007502,1.011595,1.009183,9003.772285,9003.869969,9004.714779,9004.715740
0.000770,0.007699,1.011551,1.009109,9006.750524,9006.848757,9007.697167,9007.698151
0.000913,0.009333,1.013197,1.010725,9009.734241,9009.831810,9010.674476,9010.675612
0.000855,0.007668,1.011553,1.009117,9012.710075,9012.799597,9013.563801,9013.564794
0.001100,0.007585,1.011428,1.009218,9015.599087,9015.697761,9016.548386,9016.549492
0.001053,0.008113,1.012135,1.009850,9018.585061,9018.683853,9019.523647,9019.524671
0.001014,0.007937,1.011798,1.009491,9021.559363,9021.656347,9022.494072,9022.495037
0.001192,0.007531,1.011502,1.009330,9024.530673,9024.622848,9025.421532,9025.422507
0.000885,0.007474,1.011425,1.009009,9027.456773,9027.554072,9028.400101,9028.401067
0.001040,0.007675,1.011546,1.009134,9030.435448,9030.535199,9031.405150,9031.406147
0.000876,0.007500,1.011516,1.008972,9033.440743,9033.540686,9034.407942,9034.408951
0.001385,0.007312,1.011015,1.009208,9036.442671,9036.542688,9037.417646,9037.418628
0.000834,0.007621,1.011931,1.009425,9039.453384,9039.552428,9040.394524,9040.395495
0.000872,0.007679,1.011704,1.009210,9042.430822,9042.531908,9043.579740,9043.580810
0.001008,0.007665,1.011592,1.009347,9045.615336,9045.707933,9046.546948,9046.547948
0.000858,0.009036,1.012985,1.010685,9048.613725,9048.707056,9049.105882,9049.107049
0.001021,0.008554,1.012386,1.009913,9051.142252,9051.239951,9051.580330,9051.581540
0.002589,0.008192,1.011898,1.009431,9053.617528,9053.719587,9054.159347,9054.160527
0.000992,0.007709,1.011464,1.008889,9056.195321,9056.282745,9056.647635,9056.648856
0.001086,0.007814,1.011798,1.009483,9058.684456,9058.774154,9059.158528,9059.159733
0.001026,0.008290,1.012233,1.009862,9061.194846,9061.292070,9061.638047,9061.639193
0.000852,0.007726,1.011448,1.008896,9063.673656,9063.776042,9064.196875,9064.198056
0.000953,0.007719,1.011552,1.009093,9066.232836,9066.329238,9066.724528,9066.725788
0.000962,0.007874,1.011782,1.009382,9068.760860,9068.857774,9069.282753,9069.283965
0.000900,0.007582,1.011371,1.008838,9071.318272,9071.414599,9071.751156,9071.752418
0.000926,0.008743,1.012564,1.010154,9073.788034,9073.887826,9074.235574,9074.236743
0.001031,0.007870,1.011524,1.009202,9076.271000,9076.368635,9076.790200,9076.791376
0.001033,0.007594,1.011439,1.009074,9078.825734,9078.918457,9079.317098,9079.318239
0.000926,0.007863,1.011950,1.009583,9081.353130,9081.453319,9081.876644,9081.877801
0.000998,0.007778,1.011777,1.009352,9083.912678,9084.004835,9084.402053,9084.403175
0.000949,0.007791,1.011728,1.009043,9086.437959,9086.534530,9086.954302,9086.955504
0.000767,0.007402,1.011370,1.008907,9088.990515,9089.089936,9089.512199,9089.513378
0.001114,0.007647,1.011741,1.009356,9091.548144,9091.645443,9092.069906,9092.071041
0.000870,0.007785,1.011552,1.009048,9094.106157,9094.203905,9094.543844,9094.545017
0.001080,0.007748,1.012475,1.010308,9096.580833,9096.677183,9097.097392,9097.098534
0.000895,0.007760,1.011955,1.009560,9099.162918,9099.259028,9099.427240,9099.428940
0.000787,0.008451,1.012328,1.009855,9101.464282,9101.563948,9101.740588,9101.742149
0.000923,0.007780,1.011547,1.009097,9103.776745,9103.874917,9104.046038,9104.047658
0.000780,0.007859,1.011612,1.009170,9106.081953,9106.178677,9106.349305,9106.350856
