DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.000949,0.005118,0.002671,1.003373,12989.569964,12989.890061,12990.331903,12990.333232
0.001085,0.005023,0.002620,1.003191,12992.355083,12992.670806,12992.991711,12992.993390
0.001028,0.005239,0.002676,1.003294,12995.015633,12995.328693,12995.646764,12995.648453
0.001073,0.005312,0.003057,1.003093,12997.671123,12997.984159,12998.305883,12998.307601
0.001079,0.004886,0.002802,1.002973,13000.329763,13000.642831,13000.964053,13000.965643
0.000894,0.004914,0.002681,1.002910,13002.987338,13003.297933,13003.607258,13003.608963
0.000987,0.004974,0.002759,1.002977,13005.631279,13005.953072,13006.290457,13006.292112
0.000798,0.004800,0.002902,1.002781,13008.314116,13008.619244,13008.911615,13008.913184
0.001161,0.005158,0.002778,1.003062,13010.935637,13011.247825,13011.570788,13011.572466
0.000919,0.005092,0.002763,1.003052,13013.595115,13013.908605,13014.228765,13014.230455
0.001030,0.004734,0.002847,1.002700,13016.252524,13016.559032,13016.861062,13016.862702
0.000939,0.004974,0.002877,1.002850,13018.885314,13019.198279,13019.532285,13019.533918
0.001024,0.005096,0.002957,1.003085,13021.556209,13021.867318,13022.267789,13022.269142
0.006477,0.004966,0.008064,1.003783,13024.291229,13024.598198,13024.887169,13024.888875
0.001018,0.005518,0.002671,1.003566,13026.911212,13027.237731,13027.577414,13027.578957
0.001121,0.005216,0.002835,1.003182,13029.601689,13029.914177,13030.233734,13030.235032
0.000883,0.005233,0.002657,1.003209,13032.256844,13032.579558,13033.001557,13033.002913
0.000902,0.006124,0.002728,1.004121,13035.025771,13035.346955,13035.685220,13035.686902
0.000903,0.005052,0.002791,1.002956,13037.708718,13038.024401,13038.354961,13038.356432
0.001031,0.004815,0.002648,1.002928,13040.378792,13040.697263,13041.051098,13041.052780
0.000904,0.004858,0.002715,1.002888,13043.106110,13043.421527,13043.590547,13043.592285
0.000966,0.005020,0.002791,1.002966,13045.614826,13045.923463,13046.078343,13046.080081
0.001378,0.005034,0.002726,1.002959,13048.101865,13048.409598,13048.562958,13048.564573
0.000919,0.005150,0.002666,1.003211,13050.586760,13050.905873,13051.075506,13051.077021
0.001185,0.004874,0.002918,1.002697,13053.099430,13053.414324,13053.576041,13053.577580
0.001057,0.004753,0.002872,1.002827,13055.599452,13055.908900,13056.065418,13056.067285
0.001047,0.004946,0.002810,1.002777,13058.089253,13058.401268,13058.564489,13058.566231
0.000840,0.004870,0.003194,1.002634,13060.588572,13060.899883,13061.053287,13061.054992
0.000928,0.005005,0.002833,1.002721,13063.077018,13063.388661,13063.551123,13063.552884
0.000975,0.004973,0.002812,1.002867,13065.574972,13065.868615,13066.028350,13066.029910
0.001166,0.005051,0.002670,1.003234,13068.052208,13068.364195,13068.522779,13068.524422
0.001033,0.004786,0.002859,1.002749,13070.546114,13070.872602,13071.035098,13071.036756
0.000902,0.005454,0.002898,1.003518,13073.059285,13073.382909,13073.552369,13073.554044
0.000959,0.005185,0.003016,1.003145,13075.577265,13075.887210,13076.039821,13076.041592
0.000910,0.004956,0.002671,1.003008,13078.063396,13078.377818,13078.538000,13078.539525
0.000857,0.005106,0.002716,1.003135,13080.561696,13080.878895,13081.051169,13081.052949
0.001095,0.005428,0.003092,1.003203,13083.075194,13083.387091,13083.546676,13083.548312
0.000913,0.005013,0.002883,1.003003,13085.570501,13085.887638,13086.057567,13086.059172
0.000899,0.005287,0.003072,1.003189,13088.081479,13088.398566,13088.568386,13088.569866
0.000960,0.005094,0.002782,1.002961,13090.592155,13090.898886,13091.046063,13091.047543
0.001119,0.005007,0.002801,1.003101,13093.100655,13093.415035,13093.497875,13093.499422
0.001503,0.005010,0.002782,1.003579,13095.521303,13095.830921,13095.910248,13095.911776
0.000986,0.005826,0.002982,1.003798,13097.934564,13098.252471,13098.336944,13098.338440
0.000970,0.005096,0.002747,1.003000,13100.360583,13100.677275,13100.758742,13100.760367
0.001020,0.009107,0.002788,1.007183,13102.786167,13103.100634,13103.183002,13103.184562
0.001063,0.004964,0.002779,1.003001,13105.206515,13105.523890,13105.606976,13105.608743
0.000959,0.004726,0.002935,1.002901,13107.631246,13107.941736,13108.019303,13108.020930
0.000932,0.004919,0.002991,1.002914,13110.043090,13110.361828,13110.443816,13110.445416
0.000873,0.004975,0.002857,1.003098,13112.467069,13112.778037,13112.857883,13112.859546
0.000972,0.004948,0.002829,1.002820,13114.881463,13115.201604,13115.292081,13115.293699
0.001113,0.005016,0.002681,1.002975,13117.315743,13117.625977,13117.702754,13117.704592
0.000895,0.004773,0.002822,1.002672,13119.726492,13120.042775,13120.129530,13120.131199
0.000812,0.005116,0.002981,1.002932,13122.153305,13122.468284,13122.550804,13122.552422
0.000874,0.005291,0.003298,1.002703,13124.574435,13124.899503,13124.981618,13124.983241
0.001041,0.004745,0.002748,1.002774,13127.005050,13127.308263,13127.380619,13127.381575
0.000797,0.005753,0.002913,1.003689,13129.404271,13129.716295,13129.798361,13129.800033
0.000921,0.005087,0.002750,1.002960,13131.821816,13132.132141,13132.210812,13132.212544
0.000848,0.004891,0.002947,1.002852,13134.234651,13134.555047,13134.641336,13134.642976
0.000895,0.005102,0.002944,1.002862,13136.665183,13136.979542,13137.062848,13137.064504
0.001150,0.004813,0.002793,1.003000,13139.086087,13139.397495,13139.475867,13139.477491
0.000921,0.005044,0.002540,1.003316,13141.528708,13141.841801,13141.922603,13141.924025
0.000844,0.005051,0.002741,1.003024,13143.946170,13144.264122,13144.344357,13144.345806
0.000881,0.004947,0.003041,1.002781,13146.368146,13146.679070,13146.759221,13146.760814
0.001028,0.005015,0.002684,1.003156,13148.782348,13149.092260,13149.169237,13149.170891
0.001167,0.004978,0.002736,1.003069,13151.193044,13151.497522,13151.577188,13151.578622
0.001053,0.005187,0.002856,1.003141,13153.600650,13153.911318,13153.991337,13153.992870
0.001030,0.005037,0.002705,1.003108,13156.014793,13156.328755,13156.405307,13156.407149
0.001535,0.005981,0.002909,1.004422,13158.430231,13158.749045,13158.829852,13158.831353
0.000811,0.005043,0.002935,1.002924,13160.853194,13161.235237,13161.315318,13161.316884
0.000909,0.004832,0.003069,1.002592,13163.338644,13163.651142,13163.731621,13163.733213
0.000866,0.004941,0.002602,1.002944,13165.755146,13166.072809,13166.156279,13166.157809
0.001164,0.004995,0.002736,1.002945,13168.179722,13168.502810,13168.586478,13168.588078
0.000883,0.005274,0.002821,1.003225,13170.610316,13170.932558,13171.016878,13171.018454
0.000873,0.005218,0.002772,1.003193,13173.040707,13173.353046,13173.433257,13173.434937
0.000945,0.004790,0.002813,1.002730,13175.456622,13175.768879,13175.849285,13175.850754
0.000896,0.004939,0.002940,1.002921,13177.873881,13178.187004,13178.266649,13178.267954
0.000969,0.005208,0.002782,1.003080,13180.290076,13180.610057,13180.689679,13180.691345
