DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.007013,0.002147,0.000782,0.003803,2082.033905,2082.114828,2082.276221,2082.277480
0.007280,0.002192,0.000816,0.004144,2083.384979,2083.470532,2083.642157,2083.643432
0.007030,0.002345,0.000784,0.004039,2084.749748,2084.838454,2085.006442,2085.007713
0.007002,0.002289,0.000907,0.004156,2086.111746,2086.193351,2086.354902,2086.356245
0.006976,0.002137,0.000772,0.004020,2087.463648,2087.553541,2087.723050,2087.724390
0.007092,0.002248,0.000841,0.004148,2088.827237,2088.908335,2089.068874,2089.070143
0.007112,0.002232,0.000742,0.003976,2090.176011,2090.261689,2090.428975,2090.430248
0.007101,0.002344,0.000829,0.004083,2091.533827,2091.617141,2091.779860,2091.781066
0.006954,0.002317,0.000760,0.004132,2092.888502,2092.978500,2093.147971,2093.149261
0.007127,0.002238,0.000807,0.004101,2094.255972,2094.348315,2094.516212,2094.517511
0.007188,0.002214,0.000676,0.004099,2095.625260,2095.711052,2095.880054,2095.881317
0.007045,0.002332,0.000840,0.004134,2096.985630,2097.067633,2097.230624,2097.231730
0.007043,0.002321,0.000838,0.004133,2098.335187,2098.416110,2098.577442,2098.578733
0.006954,0.002289,0.000784,0.004092,2099.675877,2099.750784,2099.899226,2099.900450
0.006794,0.002208,0.000541,0.003702,2101.003891,2101.085718,2101.247954,2101.249263
0.007122,0.002304,0.000769,0.004076,2102.357380,2102.442920,2102.613026,2102.614227
0.007154,0.002463,0.000812,0.004034,2103.721717,2103.806937,2103.976435,2103.977658
0.006940,0.002361,0.000810,0.004099,2105.081425,2105.163357,2105.325085,2105.326361
0.006985,0.002376,0.000850,0.004166,2106.433321,2106.518585,2106.688075,2106.689283
0.007143,0.002324,0.000799,0.004099,2107.792608,2107.874247,2108.034805,2108.036140
0.006976,0.002155,0.000577,0.003580,2109.169389,2109.251634,2109.333954,2109.335178
0.006996,0.002318,0.000709,0.004164,2110.442011,2110.527301,2110.612847,2110.614155
0.007139,0.002305,0.000893,0.004124,2111.725790,2111.815896,2111.905017,2111.906017
0.007139,0.002503,0.000676,0.004072,2113.017191,2113.105692,2113.194913,2113.196286
0.006890,0.002226,0.000821,0.004100,2114.303647,2114.389884,2114.476308,2114.477541
0.007044,0.002298,0.000759,0.004030,2115.589639,2115.679983,2115.768734,2115.769970
0.007090,0.002418,0.000808,0.004147,2116.873196,2116.956047,2117.038103,2117.039500
0.000829,0.002224,0.001165,0.004404,2118.151066,2118.240636,2118.330095,2118.331298
0.001015,0.003230,0.000683,0.003758,2119.442269,2119.531798,2119.621196,2119.622449
0.007002,0.002320,0.000853,0.004103,2120.729776,2120.815434,2120.900993,2120.902252
0.007090,0.002319,0.000865,0.004159,2122.012592,2122.102292,2122.190431,2122.191764
0.007509,0.002241,0.000687,0.003946,2123.292030,2123.370034,2123.447695,2123.448745
0.007062,0.002232,0.000761,0.003958,2124.558318,2124.646905,2124.735202,2124.736346
0.006975,0.002186,0.000670,0.003972,2125.847032,2125.936300,2126.025091,2126.026256
0.007033,0.002373,0.000768,0.004095,2127.129655,2127.220547,2127.301751,2127.302752
0.007046,0.002609,0.000770,0.004319,2128.407670,2128.491189,2128.574590,2128.575970
0.007328,0.002208,0.000675,0.003865,2129.686479,2129.775354,2129.864066,2129.865247
0.007209,0.002438,0.000786,0.004145,2130.978592,2131.064520,2131.150402,2131.151687
0.007576,0.002269,0.000790,0.003856,2132.256714,2132.338095,2132.419828,2132.421123
0.006899,0.002249,0.000484,0.003874,2133.520139,2133.598194,2133.676487,2133.677554
0.006891,0.002108,0.000793,0.004012,2134.808300,2134.890995,2134.970854,2134.972243
0.011009,0.007425,0.004991,0.007879,2136.146241,2136.231534,2136.315651,2136.317427
0.007098,0.002216,0.000764,0.004038,2137.423794,2137.508356,2137.592126,2137.593326
0.007102,0.002290,0.000694,0.004184,2138.700891,2138.796151,2138.880257,2138.881602
0.007159,0.002369,0.000805,0.004174,2139.986199,2140.069436,2140.150265,2140.151607
0.007929,0.002860,0.001286,0.003696,2141.255373,2141.336632,2141.416746,2141.418104
0.006854,0.002370,0.000514,0.003836,2142.525226,2142.611038,2142.695179,2142.696377
0.006874,0.002328,0.000789,0.004138,2143.803973,2143.890243,2143.975095,2143.976371
0.006916,0.002184,0.000676,0.003945,2145.083449,2145.171570,2145.256168,2145.257421
0.007049,0.002757,0.000680,0.004077,2146.365944,2146.453025,2146.538137,2146.539379
0.000872,0.002250,0.000513,0.003560,2147.647066,2147.733991,2147.819179,2147.820592
0.006792,0.002255,0.000828,0.004001,2148.930083,2149.018045,2149.104955,2149.106177
0.007104,0.002248,0.000841,0.004063,2150.209461,2150.291513,2150.372452,2150.373664
0.007120,0.002491,0.000831,0.004100,2151.478259,2151.560162,2151.641303,2151.642744
0.007051,0.002292,0.000690,0.004044,2152.753076,2152.842401,2152.930314,2152.931513
0.007073,0.002264,0.000813,0.004089,2154.037507,2154.121712,2154.205267,2154.206635
0.007039,0.002241,0.000841,0.004035,2155.316767,2155.409935,2155.497487,2155.498747
0.007015,0.002248,0.000782,0.004042,2156.605909,2156.690630,2156.774365,2156.775763
0.006929,0.002214,0.000719,0.004071,2157.882864,2157.968127,2158.052629,2158.053794
0.006928,0.002118,0.000836,0.004030,2159.160660,2159.246432,2159.330989,2159.332423
0.006982,0.002126,0.000773,0.003961,2160.468126,2160.556198,2160.641294,2160.642651
0.006923,0.002390,0.000776,0.004073,2161.754999,2161.843868,2161.932052,2161.933257
0.006997,0.002415,0.000832,0.004153,2163.039021,2163.123076,2163.206207,2163.207273
0.006972,0.002290,0.000796,0.004046,2164.314208,2164.400985,2164.485514,2164.486712
0.007199,0.002345,0.000849,0.004219,2165.590525,2165.671930,2165.752599,2165.754056
0.007004,0.002321,0.000907,0.004008,2166.851150,2166.925790,2166.998997,2167.000123
0.007008,0.002290,0.000865,0.004051,2168.110447,2168.200048,2168.287635,2168.288943
0.007182,0.002699,0.000780,0.004032,2169.389860,2169.468544,2169.544932,2169.546197
0.007501,0.002630,0.000773,0.004001,2170.654490,2170.739909,2170.825155,2170.826432
0.007810,0.002302,0.000797,0.003940,2171.935492,2172.021005,2172.105232,2172.106515
0.007713,0.002988,0.001306,0.003677,2173.209726,2173.293308,2173.374165,2173.375514
0.007014,0.002356,0.000810,0.004126,2174.481720,2174.566417,2174.650230,2174.651239
0.007041,0.002252,0.000801,0.004017,2175.758067,2175.846069,2175.930441,2175.931672
0.006865,0.002283,0.000683,0.004022,2177.036736,2177.120281,2177.201437,2177.202675
0.007708,0.002908,0.001138,0.003672,2178.308624,2178.393582,2178.477280,2178.478488
0.007052,0.002415,0.000854,0.004159,2179.581688,2179.666003,2179.746430,2179.747782
0.007377,0.002447,0.000747,0.003940,2180.854395,2180.973544,2181.056641,2181.057780
0.007083,0.002477,0.000821,0.004038,2182.157463,2182.235527,2182.311629,2182.312797
0.007134,0.002162,0.000918,0.004035,2183.415339,2183.496078,2183.575933,2183.577298
0.007166,0.002275,0.000862,0.004180,2184.683636,2184.767168,2184.849954,2184.851234
0.006931,0.002068,0.000753,0.003818,2186.022264,2186.111815,2186.196182,2186.197421
0.007012,0.002283,0.000959,0.004235,2187.310327,2187.399721,2187.487833,2187.489064
0.011065,0.006644,0.005191,0.007402,2188.599036,2188.684144,2188.769033,2188.770343
0.006897,0.002276,0.000755,0.004040,2189.877407,2189.963181,2190.047583,2190.048863
0.007277,0.002368,0.000835,0.004133,2191.145012,2191.222739,2191.296071,2191.297237
0.007106,0.002350,0.000526,0.003871,2192.406286,2192.492844,2192.578920,2192.580221
0.007105,0.002287,0.000679,0.004199,2193.686160,2193.770715,2193.853577,2193.854867
0.007360,0.002293,0.001026,0.004284,2194.962388,2195.047799,2195.131992,2195.133210
0.007019,0.002228,0.000701,0.004043,2196.238722,2196.323025,2196.406720,2196.407923
0.006953,0.002182,0.000802,0.004019,2197.515566,2197.600868,2197.684764,2197.686010
0.007156,0.002240,0.000657,0.004116,2198.793829,2198.879826,2198.964844,2198.966031
0.007072,0.002135,0.000837,0.004058,2200.068578,2200.149775,2200.230181,2200.231422
0.006994,0.002273,0.000811,0.004061,2201.341221,2201.427686,2201.511538,2201.512815
0.007070,0.002194,0.000813,0.004009,2202.612052,2202.688891,2202.764466,2202.765411
0.007068,0.002268,0.000827,0.004152,2203.869683,2203.951681,2204.032809,2204.034088
0.007067,0.002399,0.000768,0.004125,2205.140684,2205.226386,2205.310339,2205.311610
0.007398,0.002232,0.000735,0.003884,2206.418624,2206.503878,2206.587773,2206.589017
0.006912,0.002219,0.000782,0.004007,2207.699340,2207.787920,2207.875518,2207.876750
0.006804,0.002257,0.000822,0.004052,2208.979587,2209.061832,2209.142684,2209.144259
0.006979,0.002210,0.000869,0.004014,2210.255596,2210.344546,2210.433726,2210.434963
0.006826,0.002070,0.000535,0.003611,2211.569571,2211.653665,2211.736902,2211.738193
0.007046,0.002270,0.000678,0.004039,2212.846374,2212.934270,2213.018996,2213.020286
0.006965,0.002209,0.000734,0.004073,2214.123549,2214.210604,2214.291686,2214.293023
0.007123,0.002258,0.000777,0.004130,2215.399664,2215.484012,2215.567412,2215.568752
0.006902,0.002233,0.000677,0.004047,2216.675830,2216.762451,2216.847679,2216.848897
0.007085,0.002546,0.000844,0.004074,2217.960449,2218.049390,2218.138102,2218.139406
0.007012,0.002265,0.000689,0.004050,2219.249503,2219.339129,2219.426691,2219.427929
0.007407,0.002240,0.000608,0.003839,2220.528803,2220.607630,2220.685458,2220.686482
0.007212,0.002432,0.000689,0.004170,2221.790175,2221.874328,2221.954617,2221.955889
0.006962,0.002198,0.000662,0.004027,2223.063456,2223.148109,2223.232320,2223.233652
0.007150,0.002223,0.000785,0.004037,2224.340608,2224.425635,2224.510141,2224.511471
0.007286,0.002888,0.000871,0.004394,2225.618241,2225.715518,2225.798770,2225.800103
0.007393,0.002311,0.000908,0.004031,2226.903143,2226.984915,2227.064810,2227.066031
0.007371,0.002257,0.000602,0.003784,2228.175963,2228.261663,2228.346792,2228.348064
0.007036,0.002736,0.000666,0.004017,2229.451684,2229.533023,2229.613571,2229.614878
0.007026,0.002320,0.000798,0.004024,2230.720141,2230.811842,2230.894121,2230.895352
0.006991,0.002367,0.000848,0.004153,2232.002032,2232.087693,2232.171792,2232.173105
0.007022,0.002401,0.000799,0.004046,2233.281708,2233.369224,2233.454404,2233.455618
0.006887,0.002281,0.000807,0.004035,2234.567542,2234.657749,2234.746890,2234.748114
0.007108,0.002287,0.000873,0.004059,2235.847874,2235.925954,2236.003092,2236.004191
0.006876,0.002031,0.000749,0.003757,2237.138491,2237.224949,2237.309804,2237.311081
0.007147,0.002245,0.000838,0.004023,2238.414721,2238.495989,2238.575750,2238.576955
0.006884,0.002268,0.000814,0.004120,2239.688645,2239.778202,2239.866875,2239.868292
0.006930,0.002248,0.000895,0.004044,2240.974147,2241.059233,2241.143072,2241.144502
0.000882,0.002265,0.003762,0.006982,2242.250285,2242.337152,2242.422614,2242.423838
0.006930,0.002284,0.000786,0.004077,2243.536868,2243.625489,2243.713517,2243.714813
0.006939,0.002281,0.000791,0.004036,2244.818077,2244.900259,2244.981033,2244.982033
0.007000,0.002259,0.000827,0.004040,2246.084807,2246.178131,2246.258353,2246.259721
0.000883,0.002353,0.003032,0.006313,2247.360898,2247.446551,2247.531239,2247.532592
0.006934,0.002229,0.000902,0.004139,2248.639978,2248.735443,2248.819804,2248.821006
0.006954,0.002447,0.000820,0.004126,2249.928827,2250.014839,2250.101174,2250.102459
0.007220,0.002411,0.000690,0.003985,2251.205618,2251.288012,2251.368819,2251.370095
0.007126,0.002363,0.000819,0.004064,2252.476699,2252.562289,2252.646816,2252.648033
0.007004,0.002177,0.000670,0.004008,2253.755181,2253.839698,2253.923328,2253.924520
0.006932,0.002362,0.000807,0.004130,2255.031031,2255.115748,2255.199453,2255.200772
0.006849,0.002290,0.000840,0.004175,2256.308438,2256.395172,2256.479996,2256.481213
0.007189,0.002276,0.000827,0.004131,2257.588691,2257.674791,2257.759720,2257.760946
0.007122,0.002309,0.000790,0.004120,2258.882144,2258.964163,2259.045550,2259.046742
0.007093,0.002354,0.000816,0.004087,2260.157537,2260.247059,2260.334859,2260.336234
0.007020,0.002193,0.000831,0.004006,2261.442845,2261.528081,2261.612081,2261.613296
