DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.005306,0.001103,0.000668,0.002426,8106.302679,8106.385946,8106.468527,8106.469873
0.005234,0.001210,0.000654,0.002585,8107.572287,8107.671148,8107.756128,8107.757479
0.005190,0.001215,0.000754,0.002574,8108.861264,8108.948997,8109.034902,8109.036239
0.005669,0.001208,0.000621,0.002479,8110.141855,8110.233616,8110.320072,8110.321590
0.005791,0.001281,0.001337,0.003204,8111.426916,8111.516215,8111.601891,8111.603210
0.005229,0.001352,0.000695,0.002573,8112.703382,8112.785746,8112.867688,8112.869098
0.005321,0.001175,0.000770,0.002528,8113.976548,8114.066291,8114.155344,8114.156764
0.000849,0.001204,0.001088,0.002874,8115.256621,8115.342687,8115.429135,8115.430493
0.005248,0.001171,0.000678,0.002563,8116.537393,8116.626170,8116.715365,8116.716737
0.005350,0.001198,0.000745,0.002531,8117.817646,8117.900638,8117.982695,8117.983999
0.005224,0.001226,0.000700,0.002514,8119.083684,8119.170799,8119.253466,8119.254889
0.005135,0.001203,0.000826,0.002624,8120.362854,8120.453779,8120.543776,8120.545358
0.005801,0.001141,0.000747,0.002548,8121.649623,8121.735704,8121.822048,8121.823453
0.005229,0.001209,0.000702,0.002505,8122.924219,8123.006698,8123.088713,8123.090404
0.005434,0.001289,0.000738,0.002735,8124.197366,8124.286904,8124.375677,8124.377142
0.005457,0.001214,0.000787,0.002717,8125.477992,8125.560512,8125.642648,8125.644054
0.005294,0.001553,0.000556,0.002549,8126.743045,8126.826352,8126.906931,8126.908466
0.005431,0.001250,0.000675,0.002675,8128.013925,8128.105316,8128.190990,8128.192381
0.005407,0.001215,0.000710,0.002516,8129.299615,8129.388805,8129.478331,8129.480034
0.005437,0.001145,0.000699,0.002561,8130.583584,8130.668380,8130.753644,8130.754966
0.005338,0.001082,0.000733,0.002437,8131.888897,8131.979025,8132.063719,8132.065217
0.005227,0.001167,0.000696,0.002653,8133.170095,8133.255916,8133.340514,8133.341977
0.005231,0.001377,0.000863,0.002778,8134.449290,8134.538753,8134.626625,8134.627967
0.005584,0.001215,0.000735,0.002622,8135.732196,8135.818776,8135.902981,8135.904391
0.010267,0.006858,0.005784,0.007284,8137.017676,8137.108209,8137.196892,8137.198556
0.005177,0.001269,0.000675,0.002532,8138.300830,8138.383860,8138.464902,8138.466230
0.005173,0.001117,0.000679,0.002614,8139.570576,8139.656737,8139.741313,8139.742625
0.005133,0.001244,0.000625,0.002358,8140.838132,8140.917108,8140.993362,8140.994698
0.005350,0.001304,0.000728,0.002653,8142.098810,8142.184317,8142.267958,8142.269549
0.005097,0.001117,0.000587,0.002228,8143.373315,8143.459188,8143.542681,8143.544180
0.005347,0.001169,0.000805,0.002620,8144.648866,8144.736378,8144.821031,8144.822430
0.005164,0.001192,0.000676,0.002577,8145.925886,8146.011560,8146.095326,8146.096708
0.005296,0.001261,0.000678,0.002527,8147.197552,8147.287210,8147.368091,8147.369436
0.005179,0.001132,0.000668,0.002561,8148.470023,8148.554965,8148.634924,8148.636320
0.005435,0.001239,0.000706,0.002673,8149.740910,8149.831686,8149.916386,8149.917827
0.005296,0.001264,0.000756,0.002760,8151.021240,8151.108099,8151.192086,8151.193472
0.005252,0.001217,0.000746,0.002554,8152.297390,8152.383705,8152.468109,8152.469499
0.005276,0.001352,0.000725,0.002852,8153.570289,8153.653163,8153.733225,8153.734826
0.005157,0.001209,0.000768,0.002547,8154.841153,8154.932015,8155.018880,8155.020229
0.005452,0.001293,0.000726,0.002623,8156.128048,8156.218937,8156.306967,8156.308301
0.005170,0.001177,0.000674,0.002495,8157.438811,8157.520166,8157.600237,8157.601616
0.005168,0.001220,0.000678,0.002625,8158.702378,8158.788978,8158.868828,8158.870282
0.005851,0.002294,0.000467,0.002427,8159.975493,8160.061025,8160.145469,8160.146816
0.005467,0.001335,0.000787,0.002707,8161.251223,8161.338295,8161.422477,8161.423505
0.005195,0.001108,0.000697,0.002479,8162.527717,8162.616743,8162.700819,8162.702124
0.005269,0.001338,0.000691,0.002608,8163.806197,8163.891170,8163.974774,8163.976129
0.005501,0.001268,0.000759,0.002679,8165.076336,8165.158209,8165.239023,8165.240420
0.005278,0.001300,0.000663,0.002509,8166.347945,8166.440065,8166.528292,8166.529780
0.005216,0.001232,0.000648,0.002603,8167.632582,8167.717029,8167.799944,8167.801389
0.005343,0.001346,0.000699,0.002858,8168.898920,8168.977344,8169.053741,8169.055225
0.005349,0.001328,0.000738,0.002610,8170.160389,8170.247194,8170.331972,8170.333434
0.005266,0.001244,0.000841,0.002661,8171.430381,8171.510751,8171.587997,8171.589437
0.005306,0.001288,0.000801,0.002681,8172.693015,8172.778680,8172.862569,8172.863975
0.005370,0.001287,0.000819,0.002548,8173.961188,8174.039830,8174.117566,8174.118923
0.005176,0.001305,0.000688,0.002634,8175.223358,8175.326096,8175.411501,8175.412946
0.005293,0.001232,0.000731,0.002555,8176.511734,8176.592986,8176.672427,8176.673900
0.005168,0.001215,0.000681,0.002628,8177.777123,8177.862087,8177.945915,8177.947091
0.005464,0.001352,0.000838,0.002724,8179.052502,8179.138266,8179.222309,8179.223636
0.006100,0.001308,0.000739,0.002274,8180.328580,8180.413095,8180.496678,8180.498124
0.005348,0.001275,0.000643,0.002630,8181.598454,8181.681450,8181.761909,8181.763529
0.005308,0.001063,0.000705,0.002455,8182.898140,8182.990813,8183.077745,8183.079287
0.005221,0.001225,0.000672,0.002670,8184.182776,8184.268789,8184.352366,8184.353731
0.005503,0.001127,0.000750,0.002612,8185.451281,8185.530315,8185.607643,8185.608944
0.005286,0.001157,0.000769,0.002526,8186.704726,8186.786769,8186.862972,8186.864549
0.005377,0.001153,0.000668,0.002504,8187.968808,8188.054403,8188.138576,8188.140042
0.005259,0.001140,0.000702,0.002578,8189.245109,8189.339017,8189.423972,8189.425489
0.005253,0.001200,0.000759,0.002683,8190.521292,8190.599233,8190.675202,8190.676603
0.005480,0.001263,0.000772,0.002649,8191.786445,8191.881072,8191.970562,8191.972045
0.005605,0.001229,0.000703,0.002587,8193.075618,8193.161466,8193.245217,8193.246654
0.005376,0.001244,0.000820,0.002663,8194.354615,8194.445072,8194.532777,8194.534013
0.005639,0.001477,0.000723,0.002909,8195.637611,8195.738278,8195.821982,8195.823387
0.005327,0.001181,0.000831,0.002749,8196.931079,8197.026845,8197.114573,8197.115851
0.005436,0.001218,0.000755,0.002590,8198.220553,8198.308748,8198.393853,8198.395285
0.005205,0.001196,0.000684,0.002438,8199.495987,8199.578188,8199.658988,8199.660470
0.005215,0.001212,0.000680,0.002475,8200.764275,8200.850147,8200.934394,8200.935711
0.005126,0.001110,0.000659,0.002420,8202.037825,8202.123441,8202.206351,8202.207651
0.005081,0.001178,0.000677,0.002486,8203.308415,8203.393194,8203.475411,8203.476709
0.005324,0.001192,0.000707,0.002694,8204.581813,8204.668829,8204.753197,8204.754538
0.005182,0.001171,0.000685,0.002537,8205.857744,8205.943457,8206.035578,8206.036925
0.005248,0.001147,0.000672,0.002503,8207.141337,8207.230183,8207.314749,8207.316041
0.005234,0.001001,0.000650,0.002329,8208.447400,8208.533287,8208.617237,8208.618521
0.005175,0.001312,0.000699,0.002591,8209.716215,8209.795627,8209.873269,8209.874577
0.005172,0.001171,0.000694,0.002535,8210.977791,8211.063180,8211.146929,8211.148350
0.010631,0.007197,0.006245,0.007646,8212.261352,8212.353098,8212.441276,8212.442592
0.005298,0.001195,0.000712,0.002676,8213.542935,8213.625785,8213.706578,8213.708107
0.005307,0.001304,0.000845,0.002770,8214.812557,8214.898557,8214.982436,8214.983729
0.005370,0.001271,0.000652,0.002661,8216.091681,8216.182481,8216.270657,8216.272000
0.005586,0.001489,0.000677,0.002758,8217.381681,8217.479637,8217.568609,8217.570013
0.005188,0.001178,0.000677,0.002663,8218.673801,8218.760182,8218.844357,8218.845768
0.005286,0.001221,0.000731,0.002767,8219.951105,8220.038362,8220.122621,8220.123908
0.005341,0.001130,0.000694,0.002562,8221.228210,8221.317807,8221.402490,8221.403900
0.005317,0.001240,0.000733,0.002589,8222.507978,8222.593880,8222.678400,8222.679747
0.005327,0.001204,0.000685,0.002483,8223.783156,8223.868190,8223.951502,8223.952949
0.005372,0.001260,0.000726,0.002666,8225.058189,8225.145665,8225.230181,8225.231560
0.005317,0.001140,0.000691,0.002560,8226.335503,8226.420835,8226.504750,8226.506120
0.005186,0.001211,0.000689,0.002529,8227.610125,8227.697319,8227.782094,8227.783518
0.005212,0.001381,0.000689,0.002608,8228.888228,8228.975159,8229.059966,8229.061355
0.005181,0.001231,0.000695,0.002586,8230.169390,8230.265348,8230.352980,8230.354358
0.005285,0.001222,0.000660,0.002542,8231.449071,8231.525424,8231.600914,8231.602415
0.005241,0.001185,0.000706,0.002538,8232.709623,8232.799522,8232.887460,8232.888851
0.005266,0.001084,0.000686,0.002371,8234.046206,8234.132806,8234.218230,8234.219584
0.005358,0.001205,0.000701,0.002492,8235.323916,8235.422018,8235.506241,8235.507604
0.005290,0.001198,0.000659,0.002436,8236.614953,8236.709965,8236.798011,8236.799504
0.005835,0.001229,0.001121,0.002864,8237.903526,8237.988807,8238.072519,8238.073844
0.006154,0.001196,0.001621,0.003622,8239.178993,8239.265665,8239.350250,8239.351588
0.005374,0.001203,0.000825,0.002478,8240.452836,8240.534693,8240.614892,8240.616299
0.005095,0.001182,0.000678,0.002453,8241.722201,8241.810711,8241.897440,8241.898882
0.005294,0.001271,0.000658,0.002532,8243.002504,8243.087509,8243.170912,8243.172310
0.006779,0.001195,0.002118,0.003884,8244.277615,8244.367804,8244.452083,8244.453456
0.005178,0.001244,0.000827,0.002581,8245.558266,8245.645320,8245.729848,8245.731074
0.005352,0.001273,0.000879,0.002777,8246.838240,8246.927400,8247.014511,8247.016213
0.005245,0.001250,0.000689,0.002519,8248.120464,8248.206620,8248.291466,8248.292822
0.005865,0.001184,0.000598,0.002235,8249.397561,8249.484901,8249.569691,8249.571049
0.005097,0.001525,0.000685,0.002217,8250.676115,8250.763953,8250.848732,8250.849969
0.005240,0.001144,0.000689,0.002615,8251.952593,8252.037901,8252.121878,8252.123245
0.005164,0.001328,0.000661,0.002578,8253.227848,8253.314092,8253.398927,8253.400356
0.005453,0.001304,0.000716,0.002708,8254.500553,8254.585717,8254.666043,8254.667375
0.005277,0.001256,0.000706,0.002572,8255.772920,8255.860974,8255.946326,8255.947779
0.005309,0.001179,0.000856,0.002656,8257.054555,8257.143327,8257.230735,8257.232111
0.005386,0.001240,0.000759,0.002595,8258.339494,8258.428369,8258.516040,8258.517560
0.005202,0.001011,0.000722,0.002410,8259.645805,8259.728183,8259.809232,8259.810635
0.011404,0.008167,0.007084,0.008571,8260.921770,8261.008016,8261.092738,8261.094158
0.005683,0.001111,0.000633,0.002377,8262.198359,8262.284746,8262.369596,8262.371116
0.005227,0.001311,0.000665,0.002568,8263.470972,8263.553436,8263.634299,8263.635695
0.005202,0.001100,0.000676,0.002534,8264.739119,8264.827243,8264.911012,8264.912429
0.005757,0.001201,0.000638,0.002525,8266.013153,8266.097940,8266.178050,8266.179521
0.011336,0.007931,0.006918,0.008343,8267.289666,8267.375708,8267.460542,8267.461989
0.005180,0.001220,0.000662,0.002541,8268.561419,8268.642856,8268.722775,8268.724209
0.000809,0.001118,0.002338,0.004132,8269.815193,8269.896680,8269.972914,8269.974249
0.005206,0.001277,0.000669,0.002545,8271.075559,8271.158096,8271.238853,8271.240152
0.005273,0.001265,0.000688,0.002546,8272.343491,8272.433872,8272.517628,8272.518909
0.005144,0.001149,0.000835,0.002637,8273.622448,8273.708194,8273.792500,8273.793833
0.005185,0.001150,0.000687,0.002583,8274.897958,8274.986537,8275.071017,8275.072356
0.005263,0.001343,0.000643,0.002551,8276.177593,8276.262156,8276.345536,8276.346754
0.005414,0.001402,0.000844,0.002731,8277.455253,8277.544999,8277.633210,8277.634634
0.005316,0.001178,0.000686,0.002536,8278.738373,8278.825171,8278.909686,8278.911205
0.005421,0.001232,0.000781,0.002516,8280.016338,8280.102889,8280.187794,8280.189299
0.005217,0.001223,0.000846,0.002614,8281.289233,8281.376039,8281.455939,8281.457367
0.005329,0.001326,0.000773,0.002821,8282.563201,8282.649571,8282.735355,8282.736665
0.005288,0.001204,0.000683,0.002490,8283.840791,8283.927016,8284.012412,8284.013872
