DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.004216,0.003798,0.000930,0.005808,12676.559506,12676.868658,12677.181430,12677.185071
0.004071,0.003623,0.000797,0.005992,12678.291391,12678.618711,12678.940934,12678.942018
0.004366,0.004653,0.000858,0.006146,12680.045596,12680.363677,12680.670952,12680.672227
0.003944,0.003582,0.000768,0.005873,12681.775057,12682.084912,12682.467219,12682.468593
0.004151,0.003816,0.000847,0.006118,12683.574963,12683.890467,12684.209668,12684.210981
0.004593,0.000540,0.000874,0.003037,12685.313627,12685.633210,12685.938079,12685.939387
0.004201,0.003572,0.000964,0.006020,12687.042967,12687.356729,12687.666273,12687.667424
0.003955,0.003596,0.000894,0.005933,12688.774805,12689.087530,12689.490039,12689.491312
0.004039,0.003890,0.000682,0.006092,12690.593101,12690.902756,12691.203786,12691.204999
0.004173,0.003764,0.000807,0.006115,12692.316814,12692.640423,12692.977185,12692.978473
0.004004,0.003587,0.000692,0.006003,12694.081770,12694.391282,12694.698496,12694.699888
0.004109,0.003936,0.000800,0.006155,12695.804873,12696.118927,12696.434156,12696.435443
0.003941,0.003694,0.000885,0.006001,12697.540699,12697.852571,12698.169699,12698.171033
0.004119,0.003578,0.000782,0.006041,12699.283141,12699.600952,12699.941393,12699.942730
0.004301,0.003913,0.000831,0.006274,12701.042380,12701.352186,12701.717984,12701.719316
0.004435,0.004067,0.000803,0.005935,12702.829665,12703.147562,12703.485914,12703.487215
0.003895,0.003591,0.000767,0.005902,12704.598452,12704.936004,12705.275182,12705.276818
0.004101,0.003642,0.000817,0.005987,12706.382698,12706.693634,12707.016465,12707.017778
0.002699,0.003581,0.000602,0.005568,12708.124409,12708.439428,12708.759413,12708.760746
0.003916,0.003497,0.000773,0.005936,12709.864731,12710.176562,12710.481883,12710.483142
0.004147,0.003497,0.000813,0.005885,12711.626070,12711.939817,12712.098437,12712.100137
0.004101,0.003707,0.000811,0.006145,12713.200656,12713.508401,12713.658227,12713.659885
