DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.006939,0.002090,0.000758,0.005044,14017.799768,14017.904482,14019.898913,14019.899973
0.006994,0.000819,0.000695,0.002089,14021.019692,14021.126265,14023.131889,14023.132931
0.006073,0.001539,0.000796,0.002708,14024.248628,14024.350149,14026.275786,14026.276831
0.005077,0.000938,0.000783,0.005505,14027.395760,14027.499518,14029.496454,14029.497476
0.006461,0.005080,0.003023,0.005637,14030.611570,14030.716862,14032.538489,14032.539475
0.007259,0.001141,0.000763,0.003479,14033.663686,14033.779446,14035.787510,14035.788566
0.005704,0.003417,0.000720,0.005272,14036.911543,14037.019874,14039.020674,14039.021715
0.005044,0.002089,0.000634,0.003115,14040.139872,14040.234832,14042.160239,14042.161258
0.005886,0.001197,0.000712,0.003910,14043.279211,14043.389567,14045.292433,14045.293449
0.004842,0.001980,0.000734,0.003799,14046.412206,14046.517214,14048.447050,14048.448072
0.006042,0.003333,0.000685,0.004670,14049.563267,14049.664203,14051.476804,14051.477816
0.005799,0.004280,0.000793,0.004521,14052.600713,14052.709167,14054.719073,14054.720117
0.006781,0.003553,0.000692,0.005406,14055.836497,14055.938288,14057.772391,14057.773428
0.005724,0.003192,0.000718,0.004843,14058.889214,14058.991508,14060.838426,14060.839443
0.007424,0.001163,0.000721,0.003724,14061.959658,14062.064213,14063.981383,14063.982374
0.004085,0.000694,0.000816,0.004590,14065.105340,14065.215798,14067.345249,14067.346254
0.008802,0.006809,0.004373,0.007100,14068.471648,14068.569709,14070.576972,14070.578013
0.006115,0.013958,0.000731,0.015748,14071.692334,14071.793839,14073.629789,14073.630852
0.003675,0.000967,0.000753,0.005473,14074.747606,14074.852527,14076.771881,14076.772920
0.005488,0.002281,0.000819,0.004847,14077.892637,14077.988399,14079.920695,14079.921732
0.006429,0.001154,0.000731,0.003563,14081.071150,14081.177520,14082.091283,14082.092542
0.006764,0.002421,0.000716,0.004847,14083.208628,14083.308755,14084.184351,14084.185376
0.005870,0.012677,0.000727,0.016122,14085.305802,14085.412827,14086.353477,14086.354710
0.007228,0.001080,0.000717,0.002420,14087.471532,14087.572199,14088.285426,14088.286396
0.004680,0.004337,0.001356,0.006139,14089.402854,14089.506852,14090.422362,14090.423630
0.007684,0.002358,0.000742,0.004315,14091.543336,14091.647791,14092.479713,14092.480827
0.006115,0.002882,0.000672,0.004602,14093.600235,14093.706310,14094.630600,14094.631594
0.007274,0.002848,0.000734,0.004121,14095.748552,14095.850225,14096.732956,14096.734115
0.004278,0.002767,0.000845,0.004993,14097.851063,14097.954623,14098.780031,14098.781294
0.006164,0.003516,0.000655,0.004736,14099.896404,14099.997091,14100.871673,14100.872947
0.006039,0.000659,0.000654,0.001777,14101.991509,14102.095538,14103.010799,14103.012119
0.006536,0.002013,0.000787,0.003202,14104.127708,14104.228390,14105.104743,14105.105996
0.005084,0.002320,0.000854,0.004712,14106.219298,14106.318769,14107.182623,14107.183817
0.007012,0.002693,0.000768,0.005374,14108.300072,14108.400640,14109.275604,14109.276760
0.005721,0.001368,0.000758,0.003363,14110.392898,14110.499106,14111.382333,14111.383556
0.006593,0.002518,0.000699,0.004834,14112.499030,14112.599292,14113.465228,14113.466484
0.003595,0.002013,0.000786,0.003428,14114.579796,14114.679978,14115.552764,14115.554078
0.007104,0.003488,0.000743,0.004924,14116.690418,14116.811044,14117.886958,14117.887993
0.005524,0.002501,0.000737,0.004972,14119.011697,14119.120595,14120.082873,14120.084146
0.006384,0.001206,0.000793,0.003542,14121.200379,14121.302335,14122.181481,14122.182752
0.005731,0.001423,0.000691,0.004909,14123.330487,14123.434912,14123.751303,14123.752999
0.005155,0.001398,0.000904,0.004888,14124.872586,14124.977597,14125.316296,14125.317924
0.005024,0.001434,0.000567,0.004088,14126.436839,14126.542401,14126.880195,14126.881875
0.004672,0.003216,0.000685,0.004282,14128.000318,14128.105367,14128.445391,14128.447030
0.007155,0.000785,0.000734,0.003271,14129.566694,14129.670219,14130.004458,14130.006021
0.009791,0.019797,0.006235,0.020501,14131.127105,14131.231392,14131.566655,14131.568236
