DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.000975,0.000000,0.000000,0.000000,4003.634482,4004.139517,4004.803446,4004.805045
0.001008,0.000000,0.000000,0.000000,4006.114977,4006.205590,4006.766998,4006.768587
0.001057,0.000000,0.000000,0.000000,4008.074336,4008.161882,4008.751248,4008.752821
0.001092,0.000000,0.000000,0.000000,4010.068259,4010.172208,4010.879769,4010.880918
0.001078,0.000000,0.000000,0.000000,4012.207205,4012.293086,4012.884524,4012.885754
0.001096,0.000000,0.000000,0.000000,4014.191293,4014.275170,4014.853515,4014.854800
0.001083,0.000000,0.000000,0.000000,4016.157613,4016.253376,4016.843829,4016.845165
0.001028,0.000000,0.000000,0.000000,4018.155865,4018.235268,4018.774902,4018.776081
0.001077,0.000000,0.000000,0.000000,4020.066877,4020.152500,4020.830300,4020.831364
0.001156,0.000000,0.000000,0.000000,4022.143112,4022.225975,4022.790146,4022.791234
0.001084,0.000000,0.000000,0.000000,4024.106516,4024.193633,4024.789965,4024.791142
0.001076,0.000000,0.000000,0.000000,4026.099437,4026.184821,4026.771469,4026.772706
0.001087,0.000000,0.000000,0.000000,4028.088132,4028.169163,4028.730323,4028.731356
0.001203,0.000000,0.000000,0.000000,4030.023251,4030.101597,4030.634158,4030.635342
0.001114,0.000000,0.000000,0.000000,4031.922945,4032.004050,4032.564197,4032.565533
0.001099,0.000000,0.000000,0.000000,4033.873750,4033.963566,4034.581615,4034.582850
0.001111,0.000000,0.000000,0.000000,4035.890314,4035.970926,4036.603829,4036.605213
0.001165,0.000000,0.000000,0.000000,4037.907289,4037.992545,4038.579655,4038.581087
0.001347,0.000000,0.000000,0.000000,4039.904093,4039.994876,4040.695975,4040.697379
0.001082,0.000000,0.000000,0.000000,4042.017932,4042.107853,4042.723710,4042.725112
0.000877,0.000000,0.000000,0.000000,4044.070175,4044.155585,4044.410274,4044.411745
0.001106,0.000000,0.000000,0.000000,4045.722512,4045.811976,4046.056093,4046.057609
0.001173,0.000000,0.000000,0.000000,4047.354209,4047.442411,4047.699067,4047.700628
0.001029,0.000000,0.000000,0.000000,4049.010944,4049.096762,4049.350228,4049.351835
0.001205,0.000000,0.000000,0.000000,4050.667724,4050.756342,4051.008919,4051.010515
0.001137,0.000000,0.000000,0.000000,4052.320708,4052.418349,4052.672399,4052.674001
0.001175,0.000000,0.000000,0.000000,4053.992472,4054.081204,4054.345853,4054.347519
0.001108,0.000000,0.000000,0.000000,4055.670331,4055.752674,4055.998200,4055.999597
0.001058,0.000000,0.000000,0.000000,4057.312367,4057.402748,4057.660353,4057.661957
0.001108,0.000000,0.000000,0.000000,4058.980539,4059.065740,4059.320586,4059.322187
0.001176,0.000000,0.000000,0.000000,4060.630059,4060.716984,4060.973733,4060.975402
0.001056,0.000000,0.000000,0.000000,4062.288738,4062.372737,4062.623557,4062.625385
0.001055,0.000000,0.000000,0.000000,4063.935207,4064.021845,4064.273733,4064.275504
0.001338,0.000000,0.000000,0.000000,4065.585566,4065.674483,4065.927033,4065.928888
0.001176,0.000000,0.000000,0.000000,4067.245684,4067.331987,4067.585581,4067.587316
0.001094,0.000000,0.000000,0.000000,4068.895560,4068.977436,4069.220132,4069.221227
0.001120,0.000000,0.000000,0.000000,4070.520291,4070.602077,4070.844959,4070.846626
0.001087,0.000000,0.000000,0.000000,4072.146422,4072.228813,4072.473306,4072.474925
0.001021,0.000000,0.000000,0.000000,4073.783376,4073.868987,4074.123448,4074.124970
0.001093,0.000000,0.000000,0.000000,4075.428759,4075.508003,4075.739342,4075.740697
0.000924,0.000000,0.000000,0.000000,4077.066518,4077.153623,4077.240451,4077.242094
0.001093,0.000000,0.000000,0.000000,4078.561738,4078.647337,4078.735818,4078.737505
0.001118,0.000000,0.000000,0.000000,4080.059443,4080.150134,4080.242211,4080.243730
0.001134,0.000000,0.000000,0.000000,4081.565482,4081.650482,4081.738263,4081.739917
0.001112,0.000000,0.000000,0.000000,4083.044620,4083.125259,4083.207965,4083.209479
0.001145,0.000000,0.000000,0.000000,4084.506539,4084.587237,4084.670370,4084.672070
0.001143,0.000000,0.000000,0.000000,4085.975792,4086.057182,4086.140843,4086.142311
0.001036,0.000000,0.000000,0.000000,4087.446976,4087.536867,4087.628940,4087.630520
0.001281,0.000000,0.000000,0.000000,4088.958168,4089.044285,4089.133044,4089.134516
0.001223,0.000000,0.000000,0.000000,4090.450756,4090.536003,4090.623611,4090.625073
0.001104,0.000000,0.000000,0.000000,4091.942901,4092.027746,4092.114221,4092.115797
0.001198,0.000000,0.000000,0.000000,4093.431520,4093.520479,4093.611098,4093.612503
0.001195,0.000000,0.000000,0.000000,4094.934908,4095.021610,4095.110412,4095.111437
0.001180,0.000000,0.000000,0.000000,4096.427370,4096.516533,4096.607504,4096.608964
0.001728,0.000000,0.000000,0.000000,4097.921901,4098.004800,4098.089235,4098.090710
0.001059,0.000000,0.000000,0.000000,4099.407937,4099.495752,4099.585711,4099.587335
0.001131,0.000000,0.000000,0.000000,4100.907962,4100.994331,4101.078182,4101.079825
0.001140,0.000000,0.000000,0.000000,4102.434796,4102.523088,4102.642504,4102.644150
0.001182,0.000000,0.000000,0.000000,4103.958436,4104.048469,4104.140139,4104.141548
0.001143,0.000000,0.000000,0.000000,4105.455697,4105.541168,4105.629020,4105.630674
0.000943,0.000000,0.000000,0.000000,4106.976384,4107.063944,4107.149289,4107.151000
0.001200,0.000000,0.000000,0.000000,4108.469294,4108.554186,4108.638243,4108.639889
0.001052,0.000000,0.000000,0.000000,4109.946997,4110.032428,4110.116260,4110.117850
0.001190,0.000000,0.000000,0.000000,4111.429259,4111.509871,4111.589621,4111.591353
0.001131,0.000000,0.000000,0.000000,4112.897280,4112.989860,4113.074660,4113.076324
0.001130,0.000000,0.000000,0.000000,4114.379753,4114.458167,4114.535381,4114.536419
0.001053,0.000000,0.000000,0.000000,4115.827361,4115.911520,4115.994868,4115.996607
0.001050,0.000000,0.000000,0.000000,4117.306367,4117.396579,4117.485687,4117.487263
0.001136,0.000000,0.000000,0.000000,4118.818065,4118.906014,4118.993590,4118.995110
0.001065,0.000000,0.000000,0.000000,4120.312148,4120.396986,4120.478738,4120.480388
0.001124,0.000000,0.000000,0.000000,4121.801929,4121.883010,4121.964459,4121.966268
0.001055,0.000000,0.000000,0.000000,4123.281679,4123.371723,4123.460799,4123.462446
0.001067,0.000000,0.000000,0.000000,4124.790164,4124.877618,4124.969077,4124.970672
0.001141,0.000000,0.000000,0.000000,4126.287916,4126.416476,4126.501544,4126.503054
0.001178,0.000000,0.000000,0.000000,4127.811918,4127.897313,4127.984657,4127.986187
0.001257,0.000000,0.000000,0.000000,4129.292729,4129.377919,4129.462923,4129.464557
0.001105,0.000000,0.000000,0.000000,4130.778117,4130.862698,4130.946822,4130.948502
0.002099,0.000000,0.000000,0.000000,4132.259526,4132.341889,4132.421172,4132.422392
0.001074,0.000000,0.000000,0.000000,4133.725138,4133.807318,4133.888437,4133.890156
0.001125,0.000000,0.000000,0.000000,4135.194180,4135.279413,4135.364079,4135.365616
0.000933,0.000000,0.000000,0.000000,4136.697958,4136.783613,4136.868156,4136.869672
0.001170,0.000000,0.000000,0.000000,4138.190423,4138.279753,4138.368063,4138.369772
0.001120,0.000000,0.000000,0.000000,4139.685660,4139.770892,4139.854529,4139.856200
0.001093,0.000000,0.000000,0.000000,4141.162475,4141.251028,4141.335268,4141.336840
0.001107,0.000000,0.000000,0.000000,4142.646772,4142.726156,4142.804530,4142.805557
0.001114,0.000000,0.000000,0.000000,4144.104626,4144.188378,4144.271018,4144.272256
0.001032,0.000000,0.000000,0.000000,4145.587536,4145.672054,4145.755375,4145.757041
0.001108,0.000000,0.000000,0.000000,4147.080935,4147.168301,4147.253213,4147.254752
0.001121,0.000000,0.000000,0.000000,4148.572596,4148.657984,4148.740845,4148.742337
0.001159,0.000000,0.000000,0.000000,4150.045982,4150.131416,4150.215820,4150.217361
0.001156,0.000000,0.000000,0.000000,4151.537045,4151.622993,4151.707419,4151.708890
0.001142,0.000000,0.000000,0.000000,4153.018026,4153.104025,4153.188376,4153.189742
0.001129,0.000000,0.000000,0.000000,4154.495270,4154.580436,4154.663152,4154.664629
0.001106,0.000000,0.000000,0.000000,4155.976386,4156.059285,4156.140081,4156.141868
0.001873,0.000000,0.000000,0.000000,4157.451815,4157.532954,4157.614126,4157.615811
0.001088,0.000000,0.000000,0.000000,4158.919809,4159.006141,4159.091220,4159.092628
0.001100,0.000000,0.000000,0.000000,4160.406163,4160.494230,4160.578593,4160.580171
0.001167,0.000000,0.000000,0.000000,4161.892210,4161.976969,4162.060756,4162.062484
0.001071,0.000000,0.000000,0.000000,4163.370767,4163.459336,4163.546749,4163.548457
0.001096,0.000000,0.000000,0.000000,4164.856036,4164.932578,4165.008226,4165.009248
0.000898,0.000000,0.000000,0.000000,4166.327196,4166.413932,4166.498301,4166.500032
0.001126,0.000000,0.000000,0.000000,4167.812627,4167.901736,4167.988902,4167.990543
0.001104,0.000000,0.000000,0.000000,4169.303977,4169.389397,4169.473625,4169.475263
0.001189,0.000000,0.000000,0.000000,4170.787124,4170.872189,4170.956050,4170.957679
0.001484,0.000000,0.000000,0.000000,4172.265123,4172.353808,4172.433986,4172.435908
0.001084,0.000000,0.000000,0.000000,4173.737233,4173.823692,4173.908886,4173.910520
0.001168,0.000000,0.000000,0.000000,4175.220896,4175.309608,4175.397456,4175.399153
0.001154,0.000000,0.000000,0.000000,4176.709997,4176.794012,4176.876979,4176.878645
0.001149,0.000000,0.000000,0.000000,4178.189998,4178.271819,4178.352869,4178.354676
0.001072,0.000000,0.000000,0.000000,4179.659775,4179.745571,4179.831715,4179.833396
0.001110,0.000000,0.000000,0.000000,4181.152596,4181.238434,4181.322889,4181.324581
0.001200,0.000000,0.000000,0.000000,4182.643924,4182.735139,4182.819201,4182.820885
0.001081,0.000000,0.000000,0.000000,4184.136039,4184.220854,4184.304750,4184.306260
0.001141,0.000000,0.000000,0.000000,4185.626965,4185.716177,4185.803896,4185.805508
0.001127,0.000000,0.000000,0.000000,4187.129256,4187.214915,4187.299776,4187.301333
0.001064,0.000000,0.000000,0.000000,4188.614341,4188.703941,4188.792528,4188.794233
0.001175,0.000000,0.000000,0.000000,4190.118619,4190.202430,4190.284999,4190.286566
0.001194,0.000000,0.000000,0.000000,4191.589783,4191.709894,4191.795198,4191.796774
0.001146,0.000000,0.000000,0.000000,4193.103841,4193.202533,4193.286726,4193.288362
0.001055,0.000000,0.000000,0.000000,4194.600240,4194.685817,4194.770858,4194.772477
0.000889,0.000000,0.000000,0.000000,4196.122825,4196.209556,4196.293516,4196.295178
0.001154,0.000000,0.000000,0.000000,4197.604263,4197.690208,4197.774523,4197.776041
0.001083,0.000000,0.000000,0.000000,4199.083273,4199.164472,4199.244081,4199.245612
0.001189,0.000000,0.000000,0.000000,4200.551354,4200.636592,4200.720294,4200.721950
0.001129,0.000000,0.000000,0.000000,4202.023162,4202.107367,4202.188754,4202.190524
0.001112,0.000000,0.000000,0.000000,4203.500136,4203.589700,4203.673410,4203.675048
0.005827,0.000000,0.000000,0.000000,4204.999522,4205.084316,4205.167771,4205.169435
0.001072,0.000000,0.000000,0.000000,4206.468355,4206.549650,4206.628921,4206.630262
0.001074,0.000000,0.000000,0.000000,4207.936874,4208.023042,4208.107847,4208.109418
0.001291,0.000000,0.000000,0.000000,4209.428479,4209.515845,4209.600135,4209.601652
0.001162,0.000000,0.000000,0.000000,4210.903862,4210.981317,4211.058017,4211.059095
0.001079,0.000000,0.000000,0.000000,4212.354109,4212.439570,4212.523234,4212.524793
0.001107,0.000000,0.000000,0.000000,4213.828519,4213.918780,4214.002300,4214.003956
0.001095,0.000000,0.000000,0.000000,4215.314548,4215.399108,4215.484626,4215.486330
0.001216,0.000000,0.000000,0.000000,4216.803646,4216.889182,4216.973938,4216.975581
0.001191,0.000000,0.000000,0.000000,4218.283504,4218.372538,4218.459230,4218.460806
0.001070,0.000000,0.000000,0.000000,4219.776544,4219.866120,4219.954454,4219.956159
0.001119,0.000000,0.000000,0.000000,4221.284555,4221.374985,4221.462313,4221.464066
0.001109,0.000000,0.000000,0.000000,4222.776456,4222.857385,4222.937032,4222.938392
