DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.000899,0.000000,0.000000,0.000000,5058.722527,5059.237073,5059.322250,5059.323375
0.001190,0.000000,0.000000,0.000000,5060.625145,5060.706641,5060.789916,5060.791521
0.001182,0.000000,0.000000,0.000000,5062.093410,5062.177811,5062.340426,5062.342121
0.001219,0.000000,0.000000,0.000000,5063.655079,5063.745842,5063.836788,5063.838367
0.001084,0.000000,0.000000,0.000000,5065.164121,5065.252738,5065.343082,5065.344667
0.001168,0.000000,0.000000,0.000000,5066.653499,5066.735219,5066.818798,5066.819935
0.001140,0.000000,0.000000,0.000000,5068.116220,5068.202200,5068.288843,5068.289970
0.001045,0.000000,0.000000,0.000000,5069.594846,5069.682383,5069.770750,5069.772376
0.001138,0.000000,0.000000,0.000000,5071.080691,5071.169398,5071.345441,5071.347028
0.001127,0.000000,0.000000,0.000000,5072.658364,5072.741182,5072.825685,5072.826749
0.001092,0.000000,0.000000,0.000000,5074.128298,5074.207595,5074.288577,5074.290121
0.001156,0.000000,0.000000,0.000000,5075.585935,5075.673407,5075.760380,5075.761844
0.001103,0.000000,0.000000,0.000000,5077.069238,5077.158755,5077.249834,5077.251439
0.001084,0.000000,0.000000,0.000000,5078.563490,5078.648474,5078.735719,5078.737333
0.001044,0.000000,0.000000,0.000000,5080.052273,5080.138851,5080.226287,5080.227850
0.001124,0.000000,0.000000,0.000000,5081.531667,5081.617988,5081.702390,5081.703871
0.001241,0.000000,0.000000,0.000000,5083.009553,5083.102710,5083.194211,5083.195864
0.001088,0.000000,0.000000,0.000000,5084.519132,5084.608979,5084.699571,5084.701202
0.001061,0.000000,0.000000,0.000000,5086.020324,5086.105580,5086.192230,5086.193782
0.001079,0.000000,0.000000,0.000000,5087.498871,5087.586115,5087.674630,5087.675776
0.000910,0.000000,0.000000,0.000000,5089.012899,5089.099768,5089.184649,5089.186325
0.001058,0.000000,0.000000,0.000000,5090.494377,5090.576178,5090.656584,5090.658069
0.001135,0.000000,0.000000,0.000000,5091.959235,5092.045090,5092.129052,5092.130604
0.001267,0.000000,0.000000,0.000000,5093.447806,5093.533742,5093.618580,5093.620242
0.001292,0.000000,0.000000,0.000000,5094.934632,5095.029329,5095.112087,5095.113583
0.001103,0.000000,0.000000,0.000000,5096.418986,5096.498357,5096.575600,5096.577490
0.001082,0.000000,0.000000,0.000000,5097.878832,5097.961208,5098.040701,5098.042230
0.001135,0.000000,0.000000,0.000000,5099.348701,5099.433792,5099.517103,5099.518608
0.001055,0.000000,0.000000,0.000000,5100.818418,5100.903718,5100.984287,5100.985924
0.001116,0.000000,0.000000,0.000000,5102.289019,5102.398200,5102.486030,5102.487575
0.001091,0.000000,0.000000,0.000000,5103.806082,5103.891364,5103.975074,5103.976730
0.001091,0.000000,0.000000,0.000000,5105.297677,5105.387138,5105.473992,5105.475611
0.001038,0.000000,0.000000,0.000000,5106.794774,5106.878796,5106.960805,5106.962449
0.001107,0.000000,0.000000,0.000000,5108.271917,5108.357686,5108.441362,5108.442735
0.001124,0.000000,0.000000,0.000000,5109.754070,5109.846534,5109.930552,5109.932137
0.001117,0.000000,0.000000,0.000000,5111.250709,5111.336228,5111.420791,5111.422264
0.001157,0.000000,0.000000,0.000000,5112.737604,5112.826834,5112.910611,5112.912205
0.001060,0.000000,0.000000,0.000000,5114.214925,5114.296719,5114.372422,5114.373433
0.001107,0.000000,0.000000,0.000000,5115.665802,5115.751229,5115.835078,5115.836697
0.001056,0.000000,0.000000,0.000000,5117.149518,5117.235641,5117.319898,5117.321061
0.000871,0.000000,0.000000,0.000000,5118.660463,5118.749354,5118.834396,5118.836049
0.001086,0.000000,0.000000,0.000000,5120.141626,5120.226562,5120.307645,5120.309275
0.001049,0.000000,0.000000,0.000000,5121.613974,5121.704381,5121.793054,5121.794727
0.001134,0.000000,0.000000,0.000000,5123.117928,5123.209824,5123.291447,5123.293093
0.001109,0.000000,0.000000,0.000000,5124.604042,5124.697149,5124.780413,5124.781994
0.001116,0.000000,0.000000,0.000000,5126.091743,5126.177238,5126.261259,5126.262892
0.001223,0.000000,0.000000,0.000000,5127.582240,5127.667032,5127.748571,5127.750266
0.001047,0.000000,0.000000,0.000000,5129.063719,5129.149470,5129.233785,5129.234867
0.001107,0.000000,0.000000,0.000000,5130.540545,5130.625177,5130.708968,5130.710630
0.001143,0.000000,0.000000,0.000000,5132.021961,5132.108233,5132.195245,5132.196816
0.001102,0.000000,0.000000,0.000000,5133.510187,5133.599625,5133.687656,5133.689281
0.001215,0.000000,0.000000,0.000000,5135.012657,5135.099409,5135.183693,5135.185451
0.001094,0.000000,0.000000,0.000000,5136.501692,5136.587447,5136.671689,5136.673428
0.001186,0.000000,0.000000,0.000000,5137.980537,5138.065350,5138.148628,5138.150175
0.001061,0.000000,0.000000,0.000000,5139.466449,5139.552243,5139.636732,5139.638300
0.001151,0.000000,0.000000,0.000000,5140.946430,5141.032409,5141.116961,5141.118445
0.001118,0.000000,0.000000,0.000000,5142.425600,5142.511420,5142.595831,5142.597382
0.001049,0.000000,0.000000,0.000000,5143.917834,5144.004311,5144.088921,5144.090635
0.001146,0.000000,0.000000,0.000000,5145.405747,5145.490673,5145.571017,5145.572736
0.001099,0.000000,0.000000,0.000000,5146.890496,5146.979814,5147.067286,5147.068993
0.000948,0.000000,0.000000,0.000000,5148.425957,5148.515527,5148.602863,5148.604517
0.001114,0.000000,0.000000,0.000000,5149.933089,5150.022351,5150.110020,5150.111583
0.001134,0.000000,0.000000,0.000000,5151.430156,5151.530871,5151.613638,5151.615366
0.001122,0.000000,0.000000,0.000000,5152.914681,5152.992684,5153.068159,5153.069183
0.001060,0.000000,0.000000,0.000000,5154.370383,5154.459013,5154.547631,5154.549345
0.001147,0.000000,0.000000,0.000000,5155.864565,5155.949616,5156.034093,5156.035688
0.001077,0.000000,0.000000,0.000000,5157.363579,5157.452530,5157.539807,5157.541502
0.001114,0.000000,0.000000,0.000000,5158.863013,5158.948449,5159.032467,5159.034114
0.001086,0.000000,0.000000,0.000000,5160.344808,5160.444283,5160.533022,5160.534632
0.001106,0.000000,0.000000,0.000000,5161.850166,5161.936116,5162.020869,5162.022460
0.001156,0.000000,0.000000,0.000000,5163.337606,5163.419360,5163.500391,5163.502081
0.001085,0.000000,0.000000,0.000000,5164.799713,5164.881446,5164.961580,5164.963268
0.001079,0.000000,0.000000,0.000000,5166.264824,5166.349928,5166.433130,5166.434869
0.001051,0.000000,0.000000,0.000000,5167.757049,5167.842476,5167.925448,5167.927090
0.001183,0.000000,0.000000,0.000000,5169.238201,5169.328308,5169.416409,5169.417915
0.001108,0.000000,0.000000,0.000000,5170.736635,5170.819880,5170.901278,5170.902744
0.001159,0.000000,0.000000,0.000000,5172.203104,5172.285266,5172.366142,5172.367675
0.001173,0.000000,0.000000,0.000000,5173.671988,5173.776308,5173.863650,5173.865127
0.001118,0.000000,0.000000,0.000000,5175.185198,5175.268304,5175.348616,5175.349981
0.001077,0.000000,0.000000,0.000000,5176.656566,5176.745134,5176.829124,5176.830717
0.000882,0.000000,0.000000,0.000000,5178.175763,5178.261812,5178.345216,5178.346713
0.001018,0.000000,0.000000,0.000000,5179.654252,5179.743851,5179.831849,5179.833503
0.001169,0.000000,0.000000,0.000000,5181.158178,5181.244276,5181.328910,5181.330588
0.001118,0.000000,0.000000,0.000000,5182.643215,5182.730025,5182.814652,5182.816438
0.001087,0.000000,0.000000,0.000000,5184.124405,5184.210435,5184.294790,5184.296437
0.001074,0.000000,0.000000,0.000000,5185.607252,5185.690873,5185.771774,5185.773415
0.001097,0.000000,0.000000,0.000000,5187.078367,5187.159620,5187.239484,5187.241112
0.001086,0.000000,0.000000,0.000000,5188.551024,5188.642530,5188.730533,5188.732102
0.001106,0.000000,0.000000,0.000000,5190.035258,5190.112975,5190.188728,5190.189739
0.001063,0.000000,0.000000,0.000000,5191.486168,5191.578433,5191.663137,5191.664776
0.001091,0.000000,0.000000,0.000000,5192.972864,5193.061071,5193.143717,5193.145372
0.001102,0.000000,0.000000,0.000000,5194.458806,5194.547440,5194.634549,5194.636169
0.001141,0.000000,0.000000,0.000000,5195.956140,5196.041769,5196.125784,5196.127426
0.001087,0.000000,0.000000,0.000000,5197.441771,5197.526107,5197.606023,5197.607669
0.001119,0.000000,0.000000,0.000000,5198.910909,5199.002695,5199.090249,5199.091872
0.001141,0.000000,0.000000,0.000000,5200.408327,5200.494777,5200.580794,5200.582435
0.001140,0.000000,0.000000,0.000000,5201.899100,5201.985017,5202.069729,5202.071331
0.001134,0.000000,0.000000,0.000000,5203.376767,5203.463842,5203.544403,5203.546085
0.001301,0.000000,0.000000,0.000000,5204.853102,5204.937021,5205.018504,5205.020208
0.001067,0.000000,0.000000,0.000000,5206.328358,5206.409190,5206.488728,5206.490224
0.000952,0.000000,0.000000,0.000000,5207.815359,5207.902426,5207.987814,5207.989398
0.001110,0.000000,0.000000,0.000000,5209.306490,5209.395679,5209.483703,5209.485334
0.001096,0.000000,0.000000,0.000000,5210.806855,5210.892482,5210.976625,5210.978218
0.001190,0.000000,0.000000,0.000000,5212.284501,5212.369785,5212.453069,5212.454694
0.001063,0.000000,0.000000,0.000000,5213.778327,5213.859979,5213.940386,5213.942078
0.001172,0.000000,0.000000,0.000000,5215.243929,5215.323610,5215.401843,5215.403608
0.001075,0.000000,0.000000,0.000000,5216.702288,5216.788915,5216.873446,5216.875087
0.001145,0.000000,0.000000,0.000000,5218.193506,5218.272930,5218.351399,5218.353201
0.001047,0.000000,0.000000,0.000000,5219.651195,5219.738545,5219.823016,5219.824665
0.001094,0.000000,0.000000,0.000000,5221.135031,5221.221843,5221.305882,5221.307455
0.000992,0.000000,0.000000,0.000000,5222.616961,5222.699040,5222.779402,5222.780871
0.001064,0.000000,0.000000,0.000000,5224.077524,5224.161793,5224.241338,5224.242983
0.001129,0.000000,0.000000,0.000000,5225.543724,5225.626212,5225.706936,5225.708469
0.001120,0.000000,0.000000,0.000000,5227.020574,5227.109797,5227.197498,5227.199185
0.001398,0.000000,0.000000,0.000000,5228.520871,5228.608437,5228.692682,5228.694180
0.001140,0.000000,0.000000,0.000000,5230.012677,5230.098419,5230.183730,5230.184955
0.001117,0.000000,0.000000,0.000000,5231.493038,5231.577746,5231.661144,5231.662619
0.001174,0.000000,0.000000,0.000000,5232.966366,5233.053697,5233.137743,5233.139341
0.001099,0.000000,0.000000,0.000000,5234.444903,5234.526610,5234.607183,5234.608731
0.001089,0.000000,0.000000,0.000000,5235.911562,5235.994900,5236.075153,5236.076696
0.000943,0.000000,0.000000,0.000000,5237.418410,5237.502408,5237.584811,5237.586282
0.001290,0.000000,0.000000,0.000000,5238.889945,5238.974642,5239.057769,5239.059249
0.001106,0.000000,0.000000,0.000000,5240.360707,5240.444120,5240.524654,5240.526213
0.001134,0.000000,0.000000,0.000000,5241.836754,5241.925452,5242.012515,5242.014010
0.001132,0.000000,0.000000,0.000000,5243.329888,5243.419172,5243.506084,5243.507623
0.001087,0.000000,0.000000,0.000000,5244.825436,5244.910687,5244.994651,5244.996259
0.002237,0.000000,0.000000,0.000000,5246.293495,5246.368013,5246.441360,5246.442373
0.001141,0.000000,0.000000,0.000000,5247.728152,5247.810389,5247.891088,5247.892794
0.001101,0.000000,0.000000,0.000000,5249.201805,5249.291464,5249.379628,5249.381198
0.001152,0.000000,0.000000,0.000000,5250.691233,5250.773489,5250.853819,5250.855363
0.001136,0.000000,0.000000,0.000000,5252.156267,5252.245947,5252.333589,5252.334995
