DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.000980,0.000000,0.000000,0.000000,12365.670046,12366.187406,12367.012369,12367.013591
0.001100,0.000000,0.000000,0.000000,12368.312754,12368.393868,12369.102902,12369.104321
0.001121,0.000000,0.000000,0.000000,12370.402235,12370.488085,12371.250696,12371.251887
0.001159,0.000000,0.000000,0.000000,12372.563828,12372.642091,12373.401478,12373.402814
0.001127,0.000000,0.000000,0.000000,12374.707075,12374.795750,12375.565406,12375.566929
0.001220,0.000000,0.000000,0.000000,12376.877179,12376.958833,12377.676144,12377.677797
0.001373,0.000000,0.000000,0.000000,12378.971565,12379.052528,12379.771574,12379.773274
0.001102,0.000000,0.000000,0.000000,12381.067972,12381.145521,12381.835175,12381.836779
0.001146,0.000000,0.000000,0.000000,12383.133340,12383.223565,12384.020540,12384.021857
0.001066,0.000000,0.000000,0.000000,12385.341675,12385.418788,12386.103466,12386.104817
0.001114,0.000000,0.000000,0.000000,12387.398577,12387.475905,12388.163252,12388.164681
0.001170,0.000000,0.000000,0.000000,12389.460253,12389.547744,12390.302767,12390.304154
0.001195,0.000000,0.000000,0.000000,12391.610769,12391.692358,12392.489632,12392.490949
0.001062,0.000000,0.000000,0.000000,12393.796086,12393.879125,12394.595789,12394.597178
0.001131,0.000000,0.000000,0.000000,12395.886125,12395.963741,12396.718323,12396.719673
0.001046,0.000000,0.000000,0.000000,12398.013206,12398.094775,12398.885286,12398.886518
0.001097,0.000000,0.000000,0.000000,12400.177837,12400.258406,12400.968190,12400.969502
0.001225,0.000000,0.000000,0.000000,12402.260892,12402.338966,12403.020171,12403.021435
0.001129,0.000000,0.000000,0.000000,12404.308844,12404.387120,12405.078230,12405.079527
0.001103,0.000000,0.000000,0.000000,12406.371656,12406.455916,12407.205056,12407.206373
0.000826,0.000000,0.000000,0.000000,12408.543673,12408.625652,12408.937574,12408.938658
0.001029,0.000000,0.000000,0.000000,12410.240897,12410.321999,12410.642502,12410.644240
0.001147,0.000000,0.000000,0.000000,12411.952230,12412.039211,12412.379168,12412.380821
0.001100,0.000000,0.000000,0.000000,12413.692031,12413.770545,12414.152246,12414.153910
0.001132,0.000000,0.000000,0.000000,12415.446946,12415.528809,12415.848217,12415.849606
0.001233,0.000000,0.000000,0.000000,12417.154085,12417.240830,12417.560430,12417.562091
0.001208,0.000000,0.000000,0.000000,12418.862207,12418.943410,12419.333430,12419.335107
0.001659,0.000000,0.000000,0.000000,12420.626112,12420.707527,12421.104166,12421.105818
0.001139,0.000000,0.000000,0.000000,12422.403068,12422.483221,12422.801096,12422.802804
0.001129,0.000000,0.000000,0.000000,12424.105451,12424.187240,12424.506678,12424.508412
0.001112,0.000000,0.000000,0.000000,12425.803773,12425.882066,12426.268143,12426.269862
0.001104,0.000000,0.000000,0.000000,12427.564460,12427.649094,12427.982238,12427.983799
0.001149,0.000000,0.000000,0.000000,12429.299455,12429.385473,12429.724191,12429.725284
0.001131,0.000000,0.000000,0.000000,12431.037143,12431.119541,12431.437554,12431.439089
0.001157,0.000000,0.000000,0.000000,12432.732293,12432.813184,12433.133010,12433.134485
0.001197,0.000000,0.000000,0.000000,12434.436183,12434.521739,12434.860399,12434.861921
0.001122,0.000000,0.000000,0.000000,12436.169715,12436.251702,12436.575286,12436.576966
0.001069,0.000000,0.000000,0.000000,12437.873391,12437.954475,12438.273001,12438.274516
0.001105,0.000000,0.000000,0.000000,12439.577029,12439.659220,12439.980145,12439.981756
0.001174,0.000000,0.000000,0.000000,12441.286580,12441.372547,12441.704642,12441.705727
0.000997,0.000000,0.000000,0.000000,12443.046632,12443.129736,12443.452988,12443.454611
0.001074,0.000000,0.000000,0.000000,12444.750964,12444.850737,12445.164322,12445.165918
0.001212,0.000000,0.000000,0.000000,12446.461756,12446.542753,12446.854611,12446.856328
0.001171,0.000000,0.000000,0.000000,12448.147841,12448.229080,12448.542574,12448.543672
0.001160,0.000000,0.000000,0.000000,12449.849554,12449.931431,12450.244244,12450.245893
0.001205,0.000000,0.000000,0.000000,12451.545105,12451.626734,12451.935752,12451.937569
0.001105,0.000000,0.000000,0.000000,12453.239015,12453.317528,12453.626562,12453.628138
0.001079,0.000000,0.000000,0.000000,12454.919663,12455.001150,12455.313846,12455.315549
0.001222,0.000000,0.000000,0.000000,12456.612497,12456.698161,12457.014823,12457.016551
0.001125,0.000000,0.000000,0.000000,12458.327714,12458.405891,12458.716724,12458.718399
0.001095,0.000000,0.000000,0.000000,12460.010852,12460.102261,12460.430337,12460.432046
0.001024,0.000000,0.000000,0.000000,12461.752584,12461.835803,12462.151982,12462.153653
0.001137,0.000000,0.000000,0.000000,12463.450094,12463.534605,12463.854808,12463.856516
0.001077,0.000000,0.000000,0.000000,12465.162092,12465.248088,12465.563178,12465.564939
0.001206,0.000000,0.000000,0.000000,12466.882500,12466.973127,12467.295115,12467.296796
0.001122,0.000000,0.000000,0.000000,12468.610216,12468.691809,12469.006665,12469.008302
0.001113,0.000000,0.000000,0.000000,12470.315837,12470.400844,12470.713688,12470.715409
0.001109,0.000000,0.000000,0.000000,12472.033184,12472.118869,12472.436485,12472.438159
0.001145,0.000000,0.000000,0.000000,12473.744043,12473.822212,12474.131756,12474.133397
0.001156,0.000000,0.000000,0.000000,12475.433624,12475.521079,12475.839900,12475.841660
0.001056,0.000000,0.000000,0.000000,12477.176316,12477.261002,12477.578032,12477.579672
0.001094,0.000000,0.000000,0.000000,12478.881861,12478.961544,12479.273812,12479.275526
0.001125,0.000000,0.000000,0.000000,12480.572089,12480.650838,12480.961564,12480.963224
0.001196,0.000000,0.000000,0.000000,12482.260020,12482.342520,12482.653379,12482.655096
0.001137,0.000000,0.000000,0.000000,12483.951199,12484.032714,12484.346523,12484.348185
0.001219,0.000000,0.000000,0.000000,12485.649574,12485.726825,12486.034149,12486.035735
0.001095,0.000000,0.000000,0.000000,12487.330383,12487.425309,12487.739263,12487.740830
0.001112,0.000000,0.000000,0.000000,12489.034231,12489.115207,12489.426790,12489.428278
0.001157,0.000000,0.000000,0.000000,12490.720307,12490.799856,12491.108677,12491.110252
0.001194,0.000000,0.000000,0.000000,12492.409140,12492.490491,12492.801551,12492.803186
