DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.000978,0.000000,0.000000,0.000000,14490.428542,14490.514759,14494.643823,14494.644877
0.001085,0.000000,0.000000,0.000000,14495.953596,14496.037406,14499.892683,14499.893740
0.002432,0.000000,0.000000,0.000000,14501.196059,14501.281500,14505.231303,14505.232342
0.001218,0.000000,0.000000,0.000000,14506.540906,14506.625852,14510.546006,14510.547008
0.001161,0.000000,0.000000,0.000000,14511.854831,14511.939382,14515.862032,14515.863093
0.001191,0.000000,0.000000,0.000000,14517.189095,14517.284171,14521.669214,14521.670217
0.001144,0.000000,0.000000,0.000000,14523.005880,14523.090424,14527.173027,14527.174034
0.001117,0.000000,0.000000,0.000000,14528.489247,14528.574457,14532.650641,14532.651682
0.001125,0.000000,0.000000,0.000000,14533.969131,14534.049687,14537.922560,14537.923571
0.001784,0.000000,0.000000,0.000000,14539.232750,14539.318555,14543.341471,14543.342547
0.001187,0.000000,0.000000,0.000000,14544.657022,14544.743264,14548.841538,14548.842588
0.001185,0.000000,0.000000,0.000000,14550.148365,14550.232934,14554.138752,14554.139814
0.001246,0.000000,0.000000,0.000000,14555.473959,14555.568103,14559.920877,14559.921914
0.001121,0.000000,0.000000,0.000000,14561.245709,14561.329425,14565.355090,14565.356183
0.001100,0.000000,0.000000,0.000000,14566.662300,14566.743167,14570.646380,14570.647458
0.001051,0.000000,0.000000,0.000000,14571.963908,14572.053620,14576.261525,14576.262581
0.001136,0.000000,0.000000,0.000000,14577.586118,14577.667822,14581.596192,14581.597185
0.001227,0.000000,0.000000,0.000000,14582.898820,14582.979860,14586.747857,14586.748870
0.001166,0.000000,0.000000,0.000000,14588.054063,14588.140316,14592.292956,14592.294037
0.001184,0.000000,0.000000,0.000000,14593.606038,14593.686640,14597.558781,14597.559799
0.000850,0.000000,0.000000,0.000000,14598.896997,14598.982575,14600.827044,14600.828120
0.001288,0.000000,0.000000,0.000000,14602.136438,14602.216242,14603.879387,14603.880429
0.001076,0.000000,0.000000,0.000000,14605.179241,14605.264997,14606.943132,14606.944227
0.001238,0.000000,0.000000,0.000000,14608.252385,14608.334093,14610.101020,14610.102092
0.001197,0.000000,0.000000,0.000000,14611.400662,14611.486263,14613.174191,14613.175237
0.001136,0.000000,0.000000,0.000000,14614.491648,14614.576666,14616.324320,14616.325385
0.001113,0.000000,0.000000,0.000000,14617.641470,14617.731683,14619.502574,14619.503607
0.001292,0.000000,0.000000,0.000000,14620.830597,14620.919312,14622.746850,14622.747879
0.001176,0.000000,0.000000,0.000000,14624.062892,14624.149336,14625.991611,14625.992767
0.001178,0.000000,0.000000,0.000000,14627.310924,14627.397295,14629.231124,14629.232229
0.001197,0.000000,0.000000,0.000000,14630.545007,14630.639224,14632.585633,14632.586641
