DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.185982,0.000000,0.000000,0.000000,22486.784942,22486.789862,22486.795578,22486.797424
0.204997,0.000000,0.000000,0.000000,22593.025560,22593.031464,22593.039437,22593.041013
0.189588,0.000000,0.000000,0.000000,22595.316889,22595.322674,22595.326380,22595.327959
0.205336,0.000000,0.000000,0.000000,22597.608783,22597.616839,22597.620614,22597.621520
0.184596,0.000000,0.000000,0.000000,22599.896609,22599.900238,22599.902597,22599.903100
0.204859,0.000000,0.000000,0.000000,22602.174111,22602.183695,22602.184621,22602.184959
0.205812,0.000000,0.000000,0.000000,22604.455837,22604.459782,22604.463428,22604.464540
0.193626,0.000000,0.000000,0.000000,22606.739622,22606.744209,22606.746624,22606.747151
0.185087,0.000000,0.000000,0.000000,22609.019617,22609.025333,22609.027429,22609.028151
0.188819,0.375767,0.207294,0.392811,24722.924820,24722.930476,24722.934228,24722.935684
0.187432,0.382161,0.193266,0.382805,24834.499279,24834.503259,24834.509631,24834.511431
0.188281,0.379896,0.207533,0.397333,24890.977856,24890.983890,24890.984820,24890.985507
0.183856,0.000000,0.000000,0.000000,25257.651886,25257.659041,25257.678091,25257.679580
0.206854,0.000000,0.000000,0.000000,27023.958458,27023.964579,27023.969304,27023.970293
0.190155,0.388042,0.400047,0.400079,29755.233182,29755.238591,29755.244534,29755.245909
0.205032,0.378986,0.218641,0.406804,29891.652889,29891.665943,29891.667653,29891.668035
0.186892,0.417850,0.419348,0.419348,30216.941226,30216.948701,30216.951127,30216.951930
0.206177,0.392592,0.407914,0.407914,30328.758045,30328.762793,30328.764833,30328.765281
0.203687,0.402929,0.403704,0.403704,31404.208950,31404.213626,31404.215331,31404.215795
0.204476,0.393987,0.207613,0.395977,32281.307890,32281.319305,32281.321009,32281.321415
0.199348,0.405232,0.210596,0.407625,32426.900695,32426.907634,32426.909159,32426.909759
0.203520,0.000000,0.000000,0.000000,33784.298106,33784.319640,33784.322123,33784.322690
0.215445,0.000000,0.000000,0.000000,33943.179538,33943.185933,33943.189845,33943.190863
0.189351,0.205472,0.000000,0.000000,34076.389244,34076.394624,34076.397983,34076.399593
0.184851,0.207979,0.208398,0.000000,34224.255404,34224.260753,34224.262291,34224.263555
0.206845,0.211165,0.206438,0.210149,34676.540556,34676.545377,34676.548476,34676.550376
0.207135,0.211425,0.212463,0.221952,34712.652559,34712.658657,34712.661133,34712.662323
0.186534,0.000000,0.000000,0.000000,34738.443263,34738.448426,34738.463398,34738.463717
0.185677,0.378968,0.387670,0.387670,34936.473730,34936.481240,34936.483166,34936.484297
0.208250,0.397058,0.415376,1.404897,35493.617122,35493.622027,35493.627916,35493.628666
0.189085,0.393610,0.409324,1.405227,37359.951933,37359.958018,37359.959697,37359.960476
0.187354,0.407000,0.413786,1.412627,37489.099484,37489.104435,37489.110082,37489.110457
0.185669,0.577966,0.401708,1.583108,37712.071625,37712.074957,37712.076904,37712.077086
0.206566,0.565098,0.421772,1.567676,37793.601673,37793.605719,37793.607367,37793.607506
0.190413,0.000000,0.000000,0.000000,61187.804634,61187.808505,61187.832605,61187.832964
0.186574,0.211696,0.208087,0.211696,66576.555689,66576.560556,66576.563353,66576.563654
0.184440,0.000000,0.000000,0.000000,66590.979812,66590.984436,66590.987967,66590.989135
0.183876,0.208619,0.211736,0.214121,66623.891317,66623.896624,66623.899406,66623.901572
0.184158,0.204614,0.209860,0.216258,66668.244325,66668.248999,66668.250638,66668.251509
0.204700,0.000000,0.000000,0.000000,66670.102991,66670.114791,66670.119419,66670.120166
0.189817,0.612487,0.409403,1.615053,66893.729097,66893.736995,66893.740147,66893.741464
0.190244,0.563135,0.382616,1.566361,73400.727368,73400.734766,73400.737755,73400.739272
0.205043,0.238424,0.209771,0.238424,75075.889846,75075.894987,75075.896748,75075.896950
0.186646,0.807231,2.034642,2.034747,75372.869297,75372.876908,75372.877659,75372.877833
