DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.001394,0.009541,0.004779,1.005626,1740392.525058,1740392.733338,1740393.352965,1740393.354935
0.001339,0.006302,0.005014,1.001961,1740396.383073,1740396.580414,1740397.156157,1740397.158292
0.001589,0.005946,0.005078,1.002129,1740400.184068,1740400.377208,1740400.940134,1740400.942275
0.001604,0.005921,0.004785,1.002160,1740403.968926,1740404.154856,1740404.708121,1740404.710159
0.001659,0.005969,0.004703,1.002403,1740407.736118,1740407.929404,1740408.503666,1740408.505424
0.001358,0.005960,0.005056,1.001859,1740411.530846,1740411.744238,1740412.371884,1740412.373701
0.001646,0.010595,0.004784,1.006881,1740415.404767,1740415.603454,1740416.177502,1740416.179523
0.001506,0.010924,0.005017,1.007138,1740419.210516,1740419.401440,1740419.968888,1740419.970719
0.001630,0.009457,0.005098,1.005465,1740423.000797,1740423.192928,1740423.764601,1740423.766567
0.005981,0.006127,0.009057,1.003356,1740426.792924,1740427.005445,1740427.636127,1740427.637823
0.001434,0.005593,0.004518,1.002051,1740430.664112,1740430.861332,1740431.427466,1740431.429124
0.001514,0.006250,0.004584,1.002660,1740434.455547,1740434.662916,1740435.279923,1740435.282031
0.004019,0.006153,0.005934,1.004563,1740438.309213,1740438.521075,1740439.144772,1740439.146949
0.001107,0.009961,0.005160,1.005806,1740442.177224,1740442.369213,1740442.939461,1740442.941347
0.001609,0.006138,0.004982,1.002319,1740445.968111,1740446.186252,1740446.819903,1740446.821497
0.001542,0.006441,0.004743,1.003000,1740449.849008,1740450.042237,1740450.618834,1740450.620829
0.001493,0.005890,0.004981,1.002243,1740453.647048,1740453.837451,1740454.404915,1740454.407162
0.001637,0.006466,0.005009,1.002578,1740457.434698,1740457.623853,1740458.186008,1740458.188360
0.001421,0.006024,0.005344,1.001723,1740461.215436,1740461.422437,1740462.026458,1740462.028287
0.001527,0.012027,0.004450,1.008541,1740465.061152,1740465.249382,1740465.807626,1740465.808826
0.001557,0.005865,0.004892,1.002279,1740468.835040,1740469.029509,1740469.606160,1740469.608159
0.001492,0.006189,0.004600,1.002516,1740472.635226,1740472.846506,1740473.475166,1740473.477148
0.001693,0.005907,0.004962,1.002101,1740476.502916,1740476.693045,1740477.260105,1740477.262035
