DNS A Query Time,DNS TXT Query Time,DNS TLSA Query Time,DNS Total Query Time,SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.006664,0.002565,0.001044,0.006296,1738748.796121,1738749.003652,1738749.617430,1738749.619193
0.005845,0.002870,0.001135,0.007092,1738751.834865,1738752.023791,1738752.585683,1738752.587151
0.005919,0.003089,0.001280,0.007059,1738754.821659,1738755.029574,1738755.648989,1738755.650505
0.007376,0.003024,0.001441,0.007177,1738757.863343,1738758.057940,1738758.614064,1738758.615729
0.007560,0.005213,0.004232,0.006947,1738760.831027,1738761.019239,1738761.577620,1738761.579001
0.005070,0.002829,0.001270,0.007540,1738763.796365,1738763.987956,1738764.553487,1738764.555124
0.006913,0.002867,0.001250,0.006497,1738766.769358,1738766.958269,1738767.519714,1738767.520738
0.006070,0.003255,0.000862,0.006740,1738769.753232,1738769.961508,1738770.576709,1738770.578377
0.006680,0.003058,0.001380,0.006976,1738772.795431,1738772.986797,1738773.555610,1738773.557191
0.006882,0.003178,0.003794,0.009165,1738775.770978,1738775.959410,1738776.519230,1738776.520690
0.006837,0.002997,0.001503,0.007259,1738778.732926,1738778.919971,1738779.475379,1738779.477126
0.006390,0.002541,0.001319,0.006857,1738781.712823,1738781.924027,1738782.546911,1738782.548299
0.005649,0.002883,0.001153,0.007383,1738784.764879,1738784.954622,1738785.519837,1738785.521353
0.006367,0.003153,0.001186,0.007709,1738787.759599,1738787.970669,1738788.598270,1738788.599852
0.006099,0.003336,0.001359,0.007096,1738790.832926,1738791.049343,1738791.664244,1738791.665601
0.006750,0.002994,0.001408,0.007035,1738793.881204,1738794.078404,1738794.637536,1738794.638711
0.006619,0.002700,0.001420,0.006718,1738796.852639,1738797.042302,1738797.602288,1738797.603955
0.006020,0.003231,0.001058,0.006831,1738799.823014,1738800.016078,1738800.590757,1738800.592336
0.010548,0.003846,0.007840,0.013622,1738802.811581,1738802.998096,1738803.552060,1738803.553551
0.006208,0.003212,0.001350,0.008048,1738805.774957,1738805.969001,1738806.546979,1738806.548690
0.001251,0.002814,0.001753,0.007973,1738808.759674,1738808.950392,1738809.517264,1738809.518995
0.008349,0.003408,0.005155,0.010957,1738811.754404,1738811.962867,1738812.582484,1738812.584104
0.004383,0.003906,0.001161,0.007122,1738814.797154,1738815.856022,1738816.423808,1738816.425218
0.006607,0.003116,0.001316,0.006661,1738818.638345,1738818.827802,1738819.386294,1738819.387577
0.006775,0.002954,0.001005,0.006540,1738821.604963,1738821.799802,1738822.370026,1738822.371611
0.006031,0.003049,0.001187,0.007315,1738824.609389,1738824.823793,1738825.450228,1738825.451447
0.006163,0.002987,0.001257,0.007595,1738827.682346,1738827.887149,1738828.496963,1738828.498206
0.005440,0.003016,0.001248,0.007697,1738830.734812,1738830.944454,1738831.568374,1738831.569764
0.009019,0.003155,0.005688,0.012122,1738833.786364,1738833.970594,1738834.520354,1738834.522066
0.009593,0.002693,0.006162,0.012080,1738836.740768,1738836.941326,1738837.510149,1738837.511799
0.005767,0.003241,0.001030,0.007069,1738839.740534,1738839.930429,1738840.120345,1738840.121801
0.006168,0.003062,0.000978,0.006714,1738842.357443,1738842.566903,1738842.775635,1738842.777064
0.004706,0.003041,0.001130,0.007338,1738844.992711,1738845.187459,1738845.375102,1738845.376385
0.006162,0.003344,0.001173,0.007410,1738847.591750,1738847.780678,1738847.969648,1738847.971332
0.006442,0.003418,0.001527,0.007616,1738850.209347,1738850.424755,1738850.636474,1738850.637854
0.008491,0.003553,0.005231,0.011363,1738852.876880,1738853.084261,1738853.291207,1738853.292710
0.006005,0.003088,0.001349,0.007137,1738855.511737,1738855.704736,1738855.897932,1738855.899374
0.006029,0.002982,0.001116,0.006042,1738858.115523,1738858.303586,1738858.491980,1738858.493453
0.007133,0.002893,0.001167,0.007106,1738860.729247,1738860.937630,1738861.146828,1738861.148280
0.006549,0.003003,0.001465,0.007575,1738863.366013,1738863.559238,1738863.749965,1738863.751559
0.006221,0.003335,0.000928,0.006648,1738865.968270,1738866.158287,1738866.348252,1738866.349790
0.009686,0.003278,0.006488,0.011698,1738868.592718,1738868.809123,1738869.019769,1738869.021257
0.007023,0.002755,0.001146,0.006274,1738871.232338,1738871.421712,1738871.606711,1738871.608071
0.006925,0.002771,0.001373,0.006974,1738873.830456,1738874.026738,1738874.221534,1738874.223027
0.005770,0.003010,0.001164,0.007202,1738876.460268,1738876.672419,1738876.882987,1738876.884621
0.010430,0.002820,0.007209,0.012755,1738879.107717,1738879.317303,1738879.507637,1738879.509303
0.006384,0.002859,0.001329,0.007376,1738881.744995,1738881.953815,1738882.163490,1738882.165022
0.010784,0.003304,0.007446,0.013192,1738884.378446,1738884.563707,1738884.749603,1738884.751171
0.006218,0.003124,0.001010,0.006948,1738886.984662,1738887.191474,1738887.397602,1738887.399076
0.005369,0.003629,0.001236,0.007465,1738889.637145,1738889.858222,1738890.069574,1738890.070942
0.006056,0.002681,0.001042,0.006761,1738892.309797,1738892.523194,1738892.735438,1738892.736924
0.004274,0.003040,0.001276,0.007666,1738894.970492,1738895.176379,1738895.382686,1738895.384144
0.005081,0.004723,0.002267,0.007976,1738897.599989,1738897.789540,1738897.977780,1738897.979422
0.006175,0.003059,0.001027,0.006947,1738900.191032,1738900.375849,1738900.561459,1738900.562928
0.008375,0.003275,0.005102,0.011009,1738902.779072,1738902.967799,1738903.156774,1738903.158267
0.006044,0.003432,0.001034,0.006957,1738905.371707,1738905.557754,1738905.743971,1738905.745701
0.006382,0.003358,0.001202,0.007748,1738907.979725,1738908.187304,1738908.394618,1738908.395879
0.012774,0.003272,0.007628,0.013585,1738910.635202,1738910.840926,1738911.046526,1738911.047811
0.006102,0.003086,0.000964,0.006599,1738913.278343,1738913.482735,1738913.687796,1738913.689216
0.005679,0.002960,0.001290,0.006593,1738915.900235,1738916.085918,1738916.269741,1738916.271310
0.006489,0.003210,0.001498,0.007490,1738918.520032,1738918.729156,1738918.935572,1738918.937062
0.004285,0.003323,0.001146,0.007350,1738921.174023,1738921.383597,1738921.591168,1738921.592260
0.006414,0.002994,0.000845,0.006589,1738923.808090,1738924.008811,1738924.194985,1738924.196500
0.004242,0.003097,0.001106,0.007295,1738926.415318,1738926.609405,1738926.798470,1738926.800111
0.006531,0.002449,0.001390,0.006446,1738929.014658,1738929.203241,1738929.389539,1738929.390774
0.009108,0.002926,0.005862,0.011084,1738931.608245,1738931.799957,1738931.983726,1738931.985187
0.004648,0.002956,0.001043,0.007245,1738934.203821,1738934.395827,1738934.585039,1738934.586250
0.005976,0.002993,0.001068,0.006857,1738936.801517,1738936.998411,1738937.184868,1738937.186628
0.006423,0.003071,0.001201,0.007127,1738939.418471,1738939.625099,1738939.828057,1738939.829182
0.006668,0.003029,0.000945,0.006729,1738942.062963,1738942.269231,1738942.474346,1738942.475718
0.007063,0.003060,0.001195,0.006744,1738944.706995,1738944.916955,1738945.121035,1738945.122449
0.006625,0.003171,0.001492,0.007593,1738947.355770,1738947.561685,1738947.766281,1738947.767659
0.005872,0.003659,0.001166,0.007806,1738950.001081,1738950.207836,1738950.412026,1738950.413609
0.006348,0.003032,0.000892,0.006422,1738952.646956,1738952.855028,1738953.059516,1738953.060962
0.006033,0.003401,0.001046,0.007055,1738955.297336,1738955.509653,1738955.717677,1738955.719080
0.005313,0.003035,0.000985,0.006706,1738957.941071,1738958.135828,1738958.328254,1738958.329811
0.004987,0.002930,0.001683,0.007312,1738960.563309,1738960.769080,1738960.972779,1738960.973974
0.007032,0.002651,0.001197,0.006595,1738963.186739,1738963.373120,1738963.557580,1738963.559140
0.004292,0.003080,0.001203,0.007969,1738965.775243,1738965.962743,1738966.147318,1738966.148867
0.010732,0.009139,0.007293,0.010682,1738968.386653,1738968.595002,1738968.799451,1738968.800886
0.007283,0.002910,0.001432,0.007103,1738971.020582,1738971.214330,1738971.404735,1738971.406190
0.008749,0.003194,0.005548,0.011423,1738973.651543,1738973.867289,1738974.078969,1738974.080476
0.008731,0.002753,0.005312,0.010148,1738976.299744,1738976.488363,1738976.674984,1738976.676603
0.008946,0.003220,0.005585,0.011655,1738978.921670,1738979.133549,1738979.342267,1738979.343930
0.010708,0.003063,0.007450,0.013887,1738981.583794,1738981.790926,1738981.994585,1738981.996203
0.006601,0.003396,0.001444,0.007401,1738984.228689,1738984.433997,1738984.637026,1738984.638478
0.009798,0.007957,0.006391,0.009414,1738986.873168,1738987.078448,1738987.281262,1738987.282605
0.009053,0.007029,0.005721,0.008479,1738989.504198,1738989.710102,1738989.900480,1738989.902117
0.009496,0.003497,0.006518,0.012058,1738992.141822,1738992.349888,1738992.555754,1738992.556969
0.006242,0.003312,0.001349,0.007319,1738994.789334,1738994.994662,1738995.197301,1738995.198998
0.004304,0.003133,0.001106,0.007247,1738997.430484,1738997.621401,1738997.809750,1738997.811254
0.007037,0.003283,0.001017,0.007446,1739000.045077,1739000.252242,1739000.457186,1739000.458716
0.010222,0.003169,0.006756,0.012278,1739002.683338,1739002.875579,1739003.065606,1739003.067033
0.005495,0.003111,0.000908,0.006764,1739005.277832,1739005.461882,1739005.643610,1739005.645148
0.005362,0.003132,0.001113,0.007604,1739007.862788,1739008.052742,1739008.240368,1739008.241830
0.009807,0.003006,0.006460,0.011895,1739010.454075,1739010.643298,1739010.825714,1739010.827705
0.006682,0.002860,0.001131,0.007731,1739013.058082,1739013.262247,1739013.463174,1739013.464472
0.006215,0.003605,0.000987,0.006681,1739015.675377,1739015.859253,1739016.041107,1739016.042333
0.005049,0.002945,0.001320,0.006812,1739018.277661,1739018.486832,1739018.693576,1739018.694847
0.006105,0.003189,0.000958,0.007148,1739020.934868,1739021.146774,1739021.357393,1739021.358586
0.006289,0.002731,0.001063,0.006983,1739023.576399,1739023.768212,1739023.956994,1739023.958600
0.005268,0.003246,0.001075,0.007218,1739026.196711,1739026.408547,1739026.617257,1739026.618705
0.006450,0.002846,0.001174,0.007298,1739028.856398,1739029.070042,1739029.279434,1739029.280652
0.006042,0.003142,0.000899,0.007134,1739031.493121,1739031.680536,1739031.864858,1739031.866430
0.008764,0.003022,0.001133,0.007287,1739034.086361,1739034.279539,1739034.469038,1739034.470304
0.006617,0.003386,0.001400,0.007319,1739036.682934,1739037.054376,1739037.056893,1739037.057942
0.002309,0.003195,0.000925,0.007499,1739039.273773,1739039.462457,1739039.648336,1739039.650120
0.006318,0.003275,0.001416,0.007616,1739041.887302,1739042.305212,1739042.307771,1739042.309054
0.004102,0.003560,0.001034,0.007946,1739044.525428,1739044.717275,1739044.904421,1739044.905695
0.010721,0.008585,0.007311,0.010309,1739047.126268,1739047.317395,1739047.505722,1739047.506883
0.006313,0.002880,0.001323,0.006548,1739049.723363,1739049.915135,1739050.103880,1739050.105380
0.006161,0.002785,0.000954,0.006379,1739052.337766,1739052.548697,1739052.753592,1739052.754959
0.006905,0.002810,0.001234,0.006471,1739054.989686,1739055.199250,1739055.406753,1739055.408362
0.004458,0.002841,0.001274,0.008011,1739057.623525,1739057.811629,1739057.996649,1739057.998413
0.005745,0.002608,0.001030,0.006999,1739060.212953,1739060.403621,1739060.588674,1739060.589954
0.006053,0.002890,0.001018,0.007367,1739062.809332,1739063.001244,1739063.190534,1739063.191951
0.005585,0.003525,0.001310,0.007872,1739065.410720,1739065.619539,1739065.808418,1739065.809923
0.004415,0.004397,0.001146,0.008014,1739068.027713,1739068.218839,1739068.406647,1739068.408024
0.007525,0.003182,0.004222,0.010118,1739070.627714,1739070.822443,1739071.009109,1739071.010612
0.012464,0.003454,0.001218,0.006820,1739073.250718,1739073.460329,1739073.666554,1739073.668323
0.005984,0.002946,0.001266,0.006545,1739075.894094,1739076.080039,1739076.263636,1739076.264877
0.011245,0.003058,0.007980,0.013435,1739078.487997,1739078.679637,1739078.867501,1739078.868872
0.004752,0.003068,0.001173,0.007049,1739081.104207,1739081.313198,1739081.519829,1739081.521493
0.010735,0.003253,0.007432,0.012879,1739083.748104,1739083.945014,1739084.137213,1739084.138549
